NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	76	0.5238346457481384	0.08064852	Yes	
row_1	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	262	0.4212767779827118	0.13870984	Yes	
row_2	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	343	0.40005961060523987	0.19909732	Yes	
row_3	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	536	0.3580135405063629	0.246531	Yes	
row_4	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	662	0.3397529125213623	0.2946844	Yes	
row_5	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	807	0.31877294182777405	0.3383982	Yes	
row_6	PLA2G2C	phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]	1059	0.28992488980293274	0.3715695	Yes	
row_7	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	1229	0.2734568417072296	0.40657392	Yes	
row_8	CYP3A5	cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638]	1563	0.24924862384796143	0.42865944	Yes	
row_9	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	1933	0.22326256334781647	0.44456187	Yes	
row_10	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	2247	0.2061566859483719	0.46076745	Yes	
row_11	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2774	0.1800636351108551	0.46106014	Yes	
row_12	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	2944	0.17295551300048828	0.47979146	Yes	
row_13	CYP3A43	cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]	3249	0.15905475616455078	0.48886418	Yes	
row_14	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	3795	0.14021135866641998	0.48166144	Yes	
row_15	PLA2G4E	phospholipase A2 group IVE [Source:HGNC Symbol;Acc:HGNC:24791]	3818	0.13930532336235046	0.50301045	Yes	
row_16	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	4115	0.12882199883460999	0.5076269	Yes	
row_17	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	4184	0.12727347016334534	0.5245035	Yes	
row_18	CYP1A2	cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596]	5760	0.08013134449720383	0.45105383	No	
row_19	AKR1B10	aldo-keto reductase family 1 member B10 [Source:HGNC Symbol;Acc:HGNC:382]	6013	0.07309897989034653	0.44906205	No	
row_20	PLA2G1B	phospholipase A2 group IB [Source:HGNC Symbol;Acc:HGNC:9030]	6584	0.059133194386959076	0.4273594	No	
row_21	PLA2G2E	phospholipase A2 group IIE [Source:HGNC Symbol;Acc:HGNC:13414]	8387	0.014907066710293293	0.33089253	No	
row_22	PLA2G4B	phospholipase A2 group IVB [Source:HGNC Symbol;Acc:HGNC:9036]	9346	0.0	0.27832448	No	
row_23	PLA2G6	phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]	11590	-0.03250734135508537	0.1605086	No	
row_24	PLA2G12B	phospholipase A2 group XIIB [Source:HGNC Symbol;Acc:HGNC:18555]	14558	-0.1139865443110466	0.016157907	No	
row_25	PLA2G10	phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029]	16710	-0.20093956589698792	-0.06933731	No	
row_26	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	17652	-0.27516570687294006	-0.07641792	No	
row_27	CYP3A7	cytochrome P450 family 3 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:2640]	17980	-0.3303777873516083	-0.04086682	No	
row_28	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	18025	-0.344229131937027	0.012456063	No	
