NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	0	0.8249292373657227	0.15662117	Yes	
row_1	MNX1	motor neuron and pancreas homeobox 1 [Source:HGNC Symbol;Acc:HGNC:4979]	188	0.4465564787387848	0.23114552	Yes	
row_2	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	292	0.4129776656627655	0.30390286	Yes	
row_3	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	506	0.36223211884498596	0.36099097	Yes	
row_4	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	864	0.3115284740924835	0.40055257	Yes	
row_5	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	1123	0.28274673223495483	0.44008085	Yes	
row_6	HNF1B	HNF1 homeobox B [Source:HGNC Symbol;Acc:HGNC:11630]	1316	0.2666757106781006	0.48017868	Yes	
row_7	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	1648	0.2440459132194519	0.5083544	Yes	
row_8	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	1732	0.23722624778747559	0.54884076	Yes	
row_9	MAFA	MAF bZIP transcription factor A [Source:HGNC Symbol;Acc:HGNC:23145]	2448	0.19598615169525146	0.54682535	Yes	
row_10	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	2989	0.17054101824760437	0.54957956	Yes	
row_11	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	3435	0.15226899087429047	0.5540764	Yes	
row_12	FOXA3	forkhead box A3 [Source:HGNC Symbol;Acc:HGNC:5023]	4310	0.12283110618591309	0.5294489	Yes	
row_13	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	4416	0.11966830492019653	0.5464088	Yes	
row_14	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	4587	0.11432496458292007	0.55878824	Yes	
row_15	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	5533	0.08606657385826111	0.5232855	No	
row_16	BHLHA15	basic helix-loop-helix family member a15 [Source:HGNC Symbol;Acc:HGNC:22265]	5770	0.07984092086553574	0.525497	No	
row_17	HNF4G	hepatocyte nuclear factor 4 gamma [Source:HGNC Symbol;Acc:HGNC:5026]	7583	0.03336258605122566	0.4324237	No	
row_18	HNF4A	hepatocyte nuclear factor 4 alpha [Source:HGNC Symbol;Acc:HGNC:5024]	7832	0.028047028928995132	0.42414328	No	
row_19	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	9503	0.0	0.332526	No	
row_20	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	10394	-0.003807664383202791	0.28442293	No	
row_21	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	11488	-0.029972471296787262	0.23015082	No	
row_22	NR5A2	nuclear receptor subfamily 5 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7984]	14456	-0.1112130731344223	0.08849418	No	
row_23	HHEX	hematopoietically expressed homeobox [Source:HGNC Symbol;Acc:HGNC:4901]	16900	-0.2118372917175293	-0.00531094	No	
row_24	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	18179	-0.4183479845523834	0.00400475	No	
