NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	12	0.6469990611076355	0.016674805	Yes	
row_1	GPR83	G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523]	82	0.5145516991615295	0.026632784	Yes	
row_2	MC2R	melanocortin 2 receptor [Source:HGNC Symbol;Acc:HGNC:6930]	111	0.4946745038032532	0.038335897	Yes	
row_3	GABRB3	gamma-aminobutyric acid type A receptor subunit beta3 [Source:HGNC Symbol;Acc:HGNC:4083]	112	0.4925343096256256	0.05153729	Yes	
row_4	TAAR6	trace amine associated receptor 6 [Source:HGNC Symbol;Acc:HGNC:20978]	214	0.43949875235557556	0.05770575	Yes	
row_5	GRM6	glutamate metabotropic receptor 6 [Source:HGNC Symbol;Acc:HGNC:4598]	247	0.4262351095676422	0.06735225	Yes	
row_6	HTR5A	5-hydroxytryptamine receptor 5A [Source:HGNC Symbol;Acc:HGNC:5300]	323	0.40520942211151123	0.07404617	Yes	
row_7	MCHR2	melanin concentrating hormone receptor 2 [Source:HGNC Symbol;Acc:HGNC:20867]	393	0.38752809166908264	0.08059954	Yes	
row_8	FSHR	follicle stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:3969]	437	0.3762045204639435	0.088293925	Yes	
row_9	LHB	luteinizing hormone subunit beta [Source:HGNC Symbol;Acc:HGNC:6584]	487	0.36566928029060364	0.09537258	Yes	
row_10	GABRG3	gamma-aminobutyric acid type A receptor subunit gamma3 [Source:HGNC Symbol;Acc:HGNC:4088]	494	0.36418208479881287	0.1048004	Yes	
row_11	MTNR1B	melatonin receptor 1B [Source:HGNC Symbol;Acc:HGNC:7464]	579	0.35214391350746155	0.109571986	Yes	
row_12	GRID1	glutamate ionotropic receptor delta type subunit 1 [Source:HGNC Symbol;Acc:HGNC:4575]	601	0.34792667627334595	0.11773073	Yes	
row_13	ADCYAP1R1	ADCYAP receptor type I [Source:HGNC Symbol;Acc:HGNC:242]	619	0.34610334038734436	0.12606284	Yes	
row_14	GHRHR	growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]	663	0.33944016695022583	0.13277182	Yes	
row_15	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:HGNC Symbol;Acc:HGNC:4580]	822	0.3165128231048584	0.13247705	Yes	
row_16	HTR1E	5-hydroxytryptamine receptor 1E [Source:HGNC Symbol;Acc:HGNC:5291]	827	0.31537821888923645	0.1407079	Yes	
row_17	HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	832	0.31492725014686584	0.14892666	Yes	
