NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	90	0.5090436339378357	0.025020773	No	
row_1	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	138	0.4699479043483734	0.050110064	No	
row_2	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	377	0.3905192017555237	0.0599875	No	
row_3	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	396	0.38673296570777893	0.08177449	No	
row_4	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	615	0.3465345501899719	0.090164065	No	
row_5	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	1694	0.24077878892421722	0.044896994	No	
row_6	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	1822	0.23118826746940613	0.051510826	No	
row_7	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	2168	0.21016231179237366	0.04486389	No	
row_8	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	2214	0.2076157182455063	0.054611374	No	
row_9	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	2221	0.20738646388053894	0.066496134	No	
row_10	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	0.07622731	No	
row_11	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	2493	0.19309014081954956	0.07508224	No	
row_12	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2674	0.1836097091436386	0.075970724	No	
row_13	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	2729	0.181859090924263	0.08370473	No	
row_14	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2930	0.17343083024024963	0.08289068	No	
row_15	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	3175	0.16200010478496552	0.07897682	No	
row_16	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	3275	0.1581457406282425	0.08283238	No	
row_17	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.08821628	No	
row_18	MAPK7	mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]	4026	0.13206948339939117	0.05849486	No	
row_19	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	4181	0.12739971280097961	0.057506256	No	
row_20	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	4190	0.12696543335914612	0.064543694	No	
row_21	RPS6KA4	ribosomal protein S6 kinase A4 [Source:HGNC Symbol;Acc:HGNC:10433]	4426	0.11942070722579956	0.05861811	No	
row_22	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	4553	0.11523665487766266	0.058457214	No	
row_23	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	4723	0.11058281362056732	0.05565083	No	
row_24	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4896	0.10551478713750839	0.052380476	No	
row_25	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	5014	0.10245611518621445	0.051963106	No	
row_26	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5030	0.1019621416926384	0.05714174	No	
row_27	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	5154	0.09831541031599045	0.056149583	No	
