NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	244	0.4270882308483124	0.20993754	Yes	
row_1	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	2236	0.20664070546627045	0.20880705	Yes	
row_2	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	2428	0.19724084436893463	0.30146736	Yes	
row_3	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	3049	0.16789166629314423	0.3552566	Yes	
row_4	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	3385	0.15447349846363068	0.41765806	Yes	
row_5	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	5358	0.09189021587371826	0.35756826	No	
row_6	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	5590	0.08467584103345871	0.38917667	No	
row_7	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	7532	0.03514328598976135	0.3011147	No	
row_8	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	8128	0.021487101912498474	0.2797222	No	
row_9	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	10459	-0.005589164327830076	0.15487544	No	
row_10	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	11826	-0.03838874772191048	0.10004154	No	
row_11	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]	12084	-0.04504748806357384	0.10950315	No	
row_12	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]	12301	-0.049982115626335144	0.123793304	No	
row_13	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	12603	-0.057814549654722214	0.13751781	No	
row_14	MTFMT	mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:HGNC:29666]	13630	-0.08633599430322647	0.12639919	No	
row_15	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	13753	-0.08983226120471954	0.16668099	No	
row_16	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	15659	-0.1529478132724762	0.14219129	No	
