NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	483	0.3668406307697296	0.019279368	No	
row_1	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	1531	0.25145983695983887	-0.006871438	No	
row_2	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	2696	0.18288110196590424	-0.048024964	No	
row_3	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3005	0.17011100053787231	-0.04370499	No	
row_4	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3028	0.1693098396062851	-0.023758747	No	
row_5	RPRM	reprimo, TP53 dependent G2 arrest mediator homolog [Source:HGNC Symbol;Acc:HGNC:24201]	3040	0.16867142915725708	-0.0032874122	No	
row_6	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	3195	0.16103364527225494	0.008366358	No	
row_7	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.019666687	No	
row_8	ADGRB1	adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]	3941	0.1351432055234909	0.0038359163	No	
row_9	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	4266	0.12428567558526993	0.0015500251	No	
row_10	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	4284	0.12359458953142166	0.016058898	No	
row_11	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	4741	0.11002910137176514	0.0047332575	No	
row_12	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	5160	0.09798438847064972	-0.0060078995	No	
row_13	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	6054	0.07213552296161652	-0.04609797	No	
row_14	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	6055	0.07211877405643463	-0.03708643	No	
row_15	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	6592	0.05899377167224884	-0.059188135	No	
row_16	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	6626	0.05784493684768677	-0.05377475	No	
row_17	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	6776	0.053938377648591995	-0.055228043	No	
row_18	PERP	p53 apoptosis effector related to PMP22 [Source:HGNC Symbol;Acc:HGNC:17637]	6880	0.05138090252876282	-0.05447148	No	
row_19	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	6905	0.05060526356101036	-0.049467843	No	
row_20	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	7700	0.031219135969877243	-0.08922684	No	
row_21	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	7836	0.02786654233932495	-0.09316809	No	
row_22	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	8659	0.00849104393273592	-0.1373067	No	
row_23	TNFRSF10B	TNF receptor superfamily member 10b [Source:HGNC Symbol;Acc:HGNC:11905]	8737	0.006717936601489782	-0.1407013	No	
row_24	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	9086	0.0	-0.15983689	No	
row_25	TP53I3	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:HGNC:19373]	9914	0.0	-0.20531143	No	
row_26	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	10205	0.0	-0.22125776	No	
row_27	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	10567	-0.008073514327406883	-0.24009939	No	
row_28	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	10644	-0.009768077172338963	-0.24305786	No	
row_29	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	10819	-0.013877961784601212	-0.25089154	No	
