NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	396	0.38673296570777893	0.020775875	No	
row_1	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	927	0.302657812833786	0.024933621	No	
row_2	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1428	0.2582477033138275	0.025854742	No	
row_3	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	1514	0.25288552045822144	0.0490044	No	
row_4	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	0.030372249	No	
row_5	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3028	0.1693098396062851	0.007102234	No	
row_6	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.006891359	No	
row_7	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	3577	0.14777182042598724	0.010448335	No	
row_8	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	3690	0.14395904541015625	0.02012895	No	
row_9	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	4723	0.11058281362056732	-0.02444818	No	
row_10	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5030	0.1019621416926384	-0.030055163	No	
row_11	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	5825	0.07801388204097748	-0.06512937	No	
row_12	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	6219	0.06785272806882858	-0.07927282	No	
row_13	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	6433	0.06252793222665787	-0.08410495	No	
row_14	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	6577	0.059294261038303375	-0.08544395	No	
row_15	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6620	0.05801702290773392	-0.08137007	No	
row_16	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	7017	0.048018768429756165	-0.09786067	No	
row_17	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	7299	0.04104361683130264	-0.10879551	No	
row_18	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8311	0.016639474779367447	-0.16255394	No	
row_19	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	9086	0.0	-0.2051118	No	
row_20	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9226	0.0	-0.21275462	No	
row_21	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	10435	-0.004881765227764845	-0.2786386	No	
row_22	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	10643	-0.009761721827089787	-0.28894633	No	
row_23	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	10870	-0.014958509244024754	-0.299727	No	
row_24	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	11160	-0.02193993702530861	-0.31320357	No	
row_25	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11325	-0.025825373828411102	-0.3193796	No	
row_26	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	11695	-0.035316482186317444	-0.33578318	No	
row_27	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11989	-0.04290446639060974	-0.3471731	No	
row_28	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	12146	-0.04649791121482849	-0.35063478	No	
row_29	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	12157	-0.04677627608180046	-0.34603813	No	
row_30	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	13335	-0.07800338417291641	-0.4021725	Yes	
row_31	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13364	-0.07878924906253815	-0.3950434	Yes	
row_32	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	13535	-0.08356393873691559	-0.39519677	Yes	
row_33	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	13843	-0.09279585629701614	-0.40186724	Yes	
row_34	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	13856	-0.09310879558324814	-0.3922829	Yes	
row_35	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	13876	-0.09363608062267303	-0.38302544	Yes	
row_36	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	13941	-0.09542744606733322	-0.3760452	Yes	
row_37	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	14326	-0.10681723803281784	-0.38540676	Yes	
row_38	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	14687	-0.11763869971036911	-0.3922581	Yes	
row_39	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	14769	-0.12010761350393295	-0.3834972	Yes	
row_40	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	14840	-0.12278708815574646	-0.37383667	Yes	
row_41	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	14857	-0.12338152527809143	-0.36114156	Yes	
row_42	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	15090	-0.1314542442560196	-0.35943487	Yes	
row_43	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	15128	-0.13289543986320496	-0.34684768	Yes	
row_44	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	15238	-0.13767528533935547	-0.33769348	Yes	
row_45	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	15440	-0.14503563940525055	-0.33278802	Yes	
row_46	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	15508	-0.14729537069797516	-0.32026604	Yes	
row_47	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	15823	-0.16001778841018677	-0.31992543	Yes	
row_48	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	15867	-0.1623043268918991	-0.30443248	Yes	
row_49	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	15894	-0.1632956564426422	-0.2878957	Yes	
row_50	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	16178	-0.17579561471939087	-0.28411466	Yes	
row_51	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16201	-0.17673757672309875	-0.26587903	Yes	
row_52	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16215	-0.1771414428949356	-0.24710414	Yes	
row_53	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	16237	-0.17815282940864563	-0.22865783	Yes	
row_54	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	16321	-0.18239304423332214	-0.21315403	Yes	
row_55	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	16519	-0.19163420796394348	-0.2029017	Yes	
row_56	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	16667	-0.19843699038028717	-0.18915169	Yes	
row_57	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	16919	-0.2130400538444519	-0.17951337	Yes	
row_58	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	17114	-0.2250880002975464	-0.16541538	Yes	
row_59	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	17148	-0.22758573293685913	-0.14219011	Yes	
row_60	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	17247	-0.2345178723335266	-0.12177612	Yes	
row_61	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	17333	-0.2409491091966629	-0.099939756	Yes	
row_62	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	17481	-0.2554296553134918	-0.07991921	Yes	
row_63	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	17845	-0.3052714467048645	-0.066291526	Yes	
row_64	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17873	-0.31129536032676697	-0.033526335	Yes	
row_65	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	18226	-0.4936261475086212	0.0014295994	Yes	
