NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TUBA3C	tubulin alpha 3c [Source:HGNC Symbol;Acc:HGNC:12408]	316	0.40764695405960083	0.039819937	No	
row_1	ARPC1B	actin related protein 2/3 complex subunit 1B [Source:HGNC Symbol;Acc:HGNC:704]	1461	0.2556993365287781	0.0128281005	No	
row_2	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1464	0.25557464361190796	0.048569474	No	
row_3	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	2678	0.1834585815668106	0.0076524955	No	
row_4	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	3038	0.1688833236694336	0.011616599	No	
row_5	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	3131	0.16401603817939758	0.02956907	No	
row_6	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	3202	0.16082488000392914	0.048282754	No	
row_7	ARPC5L	actin related protein 2/3 complex subunit 5 like [Source:HGNC Symbol;Acc:HGNC:23366]	4018	0.1322309523820877	0.022049045	No	
row_8	TUBB	tubulin beta class I [Source:HGNC Symbol;Acc:HGNC:20778]	4523	0.11618795990943909	0.010653725	No	
row_9	TUBA3E	tubulin alpha 3e [Source:HGNC Symbol;Acc:HGNC:20765]	5811	0.07840106636285782	-0.049066573	No	
row_10	KRT18	keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]	6308	0.06567906588315964	-0.06710755	No	
row_11	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6737	0.05488751456141472	-0.08292586	No	
row_12	TLR5	toll like receptor 5 [Source:HGNC Symbol;Acc:HGNC:11851]	7362	0.03956696018576622	-0.111663125	No	
row_13	TUBB1	tubulin beta 1 class VI [Source:HGNC Symbol;Acc:HGNC:16257]	7641	0.032423991709947586	-0.12239035	No	
