NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FZD10	frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]	86	0.5127358436584473	0.006941473	No	
row_1	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	138	0.4699479043483734	0.014854845	No	
row_2	FGF3	fibroblast growth factor 3 [Source:HGNC Symbol;Acc:HGNC:3681]	155	0.4601253569126129	0.024494661	No	
row_3	WNT8A	Wnt family member 8A [Source:HGNC Symbol;Acc:HGNC:12788]	157	0.4597245156764984	0.034961563	No	
row_4	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	208	0.44091346859931946	0.042266116	No	
row_5	FGF8	fibroblast growth factor 8 [Source:HGNC Symbol;Acc:HGNC:3686]	273	0.4168911874294281	0.04824031	No	
row_6	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	280	0.41485124826431274	0.057401355	No	
row_7	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	396	0.38673296570777893	0.05984197	No	
row_8	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	546	0.3568645417690277	0.05970341	No	
row_9	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	775	0.3226063549518585	0.054376405	No	
row_10	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	789	0.32111239433288574	0.0610016	No	
row_11	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	875	0.3104188144207001	0.06336798	No	
row_12	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	927	0.302657812833786	0.067452244	No	
row_13	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	976	0.29721710085868835	0.071579225	No	
row_14	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1004	0.2943790555000305	0.07681201	No	
row_15	KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	1076	0.2882644832134247	0.07945181	No	
row_16	WNT3A	Wnt family member 3A [Source:HGNC Symbol;Acc:HGNC:15983]	1159	0.28013554215431213	0.08129229	No	
row_17	NFKB2	nuclear factor kappa B subunit 2 [Source:HGNC Symbol;Acc:HGNC:7795]	1221	0.27445441484451294	0.08417349	No	
row_18	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	1306	0.26777783036231995	0.08561961	No	
row_19	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1428	0.2582477033138275	0.08478482	No	
row_20	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1464	0.25557464361190796	0.08868341	No	
row_21	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	1514	0.25288552045822144	0.09173993	No	
row_22	WNT3	Wnt family member 3 [Source:HGNC Symbol;Acc:HGNC:12782]	1601	0.2465222328901291	0.09258803	No	
row_23	WNT9B	Wnt family member 9B [Source:HGNC Symbol;Acc:HGNC:12779]	1609	0.24603819847106934	0.09782936	No	
row_24	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	1632	0.24488171935081482	0.10220795	No	
row_25	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	1819	0.23154914379119873	0.097138256	No	
row_26	FGF4	fibroblast growth factor 4 [Source:HGNC Symbol;Acc:HGNC:3682]	1936	0.22318223118782043	0.095779605	No	
row_27	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	1941	0.22289784252643585	0.10065852	No	
row_28	WNT7A	Wnt family member 7A [Source:HGNC Symbol;Acc:HGNC:12786]	2204	0.2081739455461502	0.09081674	No	
row_29	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	2265	0.20546631515026093	0.092174634	No	
row_30	FGF19	fibroblast growth factor 19 [Source:HGNC Symbol;Acc:HGNC:3675]	2439	0.19649697840213776	0.08702739	No	
row_31	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2467	0.19465944170951843	0.08997769	No	
row_32	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	2480	0.1940659135580063	0.09375066	No	
row_33	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2575	0.18877054750919342	0.092830874	No	
row_34	FZD4	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	2935	0.173166885972023	0.07678001	No	
row_35	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3005	0.17011100053787231	0.076826885	No	
row_36	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	3016	0.16981665790081024	0.08015632	No	
row_37	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	3018	0.1697516143321991	0.08398602	No	
row_38	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3028	0.1693098396062851	0.08735961	No	
row_39	WNT8B	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	3126	0.16428589820861816	0.085712135	No	
row_40	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	3195	0.16103364527225494	0.08560699	No	
row_41	PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	3250	0.15902437269687653	0.08623637	No	
row_42	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	3332	0.1562538594007492	0.08529707	No	
row_43	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	0.08819886	No	
row_44	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	3531	0.14901860058307648	0.08129588	No	
row_45	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	3577	0.14777182042598724	0.08216945	No	
