NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRPS1L1	phosphoribosyl pyrophosphate synthetase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:9463]	838	0.31451836228370667	0.093788065	Yes	
row_1	FBP2	fructose-bisphosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3607]	1645	0.24413740634918213	0.15805769	Yes	
row_2	RPEL1	ribulose-5-phosphate-3-epimerase like 1 [Source:HGNC Symbol;Acc:HGNC:45241]	1647	0.24405650794506073	0.26644936	Yes	
row_3	GPI	glucose-6-phosphate isomerase [Source:HGNC Symbol;Acc:HGNC:4458]	2155	0.21076716482639313	0.33229247	Yes	
row_4	TKT	transketolase [Source:HGNC Symbol;Acc:HGNC:11834]	2992	0.17042745649814606	0.36216342	Yes	
row_5	FBP1	fructose-bisphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3606]	3847	0.13808248937129974	0.37667453	Yes	
row_6	ALDOB	aldolase, fructose-bisphosphate B [Source:HGNC Symbol;Acc:HGNC:417]	4235	0.1253092736005783	0.41112697	Yes	
row_7	PGM1	phosphoglucomutase 1 [Source:HGNC Symbol;Acc:HGNC:8905]	5573	0.08503970503807068	0.37557372	No	
row_8	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	7420	0.03800341486930847	0.29119888	No	
row_9	TKTL2	transketolase like 2 [Source:HGNC Symbol;Acc:HGNC:25313]	7491	0.03632860258221626	0.30350167	No	
row_10	PFKM	phosphofructokinase, muscle [Source:HGNC Symbol;Acc:HGNC:8877]	7592	0.03316269814968109	0.31275207	No	
row_11	RPIA	ribose 5-phosphate isomerase A [Source:HGNC Symbol;Acc:HGNC:10297]	8004	0.024256598204374313	0.30098522	No	
row_12	PFKL	phosphofructokinase, liver type [Source:HGNC Symbol;Acc:HGNC:8876]	8409	0.014456106349825859	0.28524753	No	
row_13	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	9220	0.0	0.24081527	No	
row_14	RBKS	ribokinase [Source:HGNC Symbol;Acc:HGNC:30325]	9685	0.0	0.21536271	No	
row_15	H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4795]	10452	-0.005336316302418709	0.17571525	No	
row_16	PGD	phosphogluconate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8891]	10526	-0.007125910837203264	0.17487727	No	
row_17	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	10732	-0.011461605317890644	0.16872503	No	
row_18	PGLS	6-phosphogluconolactonase [Source:HGNC Symbol;Acc:HGNC:8903]	12955	-0.06782925873994827	0.076977976	No	
row_19	DERA	deoxyribose-phosphate aldolase [Source:HGNC Symbol;Acc:HGNC:24269]	14334	-0.10705237090587616	0.04895701	No	
row_20	PFKP	phosphofructokinase, platelet [Source:HGNC Symbol;Acc:HGNC:8878]	14441	-0.11081918329000473	0.09238493	No	
row_21	RPE	ribulose-5-phosphate-3-epimerase [Source:HGNC Symbol;Acc:HGNC:10293]	14630	-0.11584018170833588	0.13354585	No	
row_22	PGM2	phosphoglucomutase 2 [Source:HGNC Symbol;Acc:HGNC:8906]	15476	-0.14646759629249573	0.15227656	No	
