NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD19	CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]	577	0.3523920774459839	0.098968424	Yes	
row_1	CD8A	CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]	1741	0.2362436056137085	0.12272113	Yes	
row_2	CD3D	CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]	1842	0.22958682477474213	0.2023422	Yes	
row_3	AICDA	activation induced cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:13203]	2112	0.2136182337999344	0.26676914	Yes	
row_4	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	2781	0.17967858910560608	0.29671788	Yes	
row_5	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	3602	0.1469709575176239	0.30620018	Yes	
row_6	UNG	uracil DNA glycosylase [Source:HGNC Symbol;Acc:HGNC:12572]	3647	0.14546044170856476	0.35770842	Yes	
row_7	TNFRSF13B	TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]	4322	0.12249317020177841	0.36612895	Yes	
row_8	CD8B	CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]	4891	0.10560166835784912	0.37410492	Yes	
row_9	ZAP70	zeta chain of T cell receptor associated protein kinase 70 [Source:HGNC Symbol;Acc:HGNC:12858]	5139	0.09875311702489853	0.39715812	Yes	
row_10	ICOS	inducible T cell costimulator [Source:HGNC Symbol;Acc:HGNC:5351]	6026	0.07271961122751236	0.37549308	Yes	
row_11	RFXAP	regulatory factor X associated protein [Source:HGNC Symbol;Acc:HGNC:9988]	6250	0.06720154732465744	0.38816708	Yes	
row_12	DCLRE1C	DNA cross-link repair 1C [Source:HGNC Symbol;Acc:HGNC:17642]	6774	0.0540197491645813	0.37949088	Yes	
row_13	JAK3	Janus kinase 3 [Source:HGNC Symbol;Acc:HGNC:6193]	6945	0.049696166068315506	0.3885841	Yes	
row_14	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	7058	0.0469692163169384	0.3998494	Yes	
row_15	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	7783	0.029161397367715836	0.37092748	No	
row_16	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	7927	0.026170864701271057	0.37278152	No	
row_17	RFX5	regulatory factor X5 [Source:HGNC Symbol;Acc:HGNC:9986]	8097	0.02231619693338871	0.3717797	No	
row_18	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	8486	0.012640543282032013	0.3551727	No	
row_19	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	8854	0.003642041701823473	0.33638233	No	
row_20	RFXANK	regulatory factor X associated ankyrin containing protein [Source:HGNC Symbol;Acc:HGNC:9987]	8969	0.001217132667079568	0.33057734	No	
row_21	RAG2	recombination activating 2 [Source:HGNC Symbol;Acc:HGNC:9832]	8971	0.001136426697485149	0.33094373	No	
row_22	TAP2	transporter 2, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:44]	9500	0.0	0.30196777	No	
row_23	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	9501	0.0	0.30196777	No	
row_24	BLNK	B cell linker [Source:HGNC Symbol;Acc:HGNC:14211]	10561	-0.007931499741971493	0.24679147	No	
row_25	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	10571	-0.0081382030621171	0.24931443	No	
row_26	TNFRSF13C	TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]	10733	-0.011463149450719357	0.2447284	No	
row_27	CD3E	CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]	11060	-0.019587384536862373	0.23409908	No	
row_28	IGLL1	immunoglobulin lambda like polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:5870]	13293	-0.07706771045923233	0.14017916	No	
row_29	RAG1	recombination activating 1 [Source:HGNC Symbol;Acc:HGNC:9831]	14430	-0.11056695878505707	0.11882464	No	
row_30	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	17368	-0.24511921405792236	0.048512723	No	
