NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLR2C	RNA polymerase II subunit C [Source:HGNC Symbol;Acc:HGNC:9189]	688	0.33605271577835083	0.08096443	Yes	
row_1	POLR3D	RNA polymerase III subunit D [Source:HGNC Symbol;Acc:HGNC:1080]	982	0.2969774603843689	0.16979857	Yes	
row_2	POLR3H	RNA polymerase III subunit H [Source:HGNC Symbol;Acc:HGNC:30349]	2238	0.2065374106168747	0.173899	Yes	
row_3	POLR1C	RNA polymerase I and III subunit C [Source:HGNC Symbol;Acc:HGNC:20194]	2541	0.1906232237815857	0.22466837	Yes	
row_4	POLR2J	RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]	3029	0.16929496824741364	0.25775236	Yes	
row_5	POLR2E	RNA polymerase II subunit E [Source:HGNC Symbol;Acc:HGNC:9192]	3282	0.15797758102416992	0.29973274	Yes	
row_6	POLR3K	RNA polymerase III subunit K [Source:HGNC Symbol;Acc:HGNC:14121]	3471	0.15105582773685455	0.34277958	Yes	
row_7	POLR1E	RNA polymerase I subunit E [Source:HGNC Symbol;Acc:HGNC:17631]	3557	0.14834363758563995	0.39051986	Yes	
row_8	POLR2L	RNA polymerase II subunit L [Source:HGNC Symbol;Acc:HGNC:9199]	4900	0.10544801503419876	0.35413557	Yes	
row_9	POLR3F	RNA polymerase III subunit F [Source:HGNC Symbol;Acc:HGNC:15763]	4975	0.10351572930812836	0.3866434	Yes	
row_10	POLR2I	RNA polymerase II subunit I [Source:HGNC Symbol;Acc:HGNC:9196]	5421	0.09001345187425613	0.3940248	Yes	
row_11	POLR2F	RNA polymerase II subunit F [Source:HGNC Symbol;Acc:HGNC:9193]	5779	0.0794200599193573	0.4024924	Yes	
row_12	POLR2A	RNA polymerase II subunit A [Source:HGNC Symbol;Acc:HGNC:9187]	7363	0.039477016776800156	0.32957944	No	
row_13	POLR3C	RNA polymerase III subunit C [Source:HGNC Symbol;Acc:HGNC:30076]	7740	0.030160969123244286	0.31960317	No	
row_14	POLR2J3	RNA polymerase II subunit J3 [Source:HGNC Symbol;Acc:HGNC:33853]	8528	0.011509731411933899	0.2804867	No	
row_15	POLR3B	RNA polymerase III subunit B [Source:HGNC Symbol;Acc:HGNC:30348]	8806	0.004989710170775652	0.26705047	No	
row_16	POLR2H	RNA polymerase II subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	9584	0.0	0.22441672	No	
row_17	POLR2J2	RNA polymerase II subunit J2 [Source:HGNC Symbol;Acc:HGNC:23208]	10084	0.0	0.19703674	No	
row_18	POLR1A	RNA polymerase I subunit A [Source:HGNC Symbol;Acc:HGNC:17264]	10449	-0.0053008850663900375	0.1789368	No	
row_19	POLR3A	RNA polymerase III subunit A [Source:HGNC Symbol;Acc:HGNC:30074]	10673	-0.01027609221637249	0.170331	No	
row_20	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	11042	-0.019067980349063873	0.15687495	No	
row_21	POLR2G	RNA polymerase II subunit G [Source:HGNC Symbol;Acc:HGNC:9194]	12297	-0.04991328343749046	0.10570086	No	
row_22	POLR2K	RNA polymerase II subunit K [Source:HGNC Symbol;Acc:HGNC:9198]	12592	-0.05758625268936157	0.10991223	No	
row_23	POLR1B	RNA polymerase I subunit B [Source:HGNC Symbol;Acc:HGNC:20454]	12943	-0.0676170215010643	0.114594385	No	
row_24	POLR3GL	RNA polymerase III subunit G like [Source:HGNC Symbol;Acc:HGNC:28466]	13780	-0.09069246798753738	0.10076156	No	
row_25	POLR2D	RNA polymerase II subunit D [Source:HGNC Symbol;Acc:HGNC:9191]	14254	-0.10416386276483536	0.111605376	No	
row_26	POLR2B	RNA polymerase II subunit B [Source:HGNC Symbol;Acc:HGNC:9188]	14608	-0.11520026624202728	0.13293229	No	
row_27	POLR1D	RNA polymerase I and III subunit D [Source:HGNC Symbol;Acc:HGNC:20422]	16468	-0.18954195082187653	0.09788758	No	
