NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	208	0.44091346859931946	0.027857218	No	
row_1	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	927	0.302657812833786	0.015325057	No	
row_2	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	1004	0.2943790555000305	0.037383996	No	
row_3	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2575	0.18877054750919342	-0.03218549	No	
row_4	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3005	0.17011100053787231	-0.040629398	No	
row_5	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	3018	0.1697516143321991	-0.026157953	No	
row_6	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	3028	0.1693098396062851	-0.011560799	No	
row_7	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	3345	0.15600477159023285	-0.01504379	No	
row_8	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	4266	0.12428567558526993	-0.0545922	No	
row_9	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	4553	0.11523665487766266	-0.060058404	No	
row_10	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	4693	0.11142890900373459	-0.057774667	No	
row_11	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	4723	0.11058281362056732	-0.049513083	No	
row_12	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	4743	0.10998290032148361	-0.04075468	No	
row_13	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5030	0.1019621416926384	-0.047404185	No	
row_14	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	5096	0.1000501736998558	-0.04206256	No	
row_15	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	6219	0.06785272806882858	-0.09775745	No	
row_16	FHIT	fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]	6381	0.0637841448187828	-0.10093146	No	
row_17	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	6620	0.05801702290773392	-0.10885685	No	
row_18	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	6712	0.05551326647400856	-0.10891605	No	
row_19	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	6714	0.05546877533197403	-0.10402655	No	
row_20	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	6775	0.05394170433282852	-0.10251992	No	
row_21	COL4A4	collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]	6816	0.05294676497578621	-0.100001395	No	
row_22	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	7459	0.03710045665502548	-0.1320233	No	
row_23	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	7587	0.033327702432870865	-0.13604122	No	
row_24	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	7750	0.029902420938014984	-0.1422905	No	
row_25	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	8236	0.01815628446638584	-0.16736145	No	
row_26	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	8311	0.016639474779367447	-0.1699504	No	
row_27	LAMA2	laminin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6482]	8712	0.007267639972269535	-0.19131443	No	
row_28	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	8821	0.004625513684004545	-0.19684532	No	
row_29	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	8909	0.0024521760642528534	-0.20141432	No	
row_30	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	9085	0.0	-0.21104452	No	
row_31	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	10205	0.0	-0.27262276	No	
row_32	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	10210	0.0	-0.27284288	No	
row_33	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	10281	-0.0010652149794623256	-0.2766	No	
row_34	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	10435	-0.004881765227764845	-0.2845844	No	
row_35	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	10643	-0.009761721827089787	-0.29510537	No	
