NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H2AC21	H2A clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:20508]	51	0.5499541163444519	0.025726214	Yes	
row_1	H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	78	0.5209293961524963	0.051325426	Yes	
row_2	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	237	0.4293260872364044	0.06488852	Yes	
row_3	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	284	0.4137607514858246	0.08382283	Yes	
row_4	H2BC17	H2B clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4758]	345	0.39937305450439453	0.101238124	Yes	
row_5	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	414	0.38122934103012085	0.11727049	Yes	
row_6	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	441	0.3746728301048279	0.13527972	Yes	
row_7	C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	445	0.3737172484397888	0.15450826	Yes	
row_8	FCGR3B	Fc fragment of IgG receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]	517	0.36073052883148193	0.16931133	Yes	
row_9	H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	642	0.34329143166542053	0.18028542	Yes	
row_10	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	670	0.33844491839408875	0.19635944	Yes	
row_11	H4C4	H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]	738	0.32818788290023804	0.2096944	Yes	
row_12	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	762	0.3243311643600464	0.22525665	Yes	
row_13	H4C11	H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785]	770	0.32342252135276794	0.24165447	Yes	
row_14	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	891	0.308047890663147	0.25102028	Yes	
row_15	H3-5	H3.5 histone [Source:HGNC Symbol;Acc:HGNC:33164]	946	0.30068519711494446	0.26364517	Yes	
row_16	H2AC20	H2A clustered histone 20 [Source:HGNC Symbol;Acc:HGNC:4738]	1073	0.2883719205856323	0.2716589	Yes	
row_17	H2AW	H2A.W histone [Source:HGNC Symbol;Acc:HGNC:20507]	1198	0.27644243836402893	0.27916387	Yes	
row_18	FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	1213	0.27511101961135864	0.29266837	Yes	
row_19	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	1347	0.26471617817878723	0.29906827	Yes	
