NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	146	0.4653419852256775	0.06739484	Yes	
row_1	TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	186	0.4467371106147766	0.13765262	Yes	
row_2	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	335	0.4020389914512634	0.19467841	Yes	
row_3	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	398	0.3864072859287262	0.25389534	Yes	
row_4	TAS2R1	taste 2 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14909]	413	0.38131648302078247	0.31492415	Yes	
row_5	TAS2R41	taste 2 receptor member 41 [Source:HGNC Symbol;Acc:HGNC:18883]	417	0.3808292746543884	0.3764783	Yes	
row_6	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	886	0.3086726665496826	0.4007932	Yes	
row_7	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	1340	0.26506128907203674	0.41886425	Yes	
row_8	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1389	0.2607727646827698	0.4584894	Yes	
row_9	TAS2R16	taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]	1400	0.25999370217323303	0.5000758	Yes	
row_10	TAS2R39	taste 2 receptor member 39 [Source:HGNC Symbol;Acc:HGNC:18886]	2092	0.2146231234073639	0.49689785	No	
row_11	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	2622	0.1865106225013733	0.4980635	No	
row_12	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	3196	0.16097693145275116	0.49267384	No	
row_13	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	4145	0.1281791478395462	0.46136782	No	
row_14	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	4170	0.12766356766223907	0.48073912	No	
row_15	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	4195	0.12673862278461456	0.49996048	No	
row_16	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	4710	0.11086040735244751	0.48968995	No	
row_17	TAS2R9	taste 2 receptor member 9 [Source:HGNC Symbol;Acc:HGNC:14917]	5216	0.09618381410837173	0.47753525	No	
row_18	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	5644	0.08291652053594589	0.4675154	No	
row_19	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	6262	0.06693266332149506	0.44446734	No	
row_20	TAS2R40	taste 2 receptor member 40 [Source:HGNC Symbol;Acc:HGNC:18885]	7424	0.037919752299785614	0.3868321	No	
row_21	TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	7527	0.03525393083691597	0.38694203	No	
row_22	KCNB1	potassium voltage-gated channel subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:6231]	8577	0.010131542570888996	0.33095613	No	
row_23	GNG13	G protein subunit gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]	9216	0.0	0.29590696	No	
row_24	TAS2R3	taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]	9380	0.0	0.28695238	No	
row_25	TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	9381	0.0	0.28695238	No	
row_26	TAS2R20	taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109]	9699	0.0	0.2695377	No	
row_27	TAS2R10	taste 2 receptor member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	9702	0.0	0.2694278	No	
row_28	TAS2R13	taste 2 receptor member 13 [Source:HGNC Symbol;Acc:HGNC:14919]	9703	0.0	0.2694278	No	
row_29	TAS2R14	taste 2 receptor member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	9704	0.0	0.2694278	No	
row_30	TAS2R19	taste 2 receptor member 19 [Source:HGNC Symbol;Acc:HGNC:19108]	9705	0.0	0.2694278	No	
row_31	TAS2R43	taste 2 receptor member 43 [Source:HGNC Symbol;Acc:HGNC:18875]	9706	0.0	0.2694278	No	
row_32	TAS2R46	taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877]	9707	0.0	0.2694278	No	
row_33	TAS2R31	taste 2 receptor member 31 [Source:HGNC Symbol;Acc:HGNC:19113]	9712	0.0	0.26920807	No	
