NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UBE2M	ubiquitin conjugating enzyme E2 M [Source:HGNC Symbol;Acc:HGNC:12491]	690	0.33595001697540283	-0.01685233	No	
row_1	UBE2Q1	ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]	968	0.2980160415172577	-0.013316181	No	
row_2	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	1250	0.27211520075798035	-0.011636119	No	
row_3	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	1442	0.2571635842323303	-0.0059351567	No	
row_4	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]	1603	0.24643951654434204	7.988255E-4	No	
row_5	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	1604	0.2463701367378235	0.01635504	No	
row_6	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	2433	0.1970798671245575	-0.016878733	No	
row_7	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2575	0.18877054750919342	-0.012737903	No	
row_8	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2932	0.17338502407073975	-0.0214293	No	
row_9	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	3496	0.15033338963985443	-0.042995647	No	
row_10	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	3602	0.1469709575176239	-0.039508123	No	
row_11	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]	4070	0.13055819272994995	-0.05702714	No	
row_12	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	4101	0.12925304472446442	-0.05052088	No	
row_13	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	4423	0.1195363774895668	-0.060681548	No	
row_14	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	4556	0.11513298004865646	-0.06069382	No	
row_15	ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	4634	0.11325079202651978	-0.057790782	No	
row_16	UBE2F	ubiquitin conjugating enzyme E2 F (putative) [Source:HGNC Symbol;Acc:HGNC:12480]	4665	0.11229317635297775	-0.052355397	No	
row_17	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	4819	0.10761918127536774	-0.054000594	No	
row_18	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	4822	0.10755789279937744	-0.047319546	No	
row_19	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	4830	0.10726932436227798	-0.04093255	No	
row_20	ANAPC4	anaphase promoting complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:19990]	4949	0.10406266152858734	-0.04087149	No	
row_21	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	5096	0.1000501736998558	-0.04260844	No	
row_22	PPIL2	peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]	5467	0.08811395615339279	-0.057456322	No	
