NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	1	HTR4	
CRHBP	1	CRHBP	
HTR6	1	HTR6	
HTR7	1	HTR7	
LURAP1L	1	LURAP1L	
BBX	1	BBX	
GSTK1	1	GSTK1	
WDR83OS	1	WDR83OS	
DHDH	1	DHDH	
INSYN1	1	C15orf59	
BCR	1	BCR	
ORAI3	1	ORAI3	
AGTR1	1	AGTR1	
ORAI2	1	ORAI2	
VOPP1	1	VOPP1	
ORAI1	1	ORAI1	
COL13A1	1	COL13A1	
SHMT2	1	SHMT2	
SHMT1	1	SHMT1	
B3GLCT	1	B3GLCT	
RDH12	1	RDH12	
RDH11	1	RDH11	
RDH10	1	RDH10	
RDH16	1	RDH16	
RDH14	1	RDH14	
RDH13	1	RDH13	
GTF2IRD2B	1	GTF2IRD2B	
GSTM4	1	GSTM4	
GSTM3	1	GSTM3	
GSTM2	1	GSTM2	
GSTM1	1	GSTM1	
NEBL	2	NEBL:C10orf113	
DHFR	1	DHFR	
PKIB	1	PKIB	
DELEC1	1	DEC1	
STRC	1	STRC	
PKIA	1	PKIA	
L1TD1	1	L1TD1	
STRN	1	STRN	
PKIG	1	PKIG	
GSTM5	1	GSTM5	
GTF2H2C	1	GTF2H2C	
KCNC1	1	KCNC1	
KCNC2	1	KCNC2	
KCNC3	1	KCNC3	
KCNC4	1	KCNC4	
BBC3	1	BBC3	
NPAP1	1	NPAP1	
GLT1D1	1	GLT1D1	
NEFL	1	NEFL	
NEFM	1	NEFM	
NEFH	1	NEFH	
STUM	1	C1orf95	
MYBPC3	1	MYBPC3	
MYBPC1	1	MYBPC1	
MYBPC2	1	MYBPC2	
KCND2	1	KCND2	
GSTO2	1	GSTO2	
KCND3	1	KCND3	
GSTO1	1	GSTO1	
TMEFF1	1	TMEFF1	
TMEFF2	1	TMEFF2	
PKN3	1	PKN3	
SYNPO2	1	SYNPO2	
GSTP1	1	GSTP1	
KCNA1	1	KCNA1	
PTAFR	1	PTAFR	
KCNA2	1	KCNA2	
KCNA3	1	KCNA3	
ADAM22	1	ADAM22	
KCNA4	1	KCNA4	
ADAM21	1	ADAM21	
KCNA5	1	KCNA5	
ADAM20	1	ADAM20	
KCNA6	1	KCNA6	
SDAD1	1	SDAD1	
KCNA7	1	KCNA7	
ADAM29	1	ADAM29	
ADAM28	1	ADAM28	
BORCS7-ASMT	1	BORCS7-ASMT	
ADAM23	1	ADAM23	
STX6	1	STX6	
STX5	1	STX5	
STX4	1	STX4	
STX3	1	STX3	
STX2	1	STX2	
BID	1	BID	
SPDEF	1	SPDEF	
MBD3	1	MBD3	
MBD4	1	MBD4	
MBD5	1	MBD5	
MBD6	1	MBD6	
PKLR	1	PKLR	
KCNB1	1	KCNB1	
BIK	1	BIK	
KCNB2	1	KCNB2	
MBD1	1	MBD1	
MBD2	1	MBD2	
KIAA2012	1	KIAA2012	
ADAM33	1	ADAM33	
ADAM32	1	ADAM32	
KIAA2013	1	KIAA2013	
ADAM30	1	ADAM30	
PKN2	1	PKN2	
MITD1	1	MITD1	
PKN1	1	PKN1	
KCNG1	1	KCNG1	
KCNG2	1	KCNG2	
KCNG3	1	KCNG3	
KCNG4	1	KCNG4	
RASL11B	1	RASL11B	
FBXO27	1	FBXO27	
FBXO28	1	FBXO28	
RASL11A	1	RASL11A	
GOLIM4	1	GOLIM4	
FBXO25	1	FBXO25	
FBXO24	1	FBXO24	
FBXO21	1	FBXO21	
FBXO22	1	FBXO22	
FADS3	1	FADS3	
FADS2	1	FADS2	
POTEM	1	POTEM	
PTAR1	1	PTAR1	
POFUT2	1	POFUT2	
MYBPHL	1	MYBPHL	
FNTA	1	FNTA	
POTEH	1	POTEH	
POTEI	1	POTEI	
FADS6	1	FADS6	
POFUT1	1	POFUT1	
POTEJ	1	POTEJ	
FNTB	1	FNTB	
POTED	1	POTED	
TNFRSF8	1	TNFRSF8	
POTEE	1	POTEE	
NEK1	1	NEK1	
NEK2	1	NEK2	
POTEF	1	POTEF	
NEK3	1	NEK3	
POTEG	1	POTEG	
TNFRSF4	1	TNFRSF4	
FADS1	1	FADS1	
POTEB	1	POTEB	
KCNH1	1	KCNH1	
POTEC	1	POTEC	
KCNH2	1	KCNH2	
PIAS4	1	PIAS4	
PIAS3	1	PIAS3	
KCNH3	1	KCNH3	
KCNH4	1	KCNH4	
DGAT2	1	DGAT2	
KCNH5	1	KCNH5	
DGAT1	1	DGAT1	
KCNH6	1	KCNH6	
KCNH7	1	KCNH7	
KCNH8	1	KCNH8	
FBXO16	1	FBXO16	
STX8	1	STX8	
STX7	1	STX7	
FBXO17	1	FBXO17	
FBXO15	1	FBXO15	
FBXO10	1	FBXO10	
FBXO11	1	FBXO11	
PIAS2	1	PIAS2	
LENEP	1	LENEP	
PIAS1	1	PIAS1	
NPAS4	1	NPAS4	
LENG1	1	LENG1	
MINPP1	1	MINPP1	
DMTF1	1	DMTF1	
PKP2	1	PKP2	
PKP1	1	PKP1	
PKP4	1	PKP4	
PKP3	1	PKP3	
BLK	1	BLK	
BLM	1	BLM	
KCNE1	1	KCNE1	
KCNE2	1	KCNE2	
KCNE3	1	KCNE3	
KCNE4	1	KCNE4	
IREB2	1	IREB2	
FBXO47	1	FBXO47	
FBXO48	1	FBXO48	
FBXO45	1	FBXO45	
GSTT1	1	GSTT1	
FBXO46	1	FBXO46	
FBXO43	1	FBXO43	
FBXO44	1	FBXO44	
NPAS1	1	NPAS1	
FBXO41	1	FBXO41	
NPAS2	1	NPAS2	
CCDC144A	1	CCDC144A	
FBXO42	1	FBXO42	
NPAS3	1	NPAS3	
FBXO40	1	FBXO40	
MBIP	1	MBIP	
BMF	1	BMF	
NEK8	1	NEK8	
KCNF1	1	KCNF1	
NEK9	1	NEK9	
SDF2L1	1	SDF2L1	
NEK4	1	NEK4	
HTR1E	1	HTR1E	
RASL10A	1	RASL10A	
HTR1F	1	HTR1F	
NEK5	1	NEK5	
RASL10B	1	RASL10B	
TNFRSF9	1	TNFRSF9	
FBXO38	1	FBXO38	
NEK6	1	NEK6	
HTR1D	1	HTR1D	
NEK7	1	NEK7	
STYX	1	STYX	
FBXO39	1	FBXO39	
FBXO36	1	FBXO36	
HTR1A	1	HTR1A	
HTR1B	1	HTR1B	
FBXO34	1	FBXO34	
C6orf15	1	C6orf15	
FBXO32	1	FBXO32	
FBXO33	1	FBXO33	
FBXO30	1	FBXO30	
FAM90A1	1	FAM90A1	
FBXO31	1	FBXO31	
DRAP1	1	DRAP1	
SLC49A4	1	DIRC2	
MNAT1	1	MNAT1	
SLC49A3	1	MFSD7	
BCAR3	1	BCAR3	
KCNK5	1	KCNK5	
PIWIL2	1	PIWIL2	
PIWIL1	1	PIWIL1	
KCNK6	1	KCNK6	
KCNK7	1	KCNK7	
PIWIL4	1	PIWIL4	
ALAS1	1	ALAS1	
PIWIL3	1	PIWIL3	
KCNK9	1	KCNK9	
ONECUT2	1	ONECUT2	
ONECUT3	1	ONECUT3	
ONECUT1	1	ONECUT1	
HTR2B	1	HTR2B	
PPWD1	1	PPWD1	
NENF	1	NENF	
HTR2A	1	HTR2A	
TNFSF13B	1	TNFSF13B	
BOC	1	BOC	
SPDL1	1	SPDL1	
NEO1	1	NEO1	
BCAS2	1	BCAS2	
BOK	1	BOK	
MBL2	1	MBL2	
BCAS1	1	BCAS1	
SLC36A1	1	SLC36A1	
BCAS4	1	BCAS4	
BCAS3	1	BCAS3	
SLC36A3	1	SLC36A3	
SLC36A2	1	SLC36A2	
PIANP	1	PIANP	
HTR3E	1	HTR3E	
VPS13C	1	VPS13C	
VPS13D	1	VPS13D	
DHPS	1	DHPS	
HTR3C	1	HTR3C	
VPS13A	1	VPS13A	
HTR3D	1	HTR3D	
VPS13B	1	VPS13B	
HTR3A	1	HTR3A	
HTR3B	1	HTR3B	
RABGGTB	1	RABGGTB	
RABGGTA	1	RABGGTA	
NEMF	1	NEMF	
C1D	1	C1D	
BPI	1	BPI	
BCAT1	1	BCAT1	
BCAT2	1	BCAT2	
C1S	1	C1S	
C1R	1	C1R	
LRTM2	1	LRTM2	
LRTM1	1	LRTM1	
LENG9	1	LENG9	
LENG8	1	LENG8	
U2AF1	1	U2AF1	
DRAM1	1	DRAM1	
U2AF2	1	U2AF2	
DRAM2	1	DRAM2	
SLC36A4	1	SLC36A4	
KCNJ1	1	KCNJ1	
TSPOAP1	1	BZRAP1	
KCNJ2	1	KCNJ2	
KCNJ3	1	KCNJ3	
KCNJ4	1	KCNJ4	
KCNJ5	1	KCNJ5	
COL26A1	1	COL26A1	
KCNJ6	1	KCNJ6	
KCNJ8	1	KCNJ8	
KCNJ9	1	KCNJ9	
HTR5A	1	HTR5A	
GSTZ1	1	GSTZ1	
IL2RA	1	IL2RA	
IL2RB	1	IL2RB	
KCNK1	1	KCNK1	
KCNK2	1	KCNK2	
KCNK3	1	KCNK3	
BCAR1	1	BCAR1	
CDRT15	1	CDRT15	
KCNK4	1	KCNK4	
SLC23A3	1	SLC23A3	
SLC23A2	1	SLC23A2	
CERK	1	CERK	
SLC23A1	1	SLC23A1	
LGALSL	1	LGALSL	
CCP110	1	CCP110	
PEX26	1	PEX26	
C4B	1	C4B	
LGALS4	1	LGALS4	
C4A	1	C4A	
LGALS3	1	LGALS3	
LGALS2	1	LGALS2	
IL36A	1	IL36A	
LGALS1	1	LGALS1	
IL36B	1	IL36B	
MCIDAS	1	MCIDAS	
BSG	1	BSG	
ATXN7L1	1	ATXN7L1	
LGALS9	1	LGALS9	
ATXN7L2	1	ATXN7L2	
LGALS8	1	LGALS8	
BSN	1	BSN	
ATXN7L3	1	ATXN7L3	
LGALS7	1	LGALS7	
CER1	1	CER1	
LIMCH1	1	LIMCH1	
BSX	1	BSX	
GOLPH3L	1	GOLPH3L	
BTC	1	BTC	
BTD	1	BTD	
CFDP1	1	CFDP1	
SOAT1	1	SOAT1	
CRISPLD1	1	CRISPLD1	
SOAT2	1	SOAT2	
CRISPLD2	1	CRISPLD2	
SUB1	1	SUB1	
KCNQ1	1	KCNQ1	
NINJ2	1	NINJ2	
NINJ1	1	NINJ1	
KCNQ2	1	KCNQ2	
KCNQ3	1	KCNQ3	
KCNQ4	1	KCNQ4	
KCNQ5	1	KCNQ5	
CES3	1	CES3	
CES2	1	CES2	
CES1	1	CES1	
CETP	1	CETP	
GRB7	1	GRB7	
DHX8	1	DHX8	
DHX9	1	DHX9	
RRAD	1	RRAD	
ZBTB1	1	ZBTB1	
ZBTB5	1	ZBTB5	
ZBTB4	1	ZBTB4	
CFAP126	1	CFAP126	
ZBTB3	1	ZBTB3	
ZBTB2	1	ZBTB2	
NEU2	1	NEU2	
PKHD1	1	PKHD1	
NKAIN2	1	NKAIN2	
NKAIN1	1	NKAIN1	
NEU3	1	NEU3	
NEU4	1	NEU4	
MC2R	1	MC2R	
NKAIN4	1	NKAIN4	
MRNIP	1	C5orf45	
NKAIN3	1	NKAIN3	
RACGAP1	1	RACGAP1	
RRAS	1	RRAS	
NEU1	1	NEU1	
H3C1	1	HIST1H3A	
KCNN1	1	KCNN1	
KCNN2	1	KCNN2	
H3C3	1	HIST1H3C	
KCNN3	1	KCNN3	
H3C2	1	HIST1H3B	
KCNN4	1	KCNN4	
H3C4	1	HIST1H3D	
H3C7	1	HIST1H3F	
H3C6	1	HIST1H3E	
NTNG1	1	NTNG1	
SLC10A4	1	SLC10A4	
BBS2	1	BBS2	
SLC10A5	1	SLC10A5	
NTNG2	1	NTNG2	
BBS1	1	BBS1	
SLC10A6	1	SLC10A6	
XBP1	1	XBP1	
SLC10A7	1	SLC10A7	
YES1	1	YES1	
SLC10A1	1	SLC10A1	
SPDYC	1	SPDYC	
SLC10A2	1	SLC10A2	
SUCO	1	SUCO	
IL36G	1	IL36G	
CPLANE1	1	C5orf42	
CPLANE2	1	RSG1	
ZBTB9	1	ZBTB9	
NET1	1	NET1	
PEX5L	1	PEX5L	
ZBTB6	1	ZBTB6	
MC1R	1	MC1R	
SPDYA	1	SPDYA	
OR4D11	1	OR4D11	
OR4D10	1	OR4D10	
GRB2	1	GRB2	
GRAP	1	GRAP	
C8B	1	C8B	
TFB1M	1	TFB1M	
C8A	1	C8A	
MC4R	1	MC4R	
KCNT1	1	KCNT1	
C8G	1	C8G	
KCNT2	1	KCNT2	
SUFU	1	SUFU	
FCER1A	1	FCER1A	
BBS9	1	BBS9	
BBS7	1	BBS7	
BBS5	1	BBS5	
BBS4	1	BBS4	
EIF5AL1	1	EIF5AL1	
H3C8	1	HIST1H3G	
ZHX2	1	ZHX2	
FCER1G	1	FCER1G	
PCYT1A	1	PCYT1A	
ZHX3	1	ZHX3	
AGTRAP	1	AGTRAP	
CACYBP	1	CACYBP	
TFB2M	1	TFB2M	
ZHX1	1	ZHX1	
RNF144A	1	RNF144A	
RNF144B	1	RNF144B	
MC3R	1	MC3R	
KCNU1	1	KCNU1	
PITPNM1	1	PITPNM1	
PITPNM3	1	PITPNM3	
PITPNM2	1	PITPNM2	
TAX1BP1	1	TAX1BP1	
FAM193B	1	FAM193B	
TAX1BP3	1	TAX1BP3	
FAM32A	1	FAM32A	
FAM193A	1	FAM193A	
SSNA1	1	SSNA1	
NEXN	1	NEXN	
PEX16	1	PEX16	
PEX19	1	PEX19	
KLHL1	1	KLHL1	
KLHL2	1	KLHL2	
PEX10	1	PEX10	
KLHL3	1	KLHL3	
KCNRG	1	KCNRG	
CFAP157	1	CFAP157	
PEX12	1	PEX12	
PEX13	1	PEX13	
PEX14	1	PEX14	
KLHL9	1	KLHL9	
ETAA1	1	ETAA1	
TFAP4	1	TFAP4	
KLHL5	1	KLHL5	
KCNS1	1	KCNS1	
KLHL6	1	KLHL6	
KCNS2	1	KCNS2	
KCNS3	1	KCNS3	
KLHL7	1	KLHL7	
KLHL8	1	KLHL8	
CFAP161	1	CFAP161	
MC5R	1	MC5R	
INPPL1	1	INPPL1	
PLAT	1	PLAT	
PLB1	1	PLB1	
IGF1R	1	IGF1R	
TXN2	1	TXN2	
PPIP5K1	1	PPIP5K1	
PPIP5K2	1	PPIP5K2	
PLAU	1	PLAU	
ENPP2	1	ENPP2	
ENPP1	1	ENPP1	
RXYLT1	1	TMEM5	
ENPP4	1	ENPP4	
ENPP3	1	ENPP3	
ENPP6	1	ENPP6	
ENPP5	1	ENPP5	
ENPP7	1	ENPP7	
CARD10	1	CARD10	
ADAM11	1	ADAM11	
ADAM10	1	ADAM10	
DHDDS	1	DHDDS	
ADAM19	1	ADAM19	
ADAM18	1	ADAM18	
ADAM17	1	ADAM17	
BRMS1	1	BRMS1	
ADAM15	1	ADAM15	
CARD19	1	CARD19	
ADAM12	1	ADAM12	
CARD17	1	CARD17	
PLAA	1	PLAA	
CARD18	1	CARD18	
CARD16	1	CARD16	
CARD14	1	CARD14	
CARD11	1	CARD11	
HTRA3	1	HTRA3	
HTRA4	1	HTRA4	
PLD5	1	PLD5	
HTRA1	1	HTRA1	
HTRA2	1	HTRA2	
DAPP1	1	DAPP1	
PLD4	1	PLD4	
PLD6	1	PLD6	
PLD1	1	PLD1	
PLD3	1	PLD3	
PLD2	1	PLD2	
GRK1	1	GRK1	
NME1-NME2	1	NME1-NME2	
KCNV1	1	KCNV1	
KCNV2	1	KCNV2	
GRK3	1	ADRBK2	
GRK2	1	ADRBK1	
GRK5	1	GRK5	
GRK4	1	GRK4	
GRK7	1	GRK7	
GRK6	1	GRK6	
SPATA31A1	2	SPATA31A2:SPATA31A1	
PIBF1	1	PIBF1	
SPATA31A6	1	SPATA31A6	
SPATA31A7	2	SPATA31A7:SPATA31A4	
SPATA31A5	1	SPATA31A5	
SPATA31A3	1	SPATA31A3	
CHCHD10	1	CHCHD10	
IGF2R	1	IGF2R	
BSPRY	1	BSPRY	
SPINK13	1	SPINK13	
SPINK14	1	SPINK14	
ZMYND15	1	ZMYND15	
ZMYND19	1	ZMYND19	
PLEK	1	PLEK	
GRM1	1	GRM1	
PITPNC1	1	PITPNC1	
GRM3	1	GRM3	
GRM2	1	GRM2	
CA1	1	CA1	
GRM5	1	GRM5	
GRM4	1	GRM4	
GRM7	1	GRM7	
CA3	1	CA3	
ZIC2	1	ZIC2	
GRM6	1	GRM6	
CA2	1	CA2	
ZIC1	1	ZIC1	
GRM8	1	GRM8	
CA4	1	CA4	
CA7	1	CA7	
CA6	1	CA6	
CA9	1	CA9	
MYBL2	1	MYBL2	
CA8	1	CA8	
TMEM189-UBE2V1	1	TMEM189-UBE2V1	
MYBL1	1	MYBL1	
SUN3	1	SUN3	
SUN2	1	SUN2	
SUN1	1	SUN1	
CAD	1	CAD	
HUNK	1	HUNK	
SUN5	1	SUN5	
CFAP100	1	CFAP100	
ELF1	1	ELF1	
ELF2	1	ELF2	
ELF3	1	ELF3	
GFOD1	1	GFOD1	
ELF5	1	ELF5	
CAT	1	CAT	
GFOD2	1	GFOD2	
SPATA31D3	1	SPATA31D3	
SPATA31D4	1	SPATA31D4	
SPATA31D1	1	SPATA31D1	
ZMYND10	1	ZMYND10	
ZMYND11	1	ZMYND11	
ZMYND12	1	ZMYND12	
SHANK3	1	SHANK3	
SHANK2	1	SHANK2	
PLEC	1	PLEC	
SHANK1	1	SHANK1	
RRN3	1	RRN3	
DAPL1	1	DAPL1	
CBL	1	CBL	
SV2C	1	SV2C	
SV2B	1	SV2B	
SV2A	1	SV2A	
CBS	1	CBS	
TBX21	1	TBX21	
TBX20	1	TBX20	
CLVS2	1	CLVS2	
SPATA31E1	1	SPATA31E1	
CLVS1	1	CLVS1	
RRM1	1	RRM1	
RRM2	1	RRM2	
CCK	1	CCK	
ZIC4	1	ZIC4	
HS3ST5	1	HS3ST5	
ZIC5	1	ZIC5	
HS3ST6	1	HS3ST6	
SUOX	1	SUOX	
TBX19	1	TBX19	
HS3ST4	1	HS3ST4	
CFC1	1	CFC1	
HS3ST1	1	HS3ST1	
TBX18	1	TBX18	
HS3ST2	1	HS3ST2	
CD2	1	CD2	
TBX15	1	TBX15	
CCS	1	CCS	
CD4	1	CD4	
CD6	1	CD6	
CD5	1	CD5	
TBX10	1	TBX10	
CD7	1	CD7	
CD9	1	CD9	
CDA	1	CDA	
VPS29	1	VPS29	
FRMPD1	1	FRMPD1	
CLEC10A	1	CLEC10A	
FRMPD2	1	FRMPD2	
RRP1	1	RRP1	
RRP8	1	RRP8	
RRP9	1	RRP9	
ELK3	1	ELK3	
ELK4	1	ELK4	
ALCAM	1	ALCAM	
SCN11A	1	SCN11A	
VPS35	1	VPS35	
VPS36	1	VPS36	
VPS39	1	VPS39	
VPS18	1	VPS18	
CLEC11A	1	CLEC11A	
HUS1	1	HUS1	
CEL	1	CEL	
NUP93	1	NUP93	
BCAN	1	BCAN	
SCN10A	1	SCN10A	
BCAM	1	BCAM	
KRTAP4-12	1	KRTAP4-12	
HECW2	1	HECW2	
KRTAP4-11	1	KRTAP4-11	
HECW1	1	HECW1	
KRTAP4-16	1	KRTAP4-16P	
TARS2	1	TARS2	
SRFBP1	1	SRFBP1	
NUP98	1	NUP98	
TARS3	1	TARSL2	
TARS1	1	TARS	
VPS25	1	VPS25	
CFB	1	CFB	
VPS28	1	VPS28	
CFD	1	CFD	
CFH	1	CFH	
CFI	1	CFI	
RRP7A	1	RRP7A	
NUP85	1	NUP85	
RRS1	1	RRS1	
VPS11	1	VPS11	
ST3GAL4	1	ST3GAL4	
ST3GAL5	1	ST3GAL5	
ST3GAL6	1	ST3GAL6	
NUP88	1	NUP88	
CGA	1	CGA	
TRIM49D2	1	TRIM49D2	
ST3GAL1	1	ST3GAL1	
TRIM49D1	1	TRIM49D1	
ST3GAL2	1	ST3GAL2	
ST3GAL3	1	ST3GAL3	
VPS16	1	VPS16	
C3orf18	1	C3orf18	
PLK4	1	PLK4	
LRRC37A3	1	LRRC37A3	
PLK3	1	PLK3	
ARL14EP	1	ARL14EP	
NFE2	1	NFE2	
LRRC37A2	1	LRRC37A2	
PLK5	1	PLK5	
GTF2IRD2	1	GTF2IRD2	
PLK2	1	PLK2	
