NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
KEGG_N_GLYCAN_BIOSYNTHESIS	46	45		
KEGG_OTHER_GLYCAN_DEGRADATION	16	16		
KEGG_O_GLYCAN_BIOSYNTHESIS	30	29		
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	21	20		
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	15	15		
KEGG_GLYCEROLIPID_METABOLISM	49	45		
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	25	24		
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	77	75		
KEGG_ETHER_LIPID_METABOLISM	33	33		
KEGG_ARACHIDONIC_ACID_METABOLISM	58	58		
KEGG_LINOLEIC_ACID_METABOLISM	29	29		
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	19	19		
KEGG_SPHINGOLIPID_METABOLISM	39	38		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	26	26		
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	14		Rejected!	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	15	15		
KEGG_RIBOFLAVIN_METABOLISM	16	15		
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	24	24		
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	16	16		
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	41	40		
KEGG_BASAL_TRANSCRIPTION_FACTORS	35	32		
KEGG_NON_HOMOLOGOUS_END_JOINING	13		Rejected!	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	38	36		
KEGG_LYSOSOME	121	116		
KEGG_CARDIAC_MUSCLE_CONTRACTION	79	69		
KEGG_RENIN_ANGIOTENSIN_SYSTEM	17	15		
KEGG_CIRCADIAN_RHYTHM_MAMMAL	13		Rejected!	
KEGG_TASTE_TRANSDUCTION	52	50		
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	23	21		
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	56	54		
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	139	127		
KEGG_PRIMARY_IMMUNODEFICIENCY	35	31		
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	83	80		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	74	71		
KEGG_DILATED_CARDIOMYOPATHY	90	86		
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	62	59		
KEGG_CITRATE_CYCLE_TCA_CYCLE	31	28		
KEGG_PENTOSE_PHOSPHATE_PATHWAY	27	23		
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	28	28		
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	34	31		
KEGG_GALACTOSE_METABOLISM	26	25		
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	25	25		
KEGG_FATTY_ACID_METABOLISM	42	41		
KEGG_STEROID_BIOSYNTHESIS	17	15		
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	16	16		
KEGG_STEROID_HORMONE_BIOSYNTHESIS	55	54		
KEGG_OXIDATIVE_PHOSPHORYLATION	132	113		
KEGG_PURINE_METABOLISM	159	153		
KEGG_PYRIMIDINE_METABOLISM	98	94		
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	32	31		
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	31	28		
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	34	33		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	44	43		
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	11		Rejected!	
KEGG_LYSINE_DEGRADATION	44	42		
KEGG_ARGININE_AND_PROLINE_METABOLISM	54	48		
KEGG_HISTIDINE_METABOLISM	29	27		
KEGG_TYROSINE_METABOLISM	42	40		
KEGG_PHENYLALANINE_METABOLISM	18	16		
