NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	Details ...	26	0.55420035	1.6707748	0.006085193	0.444619	0.281	2857	tags=35%, list=16%, signal=41%	
KEGG_CARDIAC_MUSCLE_CONTRACTION	KEGG_CARDIAC_MUSCLE_CONTRACTION	Details ...	69	0.4913471	1.4931207	0.036072146	1.0	0.839	2961	tags=35%, list=16%, signal=41%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	58	0.5029821	1.4673465	0.028901733	1.0	0.887	4184	tags=48%, list=23%, signal=62%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	Details ...	28	0.5523299	1.4044029	0.08884688	1.0	0.961	5358	tags=61%, list=29%, signal=86%	
KEGG_TASTE_TRANSDUCTION	KEGG_TASTE_TRANSDUCTION	Details ...	50	0.5000758	1.4021137	0.072434604	1.0	0.963	1400	tags=20%, list=8%, signal=22%	
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	Details ...	19	0.5258361	1.383376	0.10176125	1.0	0.979	1229	tags=32%, list=7%, signal=34%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	254	0.421201	1.3800532	0.06566604	1.0	0.98	4874	tags=44%, list=27%, signal=59%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY	Details ...	23	0.41112697	1.3155614	0.1042471	1.0	0.991	4235	tags=30%, list=23%, signal=40%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	127	0.41082826	1.3120344	0.06272402	1.0	0.991	4089	tags=37%, list=22%, signal=47%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	Details ...	53	0.3778595	1.3076645	0.12015504	1.0	0.991	3908	tags=36%, list=21%, signal=45%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	59	0.40379006	1.2666792	0.17818181	1.0	0.996	4328	tags=29%, list=24%, signal=38%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	Details ...	25	0.42095733	1.2663217	0.15019763	1.0	0.996	1613	tags=20%, list=9%, signal=22%	
