NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTOR	mechanistic target of rapamycin kinase [Source:HGNC Symbol;Acc:HGNC:3942]	2765	0.17200906574726105	-0.12291107	No	
row_1	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	3518	0.14503562450408936	-0.13976248	No	
row_2	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3288]	3841	0.13502635061740875	-0.1346749	No	
row_3	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	4015	0.12944653630256653	-0.12234147	No	
row_4	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	4293	0.12107989192008972	-0.1171342	No	
row_5	RPS6KB2	ribosomal protein S6 kinase B2 [Source:HGNC Symbol;Acc:HGNC:10437]	5218	0.09623552113771439	-0.15166993	No	
row_6	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	5263	0.09499218314886093	-0.13806112	No	
row_7	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	5463	0.09010007232427597	-0.13379464	No	
row_8	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5536	0.08823215961456299	-0.122864895	No	
row_9	JUP	junction plakoglobin [Source:HGNC Symbol;Acc:HGNC:6207]	5857	0.08057834208011627	-0.12685357	No	
row_10	STAT5A	signal transducer and activator of transcription 5A [Source:HGNC Symbol;Acc:HGNC:11366]	6060	0.07541732490062714	-0.12522912	No	
row_11	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.13866675	No	
row_12	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.1640744	No	
row_13	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.15772277	No	
row_14	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	8290	0.022060951218008995	-0.21664158	No	
row_15	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.22279765	No	
row_16	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	8891	0.007802480831742287	-0.24521883	No	
row_17	ZBTB16	zinc finger and BTB domain containing 16 [Source:HGNC Symbol;Acc:HGNC:12930]	10469	-0.0018833562498912215	-0.3315542	No	
row_18	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	10834	-0.010389884933829308	-0.34980237	No	
row_19	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	10961	-0.013269289396703243	-0.35448712	No	
row_20	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11441	-0.026339853182435036	-0.37636334	No	
row_21	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.37424517	No	
row_22	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	11489	-0.02754807099699974	-0.3695974	No	
row_23	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	-0.3680595	No	
row_24	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	11717	-0.03412622585892677	-0.37125847	No	
row_25	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12040	-0.04323764890432358	-0.38165694	No	
row_26	RUNX1	RUNX family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:10471]	12353	-0.05172112211585045	-0.39007464	No	
row_27	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	12417	-0.05332457646727562	-0.38453978	No	
row_28	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	13020	-0.0710146576166153	-0.40563735	Yes	
row_29	CEBPA	CCAAT enhancer binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1833]	13184	-0.07525400072336197	-0.40189746	Yes	
row_30	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	13281	-0.07859940826892853	-0.39391166	Yes	
row_31	PML	promyelocytic leukemia [Source:HGNC Symbol;Acc:HGNC:9113]	13590	-0.08846519142389297	-0.39591035	Yes	
row_32	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13626	-0.08927727490663528	-0.3827712	Yes	
row_33	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	13846	-0.09634943306446075	-0.3785493	Yes	
row_34	STAT5B	signal transducer and activator of transcription 5B [Source:HGNC Symbol;Acc:HGNC:11367]	13954	-0.09899439662694931	-0.367727	Yes	
row_35	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14078	-0.10282886773347855	-0.35713693	Yes	
row_36	FLT3	fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	14096	-0.10339551419019699	-0.34062678	Yes	
row_37	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	14365	-0.11143092811107635	-0.3365529	Yes	
row_38	RPS6KB1	ribosomal protein S6 kinase B1 [Source:HGNC Symbol;Acc:HGNC:10436]	14492	-0.11652520298957825	-0.3238169	Yes	
row_39	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	14937	-0.1325138956308365	-0.3258569	Yes	
row_40	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	15318	-0.14656272530555725	-0.32200995	Yes	
row_41	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	15703	-0.1608590930700302	-0.3159708	Yes	
row_42	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	15859	-0.1681397706270218	-0.29612023	Yes	
row_43	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	16153	-0.1819571554660797	-0.28152126	Yes	
row_44	RUNX1T1	RUNX1 partner transcriptional co-repressor 1 [Source:HGNC Symbol;Acc:HGNC:1535]	16474	-0.1983887255191803	-0.26563367	Yes	
row_45	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	16499	-0.19970263540744781	-0.23325978	Yes	
row_46	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16853	-0.2215074896812439	-0.21528502	Yes	
row_47	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	16925	-0.226302832365036	-0.18100585	Yes	
row_48	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	16927	-0.226335808634758	-0.14287476	Yes	
row_49	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	16948	-0.22731436789035797	-0.10562258	Yes	
row_50	KIT	KIT proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6342]	16990	-0.22989894449710846	-0.06908826	Yes	
row_51	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	17065	-0.23503823578357697	-0.033500157	Yes	
row_52	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	17358	-0.2594310939311981	-0.0057753106	Yes	
row_53	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17880	-0.3250686228275299	0.020440403	Yes	
