NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.060058743	Yes	
row_1	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.1191971	Yes	
row_2	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	142	0.4097268283367157	0.1591602	Yes	
row_3	PLA2G2C	phospholipase A2 group IIC [Source:HGNC Symbol;Acc:HGNC:9032]	271	0.36806419491767883	0.19399875	Yes	
row_4	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	394	0.3373194634914398	0.22566934	Yes	
row_5	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	459	0.3270111083984375	0.25935486	Yes	
row_6	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	508	0.31772974133491516	0.29286385	Yes	
row_7	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	548	0.31029728055000305	0.3260219	Yes	
row_8	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	715	0.29093870520591736	0.34999767	Yes	
row_9	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.371408	Yes	
row_10	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.3908472	Yes	
row_11	PLA2G3	phospholipase A2 group III [Source:HGNC Symbol;Acc:HGNC:17934]	1231	0.24833567440509796	0.41069064	Yes	
row_12	GPX6	glutathione peroxidase 6 [Source:HGNC Symbol;Acc:HGNC:4558]	1567	0.22627583146095276	0.41802165	Yes	
row_13	CYP2J2	cytochrome P450 family 2 subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:2634]	1725	0.21804623305797577	0.4341993	Yes	
row_14	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1847	0.21209248900413513	0.45167822	Yes	
row_15	ALOX15	arachidonate 15-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:433]	2016	0.2033364176750183	0.4655778	Yes	
row_16	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	2471	0.18264849483966827	0.46140522	Yes	
row_17	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	2508	0.18129289150238037	0.48005176	Yes	
row_18	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	3429	0.14827795326709747	0.44635752	Yes	
row_19	EPHX2	epoxide hydrolase 2 [Source:HGNC Symbol;Acc:HGNC:3402]	3641	0.14102348685264587	0.4508047	Yes	
row_20	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	3738	0.1379331350326538	0.4612207	Yes	
row_21	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	3913	0.13265299797058105	0.46674916	Yes	
row_22	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	4007	0.12956997752189636	0.47637862	Yes	
row_23	GPX4	glutathione peroxidase 4 [Source:HGNC Symbol;Acc:HGNC:4556]	4259	0.12183491140604019	0.47644436	Yes	
row_24	CYP2U1	cytochrome P450 family 2 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:20582]	4265	0.12170752882957458	0.49001583	Yes	
row_25	PLA2G4E	phospholipase A2 group IVE [Source:HGNC Symbol;Acc:HGNC:24791]	4771	0.10829521715641022	0.47458136	No	
row_26	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	4837	0.10678847879171371	0.4831579	No	
row_27	PLA2G2E	phospholipase A2 group IIE [Source:HGNC Symbol;Acc:HGNC:13414]	5185	0.09690213948488235	0.47511098	No	
row_28	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	5319	0.09364045411348343	0.47845444	No	
row_29	PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	5655	0.08568888902664185	0.46979132	No	
row_30	CYP4F2	cytochrome P450 family 4 subfamily F member 2 [Source:HGNC Symbol;Acc:HGNC:2645]	6092	0.07461683452129364	0.45431763	No	
row_31	GGT5	gamma-glutamyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4260]	6104	0.07439729571342468	0.462177	No	
row_32	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:26891]	6581	0.062021855264902115	0.443072	No	
row_33	CYP4A11	cytochrome P450 family 4 subfamily A member 11 [Source:HGNC Symbol;Acc:HGNC:2642]	6841	0.056165557354688644	0.43522707	No	
row_34	PLA2G1B	phospholipase A2 group IB [Source:HGNC Symbol;Acc:HGNC:9030]	7832	0.032260049134492874	0.38448665	No	
row_35	CBR3	carbonyl reductase 3 [Source:HGNC Symbol;Acc:HGNC:1549]	8416	0.018832923844456673	0.35458744	No	
row_36	ALOX5	arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]	8804	0.01012456975877285	0.3344697	No	
row_37	ALOX12	arachidonate 12-lipoxygenase, 12S type [Source:HGNC Symbol;Acc:HGNC:429]	8847	0.008895174600183964	0.33317333	No	
row_38	AKR1C3	aldo-keto reductase family 1 member C3 [Source:HGNC Symbol;Acc:HGNC:386]	9445	0.0	0.30036214	No	
row_39	PLA2G4B	phospholipase A2 group IVB [Source:HGNC Symbol;Acc:HGNC:9036]	9454	0.0	0.29992244	No	
row_40	CBR1	carbonyl reductase 1 [Source:HGNC Symbol;Acc:HGNC:1548]	10283	0.0	0.25441545	No	
row_41	GPX2	glutathione peroxidase 2 [Source:HGNC Symbol;Acc:HGNC:4554]	10368	0.0	0.24979879	No	
row_42	GPX3	glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]	10418	-5.17030362971127E-4	0.24716456	No	
row_43	PTGS1	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	10436	-0.001040745060890913	0.24634865	No	
row_44	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	10465	-0.0017687943764030933	0.24501099	No	
row_45	PLA2G6	phospholipase A2 group VI [Source:HGNC Symbol;Acc:HGNC:9039]	10672	-0.00671639246866107	0.2344533	No	
row_46	PLA2G12B	phospholipase A2 group XIIB [Source:HGNC Symbol;Acc:HGNC:18555]	11096	-0.01666427031159401	0.213101	No	
row_47	GPX7	glutathione peroxidase 7 [Source:HGNC Symbol;Acc:HGNC:4559]	11105	-0.016837449744343758	0.21457686	No	
row_48	GPX5	glutathione peroxidase 5 [Source:HGNC Symbol;Acc:HGNC:4557]	11401	-0.025051383301615715	0.20121363	No	
row_49	GPX1	glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]	12144	-0.04628743603825569	0.16569915	No	
row_50	TBXAS1	thromboxane A synthase 1 [Source:HGNC Symbol;Acc:HGNC:11609]	12488	-0.05511736869812012	0.15311834	No	
row_51	CYP4F3	cytochrome P450 family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:2646]	13896	-0.09764102846384048	0.08689771	No	
row_52	PLA2G12A	phospholipase A2 group XIIA [Source:HGNC Symbol;Acc:HGNC:18554]	14460	-0.11552926898002625	0.06909853	No	
row_53	PLA2G10	phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029]	15086	-0.13781650364398956	0.050427366	No	
row_54	HPGDS	hematopoietic prostaglandin D synthase [Source:HGNC Symbol;Acc:HGNC:17890]	15538	-0.15405401587486267	0.043166555	No	
row_55	LTA4H	leukotriene A4 hydrolase [Source:HGNC Symbol;Acc:HGNC:6710]	17334	-0.257566899061203	-0.026184378	No	
row_56	PTGS2	prostaglandin-endoperoxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:9605]	17652	-0.2918696701526642	-0.010401692	No	
row_57	PLA2G4A	phospholipase A2 group IVA [Source:HGNC Symbol;Acc:HGNC:9035]	18089	-0.3808037340641022	0.008958471	No	
