NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1B1	aldehyde dehydrogenase 1 family member B1 [Source:HGNC Symbol;Acc:HGNC:407]	392	0.3374370336532593	0.14287737	Yes	
row_1	UGT2B28	UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]	903	0.27295470237731934	0.24786854	Yes	
row_2	UGT1A8	UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540]	1148	0.2538566291332245	0.35814902	Yes	
row_3	ALDH2	aldehyde dehydrogenase 2 family member [Source:HGNC Symbol;Acc:HGNC:404]	2317	0.18958018720149994	0.3864259	Yes	
row_4	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	2450	0.18380287289619446	0.46872404	Yes	
row_5	UGT2B4	UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553]	2566	0.17932409048080444	0.5497729	Yes	
row_6	ALDH7A1	aldehyde dehydrogenase 7 family member A1 [Source:HGNC Symbol;Acc:HGNC:877]	2655	0.17664825916290283	0.63099957	Yes	
row_7	UGT2B10	UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]	3613	0.14190687239170074	0.64762795	Yes	
row_8	UGT2B11	UDP glucuronosyltransferase family 2 member B11 [Source:HGNC Symbol;Acc:HGNC:12545]	5175	0.09706848859786987	0.6092775	No	
row_9	UGT2B17	UDP glucuronosyltransferase family 2 member B17 [Source:HGNC Symbol;Acc:HGNC:12547]	7625	0.03778970241546631	0.493333	No	
row_10	UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus [Source:HGNC Symbol;Acc:HGNC:12542]	7807	0.03293425589799881	0.4994472	No	
row_11	UGT2A3	UDP glucuronosyltransferase family 2 member A3 [Source:HGNC Symbol;Acc:HGNC:28528]	8676	0.013168842531740665	0.45824334	No	
row_12	ALDH3A2	aldehyde dehydrogenase 3 family member A2 [Source:HGNC Symbol;Acc:HGNC:403]	9076	0.002729539293795824	0.43768364	No	
row_13	UGT1A10	UDP glucuronosyltransferase family 1 member A10 [Source:HGNC Symbol;Acc:HGNC:12531]	9727	0.0	0.4020242	No	
row_14	UGT2B7	UDP glucuronosyltransferase family 2 member B7 [Source:HGNC Symbol;Acc:HGNC:12554]	10245	0.0	0.37366125	No	
row_15	UGT1A1	UDP glucuronosyltransferase family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:12530]	10269	0.0	0.37239948	No	
row_16	UGT1A5	UDP glucuronosyltransferase family 1 member A5 [Source:HGNC Symbol;Acc:HGNC:12537]	10271	0.0	0.3723446	No	
row_17	UGT1A4	UDP glucuronosyltransferase family 1 member A4 [Source:HGNC Symbol;Acc:HGNC:12536]	10272	0.0	0.3723446	No	
row_18	UGT1A3	UDP glucuronosyltransferase family 1 member A3 [Source:HGNC Symbol;Acc:HGNC:12535]	10273	0.0	0.3723446	No	
row_19	UGT1A9	UDP glucuronosyltransferase family 1 member A9 [Source:HGNC Symbol;Acc:HGNC:12541]	10274	0.0	0.3723446	No	
row_20	UGT1A7	UDP glucuronosyltransferase family 1 member A7 [Source:HGNC Symbol;Acc:HGNC:12539]	10275	0.0	0.3723446	No	
row_21	UGT1A6	UDP glucuronosyltransferase family 1 member A6 [Source:HGNC Symbol;Acc:HGNC:12538]	10276	0.0	0.3723446	No	
row_22	UGT2B15	UDP glucuronosyltransferase family 2 member B15 [Source:HGNC Symbol;Acc:HGNC:12546]	10612	-0.0051844739355146885	0.35649192	No	
row_23	UGDH	UDP-glucose 6-dehydrogenase [Source:HGNC Symbol;Acc:HGNC:12525]	11186	-0.01954103633761406	0.3345762	No	
row_24	ALDH9A1	aldehyde dehydrogenase 9 family member A1 [Source:HGNC Symbol;Acc:HGNC:412]	14276	-0.10882536321878433	0.21812598	No	
