NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACOT4	acyl-CoA thioesterase 4 [Source:HGNC Symbol;Acc:HGNC:19748]	885	0.2743105888366699	0.07885128	Yes	
row_1	BAAT	bile acid-CoA:amino acid N-acyltransferase [Source:HGNC Symbol;Acc:HGNC:932]	911	0.27221664786338806	0.2039025	Yes	
row_2	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	2018	0.2032010704278946	0.23760699	Yes	
row_3	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	3158	0.15717622637748718	0.24812657	Yes	
row_4	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	3408	0.1490539014339447	0.30369195	Yes	
row_5	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	3936	0.1321335881948471	0.33615044	Yes	
row_6	ACOT7	acyl-CoA thioesterase 7 [Source:HGNC Symbol;Acc:HGNC:24157]	4283	0.12126784026622772	0.37349084	Yes	
row_7	HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha [Source:HGNC Symbol;Acc:HGNC:4801]	4442	0.11707568913698196	0.41919643	Yes	
row_8	ELOVL6	ELOVL fatty acid elongase 6 [Source:HGNC Symbol;Acc:HGNC:15829]	6604	0.06118389964103699	0.32907704	No	
row_9	ACOX3	acyl-CoA oxidase 3, pristanoyl [Source:HGNC Symbol;Acc:HGNC:121]	6844	0.056113071739673615	0.34202746	No	
row_10	PECR	peroxisomal trans-2-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:18281]	8612	0.014483388513326645	0.25183097	No	
row_11	HACD2	3-hydroxyacyl-CoA dehydratase 2 [Source:HGNC Symbol;Acc:HGNC:9640]	8711	0.012246999889612198	0.25214326	No	
row_12	TECR	trans-2,3-enoyl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:4551]	8740	0.011547021567821503	0.25597006	No	
row_13	FADS1	fatty acid desaturase 1 [Source:HGNC Symbol;Acc:HGNC:3574]	9220	0.0	0.22969614	No	
row_14	ACOT1	acyl-CoA thioesterase 1 [Source:HGNC Symbol;Acc:HGNC:33128]	9459	0.0	0.21664144	No	
row_15	YOD1	YOD1 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:25035]	9538	0.0	0.21236302	No	
row_16	SCD5	stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:HGNC:21088]	12338	-0.05147324874997139	0.08273846	No	
row_17	HACD1	3-hydroxyacyl-CoA dehydratase 1 [Source:HGNC Symbol;Acc:HGNC:9639]	12642	-0.060118358582258224	0.09403851	No	
row_18	ACOX1	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	13147	-0.07420442998409271	0.10085522	No	
row_19	HSD17B12	hydroxysteroid 17-beta dehydrogenase 12 [Source:HGNC Symbol;Acc:HGNC:18646]	13308	-0.07923576235771179	0.12887754	No	
row_20	ACOT2	acyl-CoA thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:18431]	15323	-0.1470157504081726	0.08668323	No	
row_21	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	15664	-0.15917184948921204	0.14195606	No	
