NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	UQCRC1	ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]	71	0.4551730155944824	0.040411465	Yes	
row_1	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	86	0.4418748915195465	0.082662836	Yes	
row_2	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	265	0.36996176838874817	0.108893774	Yes	
row_3	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	281	0.36243659257888794	0.14335598	Yes	
row_4	UQCRHL	ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]	451	0.3281792104244232	0.16601388	Yes	
row_5	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	643	0.2978164255619049	0.18450578	Yes	
row_6	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	724	0.28999510407447815	0.20834045	Yes	
row_7	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1248	0.2474210411310196	0.20366801	Yes	
row_8	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	1524	0.22847244143486023	0.21078908	Yes	
row_9	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	1648	0.22242015600204468	0.22567989	Yes	
row_10	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	1766	0.21618899703025818	0.240294	Yes	
row_11	COX4I1	cytochrome c oxidase subunit 4I1 [Source:HGNC Symbol;Acc:HGNC:2265]	1834	0.2128022462129593	0.25732803	Yes	
row_12	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	1883	0.2104516327381134	0.27517807	Yes	
row_13	COX6B1	cytochrome c oxidase subunit 6B1 [Source:HGNC Symbol;Acc:HGNC:2280]	1931	0.20782528817653656	0.2928274	Yes	
row_14	COX4I2	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	2229	0.19344215095043182	0.29532805	Yes	
row_15	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	2326	0.18928921222686768	0.30847803	Yes	
row_16	UQCRB	ubiquinol-cytochrome c reductase binding protein [Source:HGNC Symbol;Acc:HGNC:12582]	2435	0.18456894159317017	0.3205085	Yes	
row_17	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	2694	0.17509175837039948	0.3233673	Yes	
row_18	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	2752	0.172730952501297	0.33704987	Yes	
row_19	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	2804	0.17054663598537445	0.35084978	Yes	
row_20	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	2806	0.17039696872234344	0.36738476	Yes	
row_21	ATP1B2	ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]	3162	0.1570178121328354	0.36314946	Yes	
row_22	COX6A1	cytochrome c oxidase subunit 6A1 [Source:HGNC Symbol;Acc:HGNC:2277]	3326	0.15154360234737396	0.36893994	Yes	
