NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	1926	0.20795617997646332	-0.09309757	No	
row_1	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2097	0.19939319789409637	-0.08989016	No	
row_2	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.087172106	No	
row_3	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2342	0.1884545385837555	-0.07930535	No	
row_4	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.078386955	No	
row_5	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	-0.08677566	No	
row_6	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	2884	0.16744790971279144	-0.076484285	No	
row_7	E2F4	E2F transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3118]	2897	0.16709448397159576	-0.06660128	No	
row_8	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	3406	0.14908438920974731	-0.08520978	No	
row_9	ORC6	origin recognition complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:17151]	4050	0.1281745582818985	-0.11258324	No	
row_10	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	4169	0.12414678186178207	-0.11125655	No	
row_11	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	4604	0.1125209778547287	-0.12809128	No	
row_12	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	4758	0.10866843909025192	-0.12967166	No	
row_13	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4996	0.10226520895957947	-0.13628884	No	
row_14	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	5378	0.0923282578587532	-0.15147485	No	
row_15	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	5389	0.09198301285505295	-0.1462216	No	
row_16	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	5463	0.09010007232427597	-0.14456168	No	
row_17	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	5531	0.08839627355337143	-0.1426784	No	
row_18	MCM2	minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944]	5566	0.08744155615568161	-0.13903536	No	
row_19	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	5644	0.08598975092172623	-0.13785544	No	
row_20	MAD1L1	mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]	5943	0.07827488332986832	-0.14935078	No	
row_21	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.14549093	No	
row_22	WEE2	WEE2 oocyte meiosis inhibiting kinase [Source:HGNC Symbol;Acc:HGNC:19684]	6359	0.06737371534109116	-0.16302387	No	
row_23	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	6394	0.06644171476364136	-0.16070607	No	
row_24	CDC25B	cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]	6505	0.06358470022678375	-0.16276006	No	
row_25	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	6672	0.05972565710544586	-0.16814604	No	
row_26	TFDP1	transcription factor Dp-1 [Source:HGNC Symbol;Acc:HGNC:11749]	6689	0.05936948582530022	-0.16528183	No	
row_27	ORC1	origin recognition complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:8487]	6922	0.05405435711145401	-0.17466569	No	
row_28	MCM5	minichromosome maintenance complex component 5 [Source:HGNC Symbol;Acc:HGNC:6948]	7018	0.05138495936989784	-0.1766623	No	
row_29	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.18077788	No	
row_30	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	7585	0.038688041269779205	-0.20232713	No	
row_31	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	7752	0.03443736210465431	-0.20930898	No	
row_32	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	7919	0.030214862897992134	-0.2165573	No	
row_33	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	8038	0.02720930427312851	-0.22134803	No	
row_34	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	8136	0.025018509477376938	-0.22511885	No	
row_35	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	8471	0.017736153677105904	-0.24242005	No	
row_36	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	8669	0.013286961242556572	-0.25244632	No	
row_37	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	9121	0.0015227538533508778	-0.27722338	No	
row_38	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9335	0.0	-0.28897056	No	
row_39	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	9836	0.0	-0.3165461	No	
row_40	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	9837	0.0	-0.3165461	No	
row_41	PTTG2	pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]	9923	0.0	-0.32123396	No	
row_42	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	10366	0.0	-0.34561074	No	
row_43	ZBTB17	zinc finger and BTB domain containing 17 [Source:HGNC Symbol;Acc:HGNC:12936]	10479	-0.002190839732065797	-0.35164943	No	
row_44	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	10600	-0.004943913780152798	-0.35795555	No	
row_45	PCNA	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	10622	-0.005427936557680368	-0.3587712	No	
row_46	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	10806	-0.009736141189932823	-0.36824942	No	
row_47	CDK7	cyclin dependent kinase 7 [Source:HGNC Symbol;Acc:HGNC:1778]	10830	-0.01030782051384449	-0.3688674	No	
row_48	HDAC1	histone deacetylase 1 [Source:HGNC Symbol;Acc:HGNC:4852]	11151	-0.018222037702798843	-0.3853658	No	
row_49	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	11328	-0.023079559206962585	-0.39361593	No	
row_50	ORC3	origin recognition complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:8489]	11701	-0.03375926986336708	-0.4120017	No	
row_51	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	11735	-0.03455669805407524	-0.41164094	No	
row_52	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	11793	-0.03614307567477226	-0.41250366	No	
row_53	CCNB2	cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]	11904	-0.039430201053619385	-0.41608196	No	
row_54	PRKDC	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	11905	-0.039454616606235504	-0.4135921	No	
row_55	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11958	-0.040939636528491974	-0.41387638	No	
row_56	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	12107	-0.045204512774944305	-0.41918603	No	
row_57	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	12188	-0.047563765197992325	-0.4205965	No	
row_58	RBL1	RB transcriptional corepressor like 1 [Source:HGNC Symbol;Acc:HGNC:9893]	12746	-0.06304467469453812	-0.44733712	No	
row_59	CDC14B	cell division cycle 14B [Source:HGNC Symbol;Acc:HGNC:1719]	12813	-0.0648328959941864	-0.4468857	No	
row_60	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	12834	-0.06525758653879166	-0.4438705	No	
row_61	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	12969	-0.06935232877731323	-0.44688416	No	
row_62	CCNA2	cyclin A2 [Source:HGNC Symbol;Acc:HGNC:1578]	13048	-0.07156079262495041	-0.44666997	No	
