NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	969	0.26787418127059937	-0.015242298	No	
row_1	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.07552429	No	
row_2	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3268	0.1534596085548401	-0.09408917	No	
row_3	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	4338	0.11992145329713821	-0.13582925	No	
row_4	MSH6	mutS homolog 6 [Source:HGNC Symbol;Acc:HGNC:7329]	4557	0.11356426030397415	-0.13169289	No	
row_5	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	4901	0.10472903400659561	-0.13568176	No	
row_6	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	5263	0.09499218314886093	-0.14204217	No	
row_7	DCC	DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]	5509	0.08891638368368149	-0.14288858	No	
row_8	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	5931	0.07845129817724228	-0.15489501	No	
row_9	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.17713708	No	
row_10	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	6617	0.06093304604291916	-0.17480952	No	
row_11	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.19516683	No	
row_12	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.19011149	No	
row_13	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	7780	0.03360572084784508	-0.219972	No	
row_14	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	7919	0.030214862897992134	-0.22326896	No	
row_15	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	7969	0.02905319631099701	-0.22183855	No	
row_16	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	8290	0.022060951218008995	-0.2362973	No	
row_17	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	8312	0.021428566426038742	-0.23441002	No	
row_18	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.23983954	No	
row_19	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	8501	0.017133347690105438	-0.23971629	No	
row_20	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	8891	0.007802480831742287	-0.2599918	No	
row_21	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9335	0.0	-0.28434315	No	
row_22	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	10411	-3.361325361765921E-4	-0.34338737	No	
row_23	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	10785	-0.00919162854552269	-0.3625862	No	
row_24	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11441	-0.026339853182435036	-0.39485228	No	
row_25	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.39347225	No	
row_26	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	-0.39278397	No	
row_27	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	11717	-0.03412622585892677	-0.39689997	No	
