NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	47	0.4787881672382355	0.045861285	Yes	
row_1	F7	coagulation factor VII [Source:HGNC Symbol;Acc:HGNC:3544]	80	0.4475606083869934	0.089387655	Yes	
row_2	SERPINF2	serpin family F member 2 [Source:HGNC Symbol;Acc:HGNC:9075]	530	0.31363409757614136	0.09643308	Yes	
row_3	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	570	0.3079046308994293	0.12544358	Yes	
row_4	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	601	0.3038935363292694	0.15454312	Yes	
row_5	F12	coagulation factor XII [Source:HGNC Symbol;Acc:HGNC:3530]	618	0.3014388084411621	0.18416409	Yes	
row_6	F10	coagulation factor X [Source:HGNC Symbol;Acc:HGNC:3528]	645	0.29746925830841064	0.21283355	Yes	
row_7	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	673	0.2946876883506775	0.24116656	Yes	
row_8	MASP2	mannan binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]	1161	0.25274133682250977	0.23996109	Yes	
row_9	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1187	0.2513750195503235	0.26402155	Yes	
row_10	SERPINA5	serpin family A member 5 [Source:HGNC Symbol;Acc:HGNC:8723]	1199	0.25063857436180115	0.2887773	Yes	
row_11	KNG1	kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383]	1279	0.24561987817287445	0.3092861	Yes	
row_12	C4BPA	complement component 4 binding protein alpha [Source:HGNC Symbol;Acc:HGNC:1325]	1391	0.23813095688819885	0.3272775	Yes	
row_13	CPB2	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	1396	0.2378765195608139	0.35112685	Yes	
row_14	SERPINC1	serpin family C member 1 [Source:HGNC Symbol;Acc:HGNC:775]	1398	0.23767250776290894	0.37512052	Yes	
row_15	PLG	plasminogen [Source:HGNC Symbol;Acc:HGNC:9071]	1437	0.23504996299743652	0.3968143	Yes	
row_16	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	1484	0.23153813183307648	0.4177128	Yes	
row_17	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	2220	0.19407881796360016	0.39693478	No	
row_18	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	3107	0.15916763246059418	0.3643212	No	
row_19	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	3128	0.15825505554676056	0.37923434	No	
row_20	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	3189	0.15604856610298157	0.3917247	No	
row_21	CFI	complement factor I [Source:HGNC Symbol;Acc:HGNC:5394]	3243	0.15448366105556488	0.40444165	No	
row_22	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	4005	0.12960661947727203	0.3757104	No	
row_23	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	4089	0.12684184312820435	0.3839808	No	
row_24	F11	coagulation factor XI [Source:HGNC Symbol;Acc:HGNC:3529]	4524	0.11451084166765213	0.37170294	No	
row_25	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	4701	0.11044684052467346	0.37320063	No	
row_26	KLKB1	kallikrein B1 [Source:HGNC Symbol;Acc:HGNC:6371]	5038	0.10113714635372162	0.36495835	No	
row_27	C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	5200	0.09657766669988632	0.36587748	No	
row_28	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	5673	0.08519165217876434	0.3485435	No	
row_29	MASP1	mannan binding lectin serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:6901]	5889	0.07953805476427078	0.34476918	No	
row_30	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	6154	0.07302553206682205	0.33764154	No	
row_31	C4A	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	6674	0.05964347720146179	0.31513807	No	
row_32	BDKRB1	bradykinin receptor B1 [Source:HGNC Symbol;Acc:HGNC:1029]	7337	0.04409225657582283	0.28319788	No	
