NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP2C19	cytochrome P450 family 2 subfamily C member 19 [Source:HGNC Symbol;Acc:HGNC:2621]	15	0.5351577997207642	0.0668478	Yes	
row_1	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	20	0.5217536091804504	0.13260552	Yes	
row_2	CYP3A4	cytochrome P450 family 3 subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:2637]	446	0.32913416624069214	0.15085356	Yes	
row_3	CYP2B6	cytochrome P450 family 2 subfamily B member 6 [Source:HGNC Symbol;Acc:HGNC:2615]	459	0.3270111083984375	0.19154541	Yes	
row_4	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	546	0.31089532375335693	0.22612986	Yes	
row_5	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide [Source:HGNC Symbol;Acc:HGNC:250]	550	0.3099481761455536	0.26515898	Yes	
row_6	CYP2C8	cytochrome P450 family 2 subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:2622]	893	0.27370285987854004	0.280962	Yes	
row_7	UGT2B28	UDP glucuronosyltransferase family 2 member B28 [Source:HGNC Symbol;Acc:HGNC:13479]	903	0.27295470237731934	0.3149832	Yes	
row_8	GSTP1	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	1030	0.26221269369125366	0.3412118	Yes	
row_9	CYP2C9	cytochrome P450 family 2 subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:2623]	1077	0.2592755854129791	0.37146845	Yes	
row_10	UGT1A8	UDP glucuronosyltransferase family 1 member A8 [Source:HGNC Symbol;Acc:HGNC:12540]	1148	0.2538566291332245	0.39972004	Yes	
row_11	GSTT1	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:HGNC:4641]	1995	0.2045210748910904	0.37905806	Yes	
row_12	CYP2A13	cytochrome P450 family 2 subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:2608]	2178	0.19584503769874573	0.3938146	Yes	
row_13	CYP3A5	cytochrome P450 family 3 subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:2638]	2281	0.19120649993419647	0.41238406	Yes	
row_14	UGT2B4	UDP glucuronosyltransferase family 2 member B4 [Source:HGNC Symbol;Acc:HGNC:12553]	2566	0.17932409048080444	0.41944212	Yes	
row_15	GSTZ1	glutathione S-transferase zeta 1 [Source:HGNC Symbol;Acc:HGNC:4643]	2663	0.1762426793575287	0.43644932	Yes	
row_16	GSTA5	glutathione S-transferase alpha 5 [Source:HGNC Symbol;Acc:HGNC:19662]	2898	0.16708886623382568	0.44470987	Yes	
row_17	UGT2B10	UDP glucuronosyltransferase family 2 member B10 [Source:HGNC Symbol;Acc:HGNC:12544]	3613	0.14190687239170074	0.42338923	Yes	
row_18	FMO4	flavin containing dimethylaniline monoxygenase 4 [Source:HGNC Symbol;Acc:HGNC:3772]	3740	0.13791850209236145	0.43390036	Yes	
row_19	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide [Source:HGNC Symbol;Acc:HGNC:256]	3856	0.13456091284751892	0.44459185	Yes	
row_20	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	3950	0.1315585821866989	0.45611355	Yes	
row_21	ADH6	alcohol dehydrogenase 6 (class V) [Source:HGNC Symbol;Acc:HGNC:255]	4048	0.12821929156780243	0.46699297	Yes	
row_22	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:249]	4177	0.12403672933578491	0.47563875	Yes	
row_23	CYP1A2	cytochrome P450 family 1 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2596]	4598	0.11270738393068314	0.46679378	Yes	
row_24	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	4734	0.10945016890764236	0.47321007	Yes	
row_25	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	4795	0.10765375196933746	0.48352367	Yes	
row_26	CYP2C18	cytochrome P450 family 2 subfamily C member 18 [Source:HGNC Symbol;Acc:HGNC:2620]	4837	0.10678847879171371	0.49477273	Yes	
