NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PARD6A	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	266	0.3694098889827728	9.040683E-4	No	
row_1	ADRB3	adrenoceptor beta 3 [Source:HGNC Symbol;Acc:HGNC:288]	434	0.33065587282180786	0.005646598	No	
row_2	VPS37D	VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]	983	0.2662082314491272	-0.013414884	No	
row_3	IQSEC3	IQ motif and Sec7 domain ArfGEF 3 [Source:HGNC Symbol;Acc:HGNC:29193]	1046	0.2608415484428406	-0.0058153304	No	
row_4	FGFR4	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]	1058	0.2603478729724884	0.004584926	No	
row_5	HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	1175	0.25195929408073425	0.008821342	No	
row_6	PSD2	pleckstrin and Sec7 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19092]	1282	0.24552302062511444	0.013338849	No	
row_7	PLD2	phospholipase D2 [Source:HGNC Symbol;Acc:HGNC:9068]	1285	0.24514181911945343	0.02359404	No	
row_8	PARD6G	par-6 family cell polarity regulator gamma [Source:HGNC Symbol;Acc:HGNC:16076]	1388	0.2383280098438263	0.028028607	No	
row_9	AP2S1	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	1819	0.21371778845787048	0.013275917	No	
row_10	SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1 [Source:HGNC Symbol;Acc:HGNC:10831]	1955	0.20670372247695923	0.01454752	No	
row_11	SNF8	SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028]	2024	0.20298516750335693	0.019368663	No	
row_12	EPN1	epsin 1 [Source:HGNC Symbol;Acc:HGNC:21604]	2083	0.19997148215770721	0.024615621	No	
row_13	PRKCZ	protein kinase C zeta [Source:HGNC Symbol;Acc:HGNC:9412]	2177	0.19590072333812714	0.02775407	No	
row_14	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:14987]	2302	0.19025439023971558	0.028938688	No	
row_15	IL2RB	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	2360	0.1878224015235901	0.033727247	No	
row_16	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	2365	0.18771591782569885	0.04144353	No	
row_17	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	2410	0.18537205457687378	0.0468477	No	
row_18	AGAP1	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16922]	2451	0.18360726535320282	0.052398548	No	
row_19	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]	2485	0.18208782374858856	0.05827242	No	
row_20	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	2574	0.17899058759212494	0.06097245	No	
row_21	FGFR3	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	2615	0.17771956324577332	0.06627434	No	
row_22	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2622	0.1775524914264679	0.07345021	No	
row_23	PSD4	pleckstrin and Sec7 domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19096]	2922	0.16623307764530182	0.0639372	No	
row_24	ERBB3	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	3273	0.15333615243434906	0.05105727	No	
row_25	AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	3293	0.15282846987247467	0.056468457	No	
row_26	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	3416	0.14870396256446838	0.056006763	No	
row_27	SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3 [Source:HGNC Symbol;Acc:HGNC:10832]	3618	0.1417473405599594	0.05088023	No	
row_28	ARFGAP2	ADP ribosylation factor GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:13504]	3960	0.1312556266784668	0.037564546	No	
row_29	CHMP2A	charged multivesicular body protein 2A [Source:HGNC Symbol;Acc:HGNC:30216]	3971	0.1309567391872406	0.042548813	No	
row_30	GRK2	G protein-coupled receptor kinase 2 [Source:HGNC Symbol;Acc:HGNC:289]	4066	0.12762188911437988	0.042744763	No	
row_31	ARAP1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]	4088	0.12699520587921143	0.04695294	No	
row_32	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	4098	0.12636367976665497	0.051798314	No	
row_33	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	4199	0.12352733314037323	0.05148917	No	
row_34	EHD2	EH domain containing 2 [Source:HGNC Symbol;Acc:HGNC:3243]	4372	0.11854252964258194	0.046985846	No	
row_35	DNM1	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	4479	0.11596903204917908	0.046025153	No	
row_36	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	4522	0.11460278928279877	0.04854749	No	
row_37	CHMP4A	charged multivesicular body protein 4A [Source:HGNC Symbol;Acc:HGNC:20274]	4537	0.11406688392162323	0.052596267	No	
row_38	VPS25	vacuolar protein sorting 25 homolog [Source:HGNC Symbol;Acc:HGNC:28122]	4915	0.10433980822563171	0.036150746	No	
row_39	EPN2	epsin 2 [Source:HGNC Symbol;Acc:HGNC:18639]	5186	0.09686820209026337	0.025309067	No	
row_40	LDLRAP1	low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]	5302	0.09389585256576538	0.02291708	No	
row_41	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	5410	0.09126174449920654	0.020856313	No	
row_42	PSD	pleckstrin and Sec7 domain containing [Source:HGNC Symbol;Acc:HGNC:9507]	5517	0.08879246562719345	0.018746456	No	
row_43	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	5588	0.08693436533212662	0.018549731	No	
row_44	CHMP5	charged multivesicular body protein 5 [Source:HGNC Symbol;Acc:HGNC:26942]	5742	0.08346445858478546	0.013614302	No	
row_45	PSD3	pleckstrin and Sec7 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19093]	5965	0.07770359516143799	0.0046178466	No	
row_46	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate [Source:HGNC Symbol;Acc:HGNC:4897]	5980	0.07738897949457169	0.007115695	No	
row_47	AP2A2	adaptor related protein complex 2 subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:562]	5988	0.07713119685649872	0.009989919	No	
row_48	RAB11FIP4	RAB11 family interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:30267]	6008	0.07666223496198654	0.012180412	No	
row_49	IQSEC1	IQ motif and Sec7 domain ArfGEF 1 [Source:HGNC Symbol;Acc:HGNC:29112]	6063	0.0753723531961441	0.012379986	No	
row_50	ARFGAP1	ADP ribosylation factor GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:15852]	6098	0.0745076909661293	0.013649499	No	
row_51	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	6115	0.07406304031610489	0.01589606	No	
row_52	SH3GLB2	SH3 domain containing GRB2 like, endophilin B2 [Source:HGNC Symbol;Acc:HGNC:10834]	6117	0.07403191924095154	0.01897118	No	
row_53	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	6237	0.07063107192516327	0.015374143	No	
row_54	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 [Source:HGNC Symbol;Acc:HGNC:16467]	6511	0.06348121911287308	0.0029547166	No	
row_55	ARRB1	arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]	6512	0.06346918642520905	0.005638516	No	
row_56	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	6589	0.06175436079502106	0.004045102	No	
row_57	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	6736	0.05818939581513405	-0.0015718101	No	
row_58	GRK6	G protein-coupled receptor kinase 6 [Source:HGNC Symbol;Acc:HGNC:4545]	7042	0.05072219297289848	-0.016301153	No	
row_59	RAB11FIP5	RAB11 family interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:24845]	7064	0.05019545555114746	-0.01534046	No	
row_60	SMAP2	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	7066	0.05018876865506172	-0.013273549	No	
row_61	HLA-C	major histocompatibility complex, class I, C [Source:HGNC Symbol;Acc:HGNC:4933]	7291	0.0453014001250267	-0.023750784	No	
row_62	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase type 1 gamma [Source:HGNC Symbol;Acc:HGNC:8996]	7330	0.04422058165073395	-0.023983264	No	
row_63	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	7382	0.042984336614608765	-0.024987245	No	
row_64	GRK7	G protein-coupled receptor kinase 7 [Source:HGNC Symbol;Acc:HGNC:17031]	7588	0.03857840970158577	-0.034697585	No	
row_65	GIT1	GIT ArfGAP 1 [Source:HGNC Symbol;Acc:HGNC:4272]	7782	0.03356059268116951	-0.043956205	No	
row_66	CHMP3	charged multivesicular body protein 3 [Source:HGNC Symbol;Acc:HGNC:29865]	7814	0.03274332359433174	-0.044286728	No	
row_67	EPN3	epsin 3 [Source:HGNC Symbol;Acc:HGNC:18235]	7839	0.03207261487841606	-0.044258334	No	
row_68	AGAP2	ArfGAP with GTPase domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16921]	7846	0.03192080184817314	-0.04324051	No	
row_69	ARAP3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3 [Source:HGNC Symbol;Acc:HGNC:24097]	7884	0.031067967414855957	-0.043973826	No	
row_70	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	7890	0.03095138445496559	-0.04294167	No	
row_71	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	7949	0.029476549476385117	-0.0449041	No	
row_72	RAB11FIP3	RAB11 family interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:17224]	8359	0.020164642482995987	-0.06667938	No	
row_73	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	8685	0.012887177057564259	-0.08411508	No	
row_74	CXCR1	C-X-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:6026]	8962	0.005881673190742731	-0.099136084	No	
row_75	GRK4	G protein-coupled receptor kinase 4 [Source:HGNC Symbol;Acc:HGNC:4543]	9004	0.004644908010959625	-0.101208	No	
row_76	SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2 [Source:HGNC Symbol;Acc:HGNC:10830]	9012	0.004334130324423313	-0.101412006	No	
row_77	RUFY1	RUN and FYVE domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19760]	9059	0.0031266759615391493	-0.10382474	No	
row_78	VPS4A	vacuolar protein sorting 4 homolog A [Source:HGNC Symbol;Acc:HGNC:13488]	9251	0.0	-0.114391826	No	
row_79	RAB5C	RAB5C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9785]	9383	0.0	-0.12163941	No	
row_80	RAB11B	RAB11B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9761]	9399	0.0	-0.12246928	No	
row_81	AP2M1	adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]	9425	0.0	-0.12385241	No	
row_82	CHMP1B	charged multivesicular body protein 1B [Source:HGNC Symbol;Acc:HGNC:24287]	10282	0.0	-0.17121063	No	
row_83	DNM2	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	10564	-0.004198743496090174	-0.18657944	No	
row_84	HSPA6	heat shock protein family A (Hsp70) member 6 [Source:HGNC Symbol;Acc:HGNC:5239]	10582	-0.00446765311062336	-0.18733104	No	
row_85	MVB12A	multivesicular body subunit 12A [Source:HGNC Symbol;Acc:HGNC:25153]	10698	-0.007123343180865049	-0.1933922	No	
row_86	CSF1R	colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]	10789	-0.009255215525627136	-0.1979801	No	
row_87	PARD6B	par-6 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:16245]	10946	-0.013062191195786	-0.20605847	No	
row_88	EHD1	EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]	11046	-0.015477696433663368	-0.21088117	No	
row_89	GRK5	G protein-coupled receptor kinase 5 [Source:HGNC Symbol;Acc:HGNC:4544]	11156	-0.018399951979517937	-0.21613356	No	
row_90	VPS37B	VPS37B subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:25754]	11324	-0.02297774888575077	-0.22440122	No	
row_91	FGFR2	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	11561	-0.02981548197567463	-0.23619719	No	
row_92	GRK1	G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013]	11832	-0.03707439452409744	-0.24956726	No	
row_93	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	11998	-0.042278535664081573	-0.25690812	No	
row_94	DNAJC6	DnaJ heat shock protein family (Hsp40) member C6 [Source:HGNC Symbol;Acc:HGNC:15469]	12001	-0.04229414463043213	-0.25523037	No	
