NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	969	0.26787418127059937	-0.011907926	No	
row_1	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1591	0.2248249351978302	-0.011339348	No	
row_2	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.03517291	No	
row_3	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2622	0.1775524914264679	-0.012616184	No	
row_4	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	2709	0.17452938854694366	0.0095840385	No	
row_5	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	3513	0.14515775442123413	-0.012136025	No	
row_6	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]	3746	0.1376010775566101	-0.003653404	No	
row_7	APC2	APC regulator of WNT signaling pathway 2 [Source:HGNC Symbol;Acc:HGNC:24036]	4338	0.11992145329713821	-0.01762025	No	
row_8	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	5263	0.09499218314886093	-0.053726632	No	
row_9	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.11186236	No	
row_10	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.13797107	No	
row_11	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.13231805	No	
row_12	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	8290	0.022060951218008995	-0.19154175	No	
row_13	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	8312	0.021428566426038742	-0.1893896	No	
row_14	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.19459362	No	
row_15	TCF7L2	transcription factor 7 like 2 [Source:HGNC Symbol;Acc:HGNC:11641]	8891	0.007802480831742287	-0.21712229	No	
row_16	MLH1	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	10785	-0.00919162854552269	-0.31969813	No	
row_17	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	10961	-0.013269289396703243	-0.32726488	No	
row_18	CTNNA1	catenin alpha 1 [Source:HGNC Symbol;Acc:HGNC:2509]	11117	-0.017191264778375626	-0.33312786	No	
