NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FUT5	fucosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:4016]	439	0.33003631234169006	0.09118559	Yes	
row_1	FUT2	fucosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:4013]	957	0.2686782479286194	0.15666148	Yes	
row_2	FUT6	fucosyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:4017]	1031	0.2621898949146271	0.24423067	Yes	
row_3	B3GNT4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:15683]	1735	0.21748752892017365	0.2816227	Yes	
row_4	FUT3	fucosyltransferase 3 (Lewis blood group) [Source:HGNC Symbol;Acc:HGNC:4014]	1783	0.2154063582420349	0.35427842	Yes	
row_5	B4GALT2	beta-1,4-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:925]	2334	0.1887032687664032	0.3900112	Yes	
row_6	B3GALT1	beta-1,3-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:916]	2678	0.17573097348213196	0.43256995	Yes	
row_7	B4GAT1	beta-1,4-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15685]	3517	0.14506395161151886	0.43726024	Yes	
row_8	FUT7	fucosyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4018]	4193	0.12362830340862274	0.44340652	Yes	
row_9	B3GALT5	beta-1,3-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:920]	4948	0.10365274548530579	0.4382418	No	
row_10	FUT9	fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]	6389	0.06662105768918991	0.38250664	No	
row_11	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	7055	0.05033840984106064	0.36360386	No	
row_12	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:13528]	7463	0.04124273732304573	0.35567906	No	
row_13	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10869]	7602	0.0382099449634552	0.36145335	No	
row_14	B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:15684]	9327	0.0	0.26686838	No	
row_15	FUT4	fucosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:4015]	9450	0.0	0.26017502	No	
row_16	B3GALT2	beta-1,3-galactosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:917]	10006	0.0	0.22972569	No	
row_17	B4GALT3	beta-1,4-galactosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:926]	10387	0.0	0.20887749	No	
row_18	FUT1	fucosyltransferase 1 (H blood group) [Source:HGNC Symbol;Acc:HGNC:4012]	11384	-0.024592174217104912	0.16282251	No	
row_19	ST3GAL3	ST3 beta-galactoside alpha-2,3-sialyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:10866]	11826	-0.036981452256441116	0.15154403	No	
row_20	B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	12066	-0.04397020488977432	0.15378895	No	
row_21	ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	12819	-0.06503906846046448	0.13524747	No	
row_22	B4GALT4	beta-1,4-galactosyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:927]	13248	-0.0774698555469513	0.13882348	No	
row_23	B3GNT2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15629]	13493	-0.08501982688903809	0.15513134	No	
row_24	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:18080]	14859	-0.129623144865036	0.1255155	No	
row_25	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase [Source:HGNC Symbol;Acc:HGNC:79]	15981	-0.17345508933067322	0.124595456	No	
