NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CS	citrate synthase [Source:HGNC Symbol;Acc:HGNC:2422]	754	0.2871936857700348	0.106690004	Yes	
row_1	HAO2	hydroxyacid oxidase 2 [Source:HGNC Symbol;Acc:HGNC:4810]	1241	0.24760398268699646	0.20766883	Yes	
row_2	PGP	phosphoglycolate phosphatase [Source:HGNC Symbol;Acc:HGNC:8909]	2377	0.1869415044784546	0.24179207	Yes	
row_3	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	2877	0.16771098971366882	0.30087706	Yes	
row_4	GRHPR	glyoxylate and hydroxypyruvate reductase [Source:HGNC Symbol;Acc:HGNC:4570]	3083	0.15987780690193176	0.3720455	Yes	
row_5	HAO1	hydroxyacid oxidase 1 [Source:HGNC Symbol;Acc:HGNC:4809]	3335	0.15128271281719208	0.43626124	Yes	
row_6	HYI	hydroxypyruvate isomerase (putative) [Source:HGNC Symbol;Acc:HGNC:26948]	3698	0.13895133137702942	0.4880342	Yes	
row_7	ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	4891	0.1049957349896431	0.4767928	Yes	
row_8	ACO2	aconitase 2 [Source:HGNC Symbol;Acc:HGNC:118]	5428	0.09093911945819855	0.49427676	Yes	
row_9	GLYCTK	glycerate kinase [Source:HGNC Symbol;Acc:HGNC:24247]	6245	0.07043638080358505	0.48583913	No	
row_10	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	7677	0.03652960807085037	0.42620152	No	
row_11	MDH1	malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]	9278	0.0	0.3384678	No	
row_12	AFMID	arylformamidase [Source:HGNC Symbol;Acc:HGNC:20910]	11185	-0.01953132450580597	0.24402244	No	
row_13	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	11381	-0.02457750216126442	0.24599843	No	
row_14	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]	13211	-0.07618013769388199	0.184975	No	
row_15	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	16069	-0.17729328572750092	0.119701624	No	
