NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INPP5J	inositol polyphosphate-5-phosphatase J [Source:HGNC Symbol;Acc:HGNC:8956]	244	0.37453457713127136	0.03981284	No	
row_1	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	2450	0.18380287289619446	-0.055223566	No	
row_2	PLCE1	phospholipase C epsilon 1 [Source:HGNC Symbol;Acc:HGNC:17175]	2727	0.17394506931304932	-0.045671705	No	
row_3	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	3136	0.15804171562194824	-0.045632374	No	
row_4	INPP5E	inositol polyphosphate-5-phosphatase E [Source:HGNC Symbol;Acc:HGNC:21474]	3220	0.15522828698158264	-0.028135672	No	
row_5	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:HGNC:8972]	3392	0.14961692690849304	-0.016271483	No	
row_6	PIP5K1A	phosphatidylinositol-4-phosphate 5-kinase type 1 alpha [Source:HGNC Symbol;Acc:HGNC:8994]	4098	0.12636367976665497	-0.03705212	No	
row_7	IMPA2	inositol monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]	4217	0.12290391325950623	-0.026071623	No	
row_8	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	4473	0.11610561609268188	-0.0235846	No	
row_9	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]	4522	0.11460278928279877	-0.009937499	No	
row_10	IPPK	inositol-pentakisphosphate 2-kinase [Source:HGNC Symbol;Acc:HGNC:14645]	4572	0.11325223743915558	0.0034627533	No	
row_11	PLCD4	phospholipase C delta 4 [Source:HGNC Symbol;Acc:HGNC:9062]	5416	0.09120950847864151	-0.029895527	No	
row_12	ITPKA	inositol-trisphosphate 3-kinase A [Source:HGNC Symbol;Acc:HGNC:6178]	5817	0.08179555833339691	-0.040250823	No	
