NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALML3	calmodulin like 3 [Source:HGNC Symbol;Acc:HGNC:1452]	172	0.39352086186408997	0.01548052	No	
row_1	NFKBIE	NFKB inhibitor epsilon [Source:HGNC Symbol;Acc:HGNC:7799]	337	0.34879136085510254	0.028564468	No	
row_2	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	371	0.34121620655059814	0.048392225	No	
row_3	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	1462	0.233799010515213	0.0031136442	No	
row_4	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1967	0.20612668991088867	-0.011603771	No	
row_5	SHC2	SHC adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:29869]	2037	0.2022089958190918	-0.0025803226	No	
row_6	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2131	0.1981697678565979	0.0048633125	No	
row_7	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2179	0.19581669569015503	0.014694475	No	
row_8	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	2424	0.18496479094028473	0.012972992	No	
row_9	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	0.018474726	No	
row_10	SH2B1	SH2B adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:30417]	2540	0.18011470139026642	0.029570784	No	
row_11	ATF4	activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786]	2798	0.17087800800800323	0.026238674	No	
row_12	ZNF274	zinc finger protein 274 [Source:HGNC Symbol;Acc:HGNC:13068]	3172	0.15666215121746063	0.015607499	No	
row_13	NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	3679	0.13975536823272705	-0.0034309821	No	
row_14	SHC3	SHC adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:18181]	3720	0.13828998804092407	0.0031365717	No	
row_15	PDPK1	3-phosphoinositide dependent protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:8816]	3746	0.1376010775566101	0.01048764	No	
row_16	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	3869	0.133990079164505	0.012260255	No	
row_17	CSK	C-terminal Src kinase [Source:HGNC Symbol;Acc:HGNC:2444]	4294	0.12106212973594666	-0.0034420313	No	
row_18	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	4334	0.12015632539987564	0.002030224	No	
row_19	CALML5	calmodulin like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	4621	0.11224567145109177	-0.006620967	No	
row_20	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	4680	0.11095849424600601	-0.0027800596	No	
row_21	SHC1	SHC adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:10840]	4773	0.10820626467466354	-9.887952E-4	No	
row_22	SH2B2	SH2B adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:17381]	4940	0.10372504591941833	-0.0035627882	No	
row_23	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5536	0.08823215961456299	-0.030778214	No	
row_24	MAP2K7	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	5904	0.07908077538013458	-0.046000466	No	
row_25	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	6182	0.0720173642039299	-0.056707513	No	
row_26	NTRK1	neurotrophic receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:8031]	6237	0.07063107192516327	-0.055204492	No	
row_27	PLCG1	phospholipase C gamma 1 [Source:HGNC Symbol;Acc:HGNC:9065]	6362	0.0672871321439743	-0.05777398	No	
row_28	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.06134597	No	
row_29	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	6527	0.06326647102832794	-0.05871088	No	
row_30	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	6617	0.06093304604291916	-0.059753306	No	
row_31	NGF	nerve growth factor [Source:HGNC Symbol;Acc:HGNC:7808]	6745	0.05800502374768257	-0.06307712	No	
row_32	SH2B3	SH2B adaptor protein 3 [Source:HGNC Symbol;Acc:HGNC:29605]	6923	0.054053887724876404	-0.06940901	No	
row_33	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.076830395	No	
row_34	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:8032]	7193	0.0476115420460701	-0.0780562	No	
row_35	RPS6KA4	ribosomal protein S6 kinase A4 [Source:HGNC Symbol;Acc:HGNC:10433]	7329	0.044221170246601105	-0.082695685	No	
row_36	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	7730	0.035058390349149704	-0.10253072	No	
row_37	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	7780	0.03360572084784508	-0.10310094	No	
row_38	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	7969	0.02905319631099701	-0.11162557	No	
row_39	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	8238	0.022897331044077873	-0.124952585	No	
row_40	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	8306	0.021591389551758766	-0.12727769	No	
row_41	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.13446932	No	
row_42	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	8491	0.017313111573457718	-0.13513567	No	
row_43	MAPK7	mitogen-activated protein kinase 7 [Source:HGNC Symbol;Acc:HGNC:6880]	9168	5.682337796315551E-4	-0.17237972	No	
row_44	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	10425	-7.376056746579707E-4	-0.2415989	No	
row_45	RAPGEF1	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]	10437	-0.0010498091578483582	-0.24213892	No	
row_46	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:76]	10600	-0.004943913780152798	-0.25075927	No	
row_47	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	10659	-0.006274276413023472	-0.2535598	No	
row_48	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	10961	-0.013269289396703243	-0.26931754	No	
row_49	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	11093	-0.016567412763834	-0.27549085	No	
row_50	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	11409	-0.02531903050839901	-0.2912562	No	
row_51	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11441	-0.026339853182435036	-0.2912947	No	
row_52	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.29208452	No	
row_53	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	11489	-0.02754807099699974	-0.29033682	No	
row_54	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	-0.2919311	No	
row_55	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	11717	-0.03412622585892677	-0.29875517	No	
row_56	MAP2K5	mitogen-activated protein kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6845]	11772	-0.035593774169683456	-0.299475	No	
row_57	CAMK4	calcium/calmodulin dependent protein kinase IV [Source:HGNC Symbol;Acc:HGNC:1464]	11828	-0.036992147564888	-0.30016127	No	
row_58	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12040	-0.04323764890432358	-0.3090544	No	
row_59	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	12417	-0.05332457646727562	-0.32640702	No	
row_60	RHOA	ras homolog family member A [Source:HGNC Symbol;Acc:HGNC:667]	12454	-0.0542401522397995	-0.32495123	No	
row_61	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	12502	-0.055412378162145615	-0.3240277	No	
row_62	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	12840	-0.06544390320777893	-0.33846065	No	
row_63	PLCG2	phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]	13267	-0.0780392438173294	-0.3570027	No	
