NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH1L1	aldehyde dehydrogenase 1 family member L1 [Source:HGNC Symbol;Acc:HGNC:3978]	353	0.34512999653816223	0.13055727	Yes	
row_1	SHMT2	serine hydroxymethyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10852]	898	0.27325278520584106	0.21941935	Yes	
row_2	FTCD	formimidoyltransferase cyclodeaminase [Source:HGNC Symbol;Acc:HGNC:3974]	901	0.27299070358276367	0.33788902	Yes	
row_3	AMT	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	1257	0.24692697823047638	0.42568	Yes	
row_4	SHMT1	serine hydroxymethyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10850]	1852	0.2119126319885254	0.48515585	Yes	
row_5	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	3144	0.1578051596879959	0.48290786	No	
row_6	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	7677	0.03652960807085037	0.25025588	No	
row_7	TYMS	thymidylate synthetase [Source:HGNC Symbol;Acc:HGNC:12441]	8848	0.008884659968316555	0.1899563	No	
row_8	MTR	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:HGNC:7468]	8885	0.007979514077305794	0.19144826	No	
row_9	DHFR	dihydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:2861]	10755	-0.008450929075479507	0.09262952	No	
row_10	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:7434]	11381	-0.02457750216126442	0.069032416	No	
row_11	ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:HGNC Symbol;Acc:HGNC:794]	11900	-0.03925694152712822	0.057679158	No	
row_12	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]	13211	-0.07618013769388199	0.018933697	No	
row_13	MTHFS	methenyltetrahydrofolate synthetase [Source:HGNC Symbol;Acc:HGNC:7437]	13334	-0.08002220094203949	0.047002982	No	
row_14	MTFMT	mitochondrial methionyl-tRNA formyltransferase [Source:HGNC Symbol;Acc:HGNC:29666]	15715	-0.16156646609306335	-0.013328249	No	
row_15	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase [Source:HGNC Symbol;Acc:HGNC:4163]	15980	-0.17341819405555725	0.047522787	No	
row_16	MTHFD2L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2 like [Source:HGNC Symbol;Acc:HGNC:31865]	16069	-0.17729328572750092	0.11970829	No	
