NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CALML3	calmodulin like 3 [Source:HGNC Symbol;Acc:HGNC:1452]	172	0.39352086186408997	0.019124165	No	
row_1	CAMK2B	calcium/calmodulin dependent protein kinase II beta [Source:HGNC Symbol;Acc:HGNC:1461]	1967	0.20612668991088867	-0.0647584	No	
row_2	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2097	0.19939319789409637	-0.057374626	No	
row_3	CALML6	calmodulin like 6 [Source:HGNC Symbol;Acc:HGNC:24193]	2131	0.1981697678565979	-0.04478935	No	
row_4	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2179	0.19581669569015503	-0.03314663	No	
row_5	CHP2	calcineurin like EF-hand protein 2 [Source:HGNC Symbol;Acc:HGNC:24927]	2258	0.19190280139446259	-0.023496753	No	
row_6	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	2268	0.1916387677192688	-0.010063575	No	
row_7	PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha [Source:HGNC Symbol;Acc:HGNC:9302]	2277	0.19136540591716766	0.0034048413	No	
row_8	CAMK2A	calcium/calmodulin dependent protein kinase II alpha [Source:HGNC Symbol;Acc:HGNC:1460]	2424	0.18496479094028473	0.00880305	No	
row_9	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	2478	0.18241280317306519	0.019140866	No	
row_10	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	2660	0.1763160079717636	0.021981644	No	
row_11	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	2831	0.16941547393798828	0.024927055	No	
row_12	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	2842	0.16898542642593384	0.036658578	No	
row_13	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	0.046919234	No	
row_14	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta [Source:HGNC Symbol;Acc:HGNC:9312]	3057	0.16113606095314026	0.048821993	No	
row_15	MOS	MOS proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:7199]	3099	0.15937554836273193	0.058146663	No	
row_16	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3448	0.14748796820640564	0.04968896	No	
row_17	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	4290	0.12113606929779053	0.012147362	No	
row_18	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	4604	0.1125209778547287	0.0030769047	No	
row_19	CALML5	calmodulin like 5 [Source:HGNC Symbol;Acc:HGNC:18180]	4621	0.11224567145109177	0.01035368	No	
row_20	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	4758	0.10866843909025192	0.010757418	No	
row_21	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	4763	0.10857205092906952	0.018428482	No	
row_22	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4996	0.10226520895957947	0.013076383	No	
row_23	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	5067	0.10006830841302872	0.01649219	No	
row_24	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta [Source:HGNC Symbol;Acc:HGNC:9303]	5391	0.09192954748868942	0.0053739706	No	
row_25	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	5606	0.08671041578054428	-1.1676557E-4	No	
row_26	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.014082868	No	
row_27	ADCY2	adenylate cyclase 2 [Source:HGNC Symbol;Acc:HGNC:233]	6040	0.07605790346860886	-0.012742893	No	
row_28	CPEB1	cytoplasmic polyadenylation element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:21744]	6199	0.07162577658891678	-0.016243968	No	
row_29	SPDYC	speedy/RINGO cell cycle regulator family member C [Source:HGNC Symbol;Acc:HGNC:32681]	6253	0.07020089775323868	-0.01406221	No	
row_30	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	6394	0.06644171476364136	-0.016948132	No	
row_31	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	6469	0.06449674814939499	-0.016338255	No	
row_32	RPS6KA1	ribosomal protein S6 kinase A1 [Source:HGNC Symbol;Acc:HGNC:10430]	6527	0.06326647102832794	-0.014880957	No	
row_33	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	6654	0.060090772807598114	-0.017456973	No	
row_34	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	6672	0.05972565710544586	-0.014052693	No	
row_35	ADCY9	adenylate cyclase 9 [Source:HGNC Symbol;Acc:HGNC:240]	6807	0.056765876710414886	-0.017311245	No	
row_36	AURKA	aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]	7307	0.04492083191871643	-0.041545376	No	
row_37	PLCZ1	phospholipase C zeta 1 [Source:HGNC Symbol;Acc:HGNC:19218]	7409	0.0424497090280056	-0.044025905	No	
row_38	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	7585	0.038688041269779205	-0.050857887	No	
row_39	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	7752	0.03443736210465431	-0.05750285	No	
row_40	PPP2R5B	protein phosphatase 2 regulatory subunit B'beta [Source:HGNC Symbol;Acc:HGNC:9310]	7800	0.03303860127925873	-0.05769156	No	
row_41	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	8038	0.02720930427312851	-0.068774596	No	
row_42	REC8	REC8 meiotic recombination protein [Source:HGNC Symbol;Acc:HGNC:16879]	8043	0.02702125534415245	-0.06703101	No	
row_43	CALM3	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	8491	0.017313111573457718	-0.09040614	No	
row_44	PPP2CA	protein phosphatase 2 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9299]	8519	0.016794277355074883	-0.090673395	No	
row_45	CDC23	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]	8669	0.013286961242556572	-0.09791881	No	
row_46	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha [Source:HGNC Symbol;Acc:HGNC:9317]	9757	0.0	-0.15782182	No	
row_47	PPP3R2	protein phosphatase 3 regulatory subunit B, beta [Source:HGNC Symbol;Acc:HGNC:9318]	9758	0.0	-0.15782182	No	
row_48	PTTG2	pituitary tumor-transforming 2 [Source:HGNC Symbol;Acc:HGNC:9691]	9923	0.0	-0.16685963	No	
row_49	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	10366	0.0	-0.19121762	No	
row_50	CAMK2G	calcium/calmodulin dependent protein kinase II gamma [Source:HGNC Symbol;Acc:HGNC:1463]	10425	-7.376056746579707E-4	-0.1943603	No	
row_51	CHP1	calcineurin like EF-hand protein 1 [Source:HGNC Symbol;Acc:HGNC:17433]	10434	-9.975809371098876E-4	-0.19472866	No	
row_52	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	10817	-0.009910757653415203	-0.21505977	No	
row_53	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	10914	-0.012250389903783798	-0.21945979	No	
row_54	SPDYA	speedy/RINGO cell cycle regulator family member A [Source:HGNC Symbol;Acc:HGNC:30613]	11297	-0.02230948954820633	-0.2388897	No	
row_55	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.24735886	No	
