NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	1187	0.2513750195503235	-0.03469808	No	
row_1	ADGRB1	adhesion G protein-coupled receptor B1 [Source:HGNC Symbol;Acc:HGNC:943]	1555	0.22693024575710297	-0.027279474	No	
row_2	GADD45G	growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]	1926	0.20795617997646332	-0.02233343	No	
row_3	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.03369144	No	
row_4	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	2660	0.1763160079717636	-0.01917652	No	
row_5	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	2884	0.16744790971279144	-0.011073902	No	
row_6	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3268	0.1534596085548401	-0.013470497	No	
row_7	TSC2	TSC complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:12363]	3334	0.15131336450576782	0.001357863	No	
row_8	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	4000	0.1298612654209137	-0.019415166	No	
row_9	BBC3	BCL2 binding component 3 [Source:HGNC Symbol;Acc:HGNC:17868]	4296	0.12100795656442642	-0.020919602	No	
row_10	STEAP3	STEAP3 metalloreductase [Source:HGNC Symbol;Acc:HGNC:24592]	4602	0.11263390630483627	-0.023992354	No	
row_11	SESN2	sestrin 2 [Source:HGNC Symbol;Acc:HGNC:20746]	5004	0.10213328152894974	-0.033620965	No	
row_12	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	5275	0.09468657523393631	-0.03695189	No	
row_13	CDKN1A	cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]	5389	0.09198301285505295	-0.031978603	No	
row_14	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	5644	0.08598975092172623	-0.03548743	No	
row_15	TP73	tumor protein p73 [Source:HGNC Symbol;Acc:HGNC:12003]	6182	0.0720173642039299	-0.056256976	No	
row_16	PIDD1	p53-induced death domain protein 1 [Source:HGNC Symbol;Acc:HGNC:16491]	6222	0.0709211677312851	-0.04977614	No	
row_17	RPRM	reprimo, TP53 dependent G2 arrest mediator homolog [Source:HGNC Symbol;Acc:HGNC:24201]	6574	0.06214869022369385	-0.06151826	No	
row_18	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	6617	0.06093304604291916	-0.056417126	No	
row_19	CD82	CD82 molecule [Source:HGNC Symbol;Acc:HGNC:6210]	6677	0.05959880352020264	-0.05241305	No	
row_20	IGFBP3	insulin like growth factor binding protein 3 [Source:HGNC Symbol;Acc:HGNC:5472]	6753	0.05781978368759155	-0.049505133	No	
