NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1591	0.2248249351978302	-0.05993578	No	
row_1	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2342	0.1884545385837555	-0.07808563	No	
row_2	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.06640657	No	
row_3	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	2622	0.1775524914264679	-0.04949246	No	
row_4	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	2884	0.16744790971279144	-0.04332859	No	
row_5	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	4220	0.12277448922395706	-0.10169103	No	
row_6	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4444	0.11706583946943283	-0.099610284	No	
row_7	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	4901	0.10472903400659561	-0.111852325	No	
row_8	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	5531	0.08839627355337143	-0.13560764	No	
row_9	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5536	0.08823215961456299	-0.12501788	No	
row_10	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	5872	0.08000628650188446	-0.13363571	No	
row_11	RALGDS	ral guanine nucleotide dissociation stimulator [Source:HGNC Symbol;Acc:HGNC:9842]	5931	0.07845129817724228	-0.12721339	No	
row_12	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	6366	0.06717897951602936	-0.1428462	No	
row_13	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.14241542	No	
row_14	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.17011142	No	
row_15	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.16599682	No	
row_16	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	7780	0.03360572084784508	-0.19651976	No	
row_17	SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	7919	0.030214862897992134	-0.20040584	No	
row_18	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	8312	0.021428566426038742	-0.2193344	No	
row_19	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.2251139	No	
row_20	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9335	0.0	-0.27328017	No	
row_21	CDKN2A	cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]	9837	0.0	-0.30082732	No	
row_22	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	10411	-3.361325361765921E-4	-0.33229217	No	
row_23	BAD	BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]	11441	-0.026339853182435036	-0.38564402	No	
row_24	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.3847997	No	
row_25	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	11489	-0.02754807099699974	-0.38142467	No	
row_26	STAT1	signal transducer and activator of transcription 1 [Source:HGNC Symbol;Acc:HGNC:11362]	11519	-0.028500903397798538	-0.37952742	No	
row_27	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	-0.37771136	No	
row_28	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	11717	-0.03412622585892677	-0.38249284	No	
row_29	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11958	-0.040939636528491974	-0.39067337	No	
row_30	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12040	-0.04323764890432358	-0.38982987	No	
row_31	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	12417	-0.05332457646727562	-0.40397096	No	
row_32	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	12502	-0.055412378162145615	-0.40180084	No	
row_33	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	12908	-0.06738701462745667	-0.4158136	No	
row_34	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	12969	-0.06935232877731323	-0.410616	No	
row_35	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	13020	-0.0710146576166153	-0.4046649	No	
row_36	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	13281	-0.07859940826892853	-0.40933126	No	
row_37	RAD51	RAD51 recombinase [Source:HGNC Symbol;Acc:HGNC:9817]	13483	-0.0845714583992958	-0.4100219	No	
row_38	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13626	-0.08927727490663528	-0.4068919	No	
row_39	EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	13732	-0.092366524040699	-0.40134907	No	
row_40	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14078	-0.10282886773347855	-0.40772063	No	
row_41	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	14355	-0.11122235655784607	-0.40926996	No	
row_42	JAK1	Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]	14794	-0.12694509327411652	-0.41780052	Yes	
row_43	RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	14796	-0.12698785960674286	-0.40229765	Yes	
row_44	RALB	RAS like proto-oncogene B [Source:HGNC Symbol;Acc:HGNC:9840]	15021	-0.1353708952665329	-0.39802927	Yes	
row_45	E2F3	E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]	15534	-0.1539868414402008	-0.4073156	Yes	
row_46	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	15703	-0.1608590930700302	-0.39684543	Yes	
row_47	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	15808	-0.16621507704257965	-0.38220006	Yes	
row_48	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	15813	-0.16645313799381256	-0.3620271	Yes	
row_49	PLD1	phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]	15983	-0.17383207380771637	-0.35002252	Yes	
row_50	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	16153	-0.1819571554660797	-0.3370225	Yes	
row_51	CDK6	cyclin dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	16450	-0.19721320271492004	-0.3291364	Yes	
row_52	TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	16546	-0.20257340371608734	-0.30954176	Yes	
row_53	TGFBR1	transforming growth factor beta receptor 1 [Source:HGNC Symbol;Acc:HGNC:11772]	16664	-0.20998479425907135	-0.29024878	Yes	
row_54	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16771	-0.21693213284015656	-0.2694998	Yes	
row_55	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	16832	-0.22033211588859558	-0.24580501	Yes	
row_56	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16853	-0.2215074896812439	-0.21976686	Yes	
row_57	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	16927	-0.226335808634758	-0.19605131	Yes	
row_58	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	16948	-0.22731436789035797	-0.16930172	Yes	
row_59	SMAD4	SMAD family member 4 [Source:HGNC Symbol;Acc:HGNC:6770]	16996	-0.2302195280790329	-0.14368078	Yes	
row_60	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	17065	-0.23503823578357697	-0.11862415	Yes	
row_61	SMAD2	SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]	17277	-0.2515489161014557	-0.09940748	Yes	
row_62	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	17358	-0.2594310939311981	-0.072022185	Yes	
row_63	BRCA2	BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]	17493	-0.2720646262168884	-0.046058252	Yes	
row_64	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17880	-0.3250686228275299	-0.027456624	Yes	
row_65	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	18114	-0.39061400294303894	0.0075878636	Yes	
