NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALDH3A1	aldehyde dehydrogenase 3 family member A1 [Source:HGNC Symbol;Acc:HGNC:405]	546	0.31089532375335693	0.11061802	Yes	
row_1	GOT1	glutamic-oxaloacetic transaminase 1 [Source:HGNC Symbol;Acc:HGNC:4432]	1089	0.25827938318252563	0.19766748	Yes	
row_2	HPD	4-hydroxyphenylpyruvate dioxygenase [Source:HGNC Symbol;Acc:HGNC:5147]	1240	0.24760696291923523	0.30138665	Yes	
row_3	DDC	dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719]	1404	0.23736678063869476	0.39976335	Yes	
row_4	PAH	phenylalanine hydroxylase [Source:HGNC Symbol;Acc:HGNC:8582]	2157	0.19693589210510254	0.44756407	Yes	
row_5	GOT2	glutamic-oxaloacetic transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4433]	2875	0.1678074300289154	0.4841149	Yes	
row_6	ALDH3B1	aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]	4734	0.10945016890764236	0.431717	No	
row_7	IL4I1	interleukin 4 induced 1 [Source:HGNC Symbol;Acc:HGNC:19094]	5774	0.08275573700666428	0.41215914	No	
row_8	AOC2	amine oxidase copper containing 2 [Source:HGNC Symbol;Acc:HGNC:549]	5815	0.08187887072563171	0.4469836	No	
row_9	ALDH3B2	aldehyde dehydrogenase 3 family member B2 [Source:HGNC Symbol;Acc:HGNC:411]	7245	0.04618819057941437	0.3895083	No	
row_10	TAT	tyrosine aminotransferase [Source:HGNC Symbol;Acc:HGNC:11573]	7268	0.04568478837609291	0.40895626	No	
row_11	AOC3	amine oxidase copper containing 3 [Source:HGNC Symbol;Acc:HGNC:550]	7874	0.03133278712630272	0.38994762	No	
row_12	PRDX6	peroxiredoxin 6 [Source:HGNC Symbol;Acc:HGNC:16753]	7940	0.02963428758084774	0.39978126	No	
row_13	NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit [Source:HGNC Symbol;Acc:HGNC:30252]	9671	0.0	0.30491915	No	
row_14	ALDH1A3	aldehyde dehydrogenase 1 family member A3 [Source:HGNC Symbol;Acc:HGNC:409]	15723	-0.16209976375102997	0.04640717	No	
row_15	MIF	macrophage migration inhibitory factor [Source:HGNC Symbol;Acc:HGNC:7097]	16564	-0.20396225154399872	0.092559196	No	
