NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAD2L2	mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764]	2097	0.19939319789409637	-0.09457386	No	
row_1	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2179	0.19581669569015503	-0.07858732	No	
row_2	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	2478	0.18241280317306519	-0.07594097	No	
row_3	IGF1	insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]	2660	0.1763160079717636	-0.06749301	No	
row_4	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	2831	0.16941547393798828	-0.059160188	No	
row_5	ADCY1	adenylate cyclase 1 [Source:HGNC Symbol;Acc:HGNC:232]	2842	0.16898542642593384	-0.042067993	No	
row_6	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	-0.02648527	No	
row_7	MOS	MOS proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:7199]	3099	0.15937554836273193	-0.021951975	No	
row_8	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3448	0.14748796820640564	-0.025703186	No	
row_9	CDC25A	cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]	4169	0.12414678186178207	-0.052361198	No	
row_10	GNAI2	G protein subunit alpha i2 [Source:HGNC Symbol;Acc:HGNC:4385]	4175	0.12407074868679047	-0.039683063	No	
row_11	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	4290	0.12113606929779053	-0.03330923	No	
row_12	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1 [Source:HGNC Symbol;Acc:HGNC:29650]	4604	0.1125209778547287	-0.038785137	No	
row_13	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	4758	0.10866843909025192	-0.03585899	No	
row_14	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	4763	0.10857205092906952	-0.02474393	No	
row_15	CDC25C	cell division cycle 25C [Source:HGNC Symbol;Acc:HGNC:1727]	4996	0.10226520895957947	-0.026833402	No	
row_16	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	5067	0.10006830841302872	-0.020237911	No	
row_17	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	5378	0.0923282578587532	-0.027656907	No	
row_18	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	5463	0.09010007232427597	-0.022872496	No	
row_19	PLK1	polo like kinase 1 [Source:HGNC Symbol;Acc:HGNC:9077]	5963	0.07776834070682526	-0.042211626	No	
