NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	3168	0.15679684281349182	-0.15325247	No	
row_1	PAK5	p21 (RAC1) activated kinase 5 [Source:HGNC Symbol;Acc:HGNC:15916]	4087	0.12702500820159912	-0.1867608	No	
row_2	PGF	placental growth factor [Source:HGNC Symbol;Acc:HGNC:8893]	4220	0.12277448922395706	-0.17761692	No	
row_3	VEGFA	vascular endothelial growth factor A [Source:HGNC Symbol;Acc:HGNC:12680]	4444	0.11706583946943283	-0.17423955	No	
row_4	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	5872	0.08000628650188446	-0.24201795	No	
row_5	PAK4	p21 (RAC1) activated kinase 4 [Source:HGNC Symbol;Acc:HGNC:16059]	6232	0.07066521793603897	-0.25231782	No	
row_6	EPAS1	endothelial PAS domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3374]	6361	0.06729160994291306	-0.2503663	No	
row_7	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.24950545	No	
row_8	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.27665973	No	
row_9	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	7730	0.035058390349149704	-0.30573827	No	
row_10	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	7969	0.02905319631099701	-0.31494388	No	
row_11	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.3393861	No	
row_12	PDGFB	platelet derived growth factor subunit B [Source:HGNC Symbol;Acc:HGNC:8800]	8915	0.007220234256237745	-0.36349574	No	
row_13	TGFB3	transforming growth factor beta 3 [Source:HGNC Symbol;Acc:HGNC:11769]	9335	0.0	-0.38653544	No	
row_14	EGLN2	egl-9 family hypoxia inducible factor 2 [Source:HGNC Symbol;Acc:HGNC:14660]	9801	0.0	-0.41210458	No	
row_15	FLCN	folliculin [Source:HGNC Symbol;Acc:HGNC:27310]	10289	0.0	-0.4388834	No	
row_16	RAPGEF1	Rap guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:4568]	10437	-0.0010498091578483582	-0.4468263	No	
row_17	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	10961	-0.013269289396703243	-0.47381195	No	
row_18	ARNT2	aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]	10970	-0.013501743786036968	-0.47244808	No	
row_19	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	11093	-0.016567412763834	-0.4769432	No	
row_20	SLC2A1	solute carrier family 2 member 1 [Source:HGNC Symbol;Acc:HGNC:11005]	11367	-0.024333424866199493	-0.48870388	No	
row_21	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	11488	-0.027536459267139435	-0.49162358	No	
row_22	RAF1	Raf-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:9829]	11553	-0.029633816331624985	-0.49118382	No	
row_23	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	11717	-0.03412622585892677	-0.49558762	No	
row_24	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	11958	-0.040939636528491974	-0.5033152	No	
row_25	PIK3R3	phosphoinositide-3-kinase regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:8981]	12040	-0.04323764890432358	-0.5019928	No	
row_26	CREBBP	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]	12188	-0.047563765197992325	-0.5037216	No	
row_27	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	12417	-0.05332457646727562	-0.50913477	Yes	
row_28	RAC1	Rac family small GTPase 1 [Source:HGNC Symbol;Acc:HGNC:9801]	12502	-0.055412378162145615	-0.5063508	Yes	
row_29	ELOC	elongin C [Source:HGNC Symbol;Acc:HGNC:11617]	12631	-0.059771351516246796	-0.50540394	Yes	
row_30	ARNT	aryl hydrocarbon receptor nuclear translocator [Source:HGNC Symbol;Acc:HGNC:700]	12732	-0.0627908781170845	-0.50251406	Yes	
row_31	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	12834	-0.06525758653879166	-0.49934962	Yes	
row_32	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	12908	-0.06738701462745667	-0.49436104	Yes	
row_33	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	12969	-0.06935232877731323	-0.4883951	Yes	
row_34	EGLN3	egl-9 family hypoxia inducible factor 3 [Source:HGNC Symbol;Acc:HGNC:14661]	13079	-0.07243343442678452	-0.4847119	Yes	
row_35	CUL2	cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]	13215	-0.07643137127161026	-0.48192424	Yes	
row_36	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	13471	-0.08413058519363403	-0.48470646	Yes	
row_37	PAK1	p21 (RAC1) activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	13515	-0.08607413619756699	-0.47557175	Yes	
row_38	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:8976]	13626	-0.08927727490663528	-0.46969324	Yes	
row_39	EP300	E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373]	13641	-0.08963128924369812	-0.45848867	Yes	
row_40	FH	fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]	13722	-0.09206712245941162	-0.45058784	Yes	
row_41	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]	14078	-0.10282886773347855	-0.4563708	Yes	
row_42	PAK2	p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]	14219	-0.10746710002422333	-0.44971183	Yes	
row_43	VHL	von Hippel-Lindau tumor suppressor [Source:HGNC Symbol;Acc:HGNC:12687]	14225	-0.10766414552927017	-0.43560326	Yes	
row_44	NRAS	NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]	14365	-0.11143092811107635	-0.42835975	Yes	
row_45	HRAS	HRas proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:5173]	14937	-0.1325138956308365	-0.44205418	Yes	
row_46	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	14997	-0.13459298014640808	-0.42731732	Yes	
row_47	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	15318	-0.14656272530555725	-0.42533305	Yes	
row_48	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	15703	-0.1608590930700302	-0.42495802	Yes	
row_49	GAB1	GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]	15841	-0.1674758940935135	-0.41011715	Yes	
row_50	SOS2	SOS Ras/Rho guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:11188]	15859	-0.1681397706270218	-0.38858908	Yes	
row_51	EGLN1	egl-9 family hypoxia inducible factor 1 [Source:HGNC Symbol;Acc:HGNC:1232]	16024	-0.17559348046779633	-0.3741484	Yes	
row_52	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	16067	-0.17725826799869537	-0.35277683	Yes	
row_53	KRAS	KRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:6407]	16153	-0.1819571554660797	-0.33314198	Yes	
row_54	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:11187]	16499	-0.19970263540744781	-0.3254331	Yes	
row_55	CDC42	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	16771	-0.21693213284015656	-0.31135336	Yes	
row_56	HIF1A	hypoxia inducible factor 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:4910]	16816	-0.21958954632282257	-0.28443646	Yes	
row_57	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8979]	16853	-0.2215074896812439	-0.25682345	Yes	
row_58	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	16927	-0.226335808634758	-0.23059992	Yes	
row_59	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	16948	-0.22731436789035797	-0.20133133	Yes	
row_60	PAK6	p21 (RAC1) activated kinase 6 [Source:HGNC Symbol;Acc:HGNC:16061]	17046	-0.23328104615211487	-0.17549963	Yes	
row_61	BRAF	B-Raf proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:1097]	17065	-0.23503823578357697	-0.1450892	Yes	
row_62	RAP1B	RAP1B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9857]	17082	-0.23571953177452087	-0.11447775	Yes	
row_63	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	17096	-0.2373451441526413	-0.08348418	Yes	
row_64	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:8975]	17880	-0.3250686228275299	-0.08311134	Yes	
row_65	HGF	hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]	18100	-0.3837828040122986	-0.04388164	Yes	
row_66	VEGFC	vascular endothelial growth factor C [Source:HGNC Symbol;Acc:HGNC:12682]	18114	-0.39061400294303894	0.007588072	Yes	
