NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRADD	TNFRSF1A associated via death domain [Source:HGNC Symbol;Acc:HGNC:12030]	251	0.37217938899993896	0.02767586	No	
row_1	ISG15	ISG15 ubiquitin like modifier [Source:HGNC Symbol;Acc:HGNC:4053]	667	0.29520419239997864	0.037755262	No	
row_2	IFNA5	interferon alpha 5 [Source:HGNC Symbol;Acc:HGNC:5426]	905	0.2728138566017151	0.05512711	No	
row_3	PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]	1426	0.2356060892343521	0.052790903	No	
row_4	NFKBIB	NFKB inhibitor beta [Source:HGNC Symbol;Acc:HGNC:7798]	1462	0.233799010515213	0.07692217	No	
row_5	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	2179	0.19581669569015503	0.0593741	No	
row_6	IRF3	interferon regulatory factor 3 [Source:HGNC Symbol;Acc:HGNC:6118]	3438	0.14797243475914001	0.0066908607	No	
row_7	FADD	Fas associated via death domain [Source:HGNC Symbol;Acc:HGNC:3573]	3678	0.13976673781871796	0.009125245	No	
row_8	IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon [Source:HGNC Symbol;Acc:HGNC:14552]	3831	0.13528911769390106	0.015844518	No	
row_9	TKFC	triokinase and FMN cyclase [Source:HGNC Symbol;Acc:HGNC:24552]	5171	0.09717525541782379	-0.04695381	No	
row_10	DHX58	DExH-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:29517]	5336	0.09321469813585281	-0.045583386	No	
row_11	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5536	0.08823215961456299	-0.0466928	No	
row_12	TRIM25	tripartite motif containing 25 [Source:HGNC Symbol;Acc:HGNC:12932]	5598	0.08678853511810303	-0.040374845	No	
row_13	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5691	0.08470757305622101	-0.035993412	No	
row_14	IFNA14	interferon alpha 14 [Source:HGNC Symbol;Acc:HGNC:5420]	5808	0.08201387524604797	-0.033231873	No	
row_15	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	5920	0.07867975533008575	-0.030566972	No	
row_16	SIKE1	suppressor of IKBKE 1 [Source:HGNC Symbol;Acc:HGNC:26119]	6275	0.06970818340778351	-0.04226384	No	
row_17	MAVS	mitochondrial antiviral signaling protein [Source:HGNC Symbol;Acc:HGNC:29233]	6333	0.06792715936899185	-0.037827946	No	
row_18	RIPK1	receptor interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:10019]	6633	0.06052526831626892	-0.0475239	No	
row_19	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	7536	0.039707787334918976	-0.09269724	No	
row_20	MAPK9	mitogen-activated protein kinase 9 [Source:HGNC Symbol;Acc:HGNC:6886]	7780	0.03360572084784508	-0.102313966	No	
row_21	IFNA21	interferon alpha 21 [Source:HGNC Symbol;Acc:HGNC:5424]	8228	0.023070504888892174	-0.12432221	No	
row_22	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	8238	0.022897331044077873	-0.122265294	No	
row_23	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	8871	0.008331887423992157	-0.15608875	No	
row_24	IFNA13	interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]	9052	0.0033187074586749077	-0.16561662	No	
row_25	IFNK	interferon kappa [Source:HGNC Symbol;Acc:HGNC:21714]	9207	0.0	-0.17408466	No	
row_26	IFNA16	interferon alpha 16 [Source:HGNC Symbol;Acc:HGNC:5421]	9502	0.0	-0.19025095	No	
row_27	IFNA10	interferon alpha 10 [Source:HGNC Symbol;Acc:HGNC:5418]	9505	0.0	-0.19036092	No	
row_28	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	9569	0.0	-0.19382513	No	
row_29	IFNA7	interferon alpha 7 [Source:HGNC Symbol;Acc:HGNC:5428]	9700	0.0	-0.20097348	No	
row_30	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	10371	0.0	-0.23781501	No	
row_31	TBKBP1	TBK1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:30140]	10420	-6.247279816307127E-4	-0.24038477	No	
row_32	MAPK13	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	10659	-0.006274276413023472	-0.25277254	No	
row_33	NLRX1	NLR family member X1 [Source:HGNC Symbol;Acc:HGNC:29890]	10850	-0.010737063363194466	-0.26202354	No	
row_34	IFNB1	interferon beta 1 [Source:HGNC Symbol;Acc:HGNC:5434]	11040	-0.015366444364190102	-0.2707036	No	
row_35	DDX58	DExD/H-box helicase 58 [Source:HGNC Symbol;Acc:HGNC:19102]	11166	-0.018869325518608093	-0.27547413	No	
row_36	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	11489	-0.02754807099699974	-0.29010996	No	
row_37	IFNA6	interferon alpha 6 [Source:HGNC Symbol;Acc:HGNC:5427]	11896	-0.03919026628136635	-0.30806726	No	
row_38	RNF125	ring finger protein 125 [Source:HGNC Symbol;Acc:HGNC:21150]	11987	-0.04195761680603027	-0.30834013	No	
row_39	STING1	stimulator of interferon response cGAMP interactor 1 [Source:HGNC Symbol;Acc:HGNC:27962]	11992	-0.042063090950250626	-0.30387235	No	
row_40	CASP8	caspase 8 [Source:HGNC Symbol;Acc:HGNC:1509]	12689	-0.061634741723537445	-0.33527464	No	
row_41	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	13020	-0.0710146576166153	-0.3455062	No	
row_42	IFNW1	interferon omega 1 [Source:HGNC Symbol;Acc:HGNC:5448]	13512	-0.08587509393692017	-0.3629346	No	
row_43	IFNA8	interferon alpha 8 [Source:HGNC Symbol;Acc:HGNC:5429]	13566	-0.08771998435258865	-0.35607293	No	
row_44	CASP10	caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]	13819	-0.09511226415634155	-0.35932994	No	
row_45	IFNA17	interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]	14632	-0.12119384109973907	-0.39047316	No	
row_46	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	15311	-0.146080881357193	-0.41147456	Yes	
row_47	IFNA4	interferon alpha 4 [Source:HGNC Symbol;Acc:HGNC:5425]	15398	-0.14964383840560913	-0.39952633	Yes	
row_48	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	15466	-0.15139545500278473	-0.38633817	Yes	
row_49	MAPK14	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	15629	-0.15760833024978638	-0.37768137	Yes	
row_50	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	15808	-0.16621507704257965	-0.36894524	Yes	
row_51	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	16073	-0.17764432728290558	-0.36366424	Yes	
row_52	MAP3K1	mitogen-activated protein kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6848]	16415	-0.19483202695846558	-0.3607018	Yes	
row_53	IFIH1	interferon induced with helicase C domain 1 [Source:HGNC Symbol;Acc:HGNC:18873]	16673	-0.21048596501350403	-0.35137585	Yes	
row_54	IFNA1	interferon alpha 1 [Source:HGNC Symbol;Acc:HGNC:5417]	16796	-0.2180992215871811	-0.33377814	Yes	
row_55	MAPK8	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:HGNC:6881]	16832	-0.22033211588859558	-0.31114772	Yes	
row_56	TBK1	TANK binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:11584]	16944	-0.2270025908946991	-0.2919529	Yes	
row_57	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	17074	-0.23542779684066772	-0.27280894	Yes	
row_58	ATG5	autophagy related 5 [Source:HGNC Symbol;Acc:HGNC:589]	17080	-0.23569965362548828	-0.24681623	Yes	
row_59	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	17358	-0.2594310939311981	-0.23313531	Yes	
row_60	IFNA2	interferon alpha 2 [Source:HGNC Symbol;Acc:HGNC:5423]	17793	-0.3110663592815399	-0.22233291	Yes	
row_61	CXCL8	C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]	17803	-0.3122852146625519	-0.18802504	Yes	
row_62	ATG12	autophagy related 12 [Source:HGNC Symbol;Acc:HGNC:588]	17946	-0.34089159965515137	-0.15784244	Yes	
row_63	TRAF6	TNF receptor associated factor 6 [Source:HGNC Symbol;Acc:HGNC:12036]	17955	-0.3429969251155853	-0.12005691	Yes	
