NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SKIV2L	Ski2 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:10898]	671	0.2949022948741913	0.0020951647	No	
row_1	EDC4	enhancer of mRNA decapping 4 [Source:HGNC Symbol;Acc:HGNC:17157]	821	0.2802925705909729	0.030947274	No	
row_2	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	992	0.26562565565109253	0.056707047	No	
row_3	EXOSC6	exosome component 6 [Source:HGNC Symbol;Acc:HGNC:19055]	1399	0.23764964938163757	0.06579991	No	
row_4	CNOT3	CCR4-NOT transcription complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7879]	3396	0.14942651987075806	-0.02414779	No	
row_5	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	3870	0.13398359715938568	-0.032436553	No	
row_6	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	5051	0.10065115988254547	-0.0839849	No	
row_7	EXOSC2	exosome component 2 [Source:HGNC Symbol;Acc:HGNC:17097]	5057	0.10049406439065933	-0.07097937	No	
row_8	EXOSC7	exosome component 7 [Source:HGNC Symbol;Acc:HGNC:28112]	5174	0.09708912670612335	-0.064524055	No	
row_9	DCP1B	decapping mRNA 1B [Source:HGNC Symbol;Acc:HGNC:24451]	5270	0.0947357714176178	-0.057225626	No	
row_10	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:13940]	5955	0.07788996398448944	-0.084523134	No	
row_11	EXOSC4	exosome component 4 [Source:HGNC Symbol;Acc:HGNC:18189]	6990	0.05230645090341568	-0.1344365	No	
row_12	DCPS	decapping enzyme, scavenger [Source:HGNC Symbol;Acc:HGNC:29812]	6995	0.05220597982406616	-0.1277573	No	
row_13	LSM4	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]	7685	0.036388788372278214	-0.16081397	No	
row_14	ENO1	enolase 1 [Source:HGNC Symbol;Acc:HGNC:3350]	8400	0.019334454089403152	-0.19749832	No	
row_15	LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17874]	8403	0.019265329465270042	-0.19506231	No	
row_16	TENT4A	terminal nucleotidyltransferase 4A [Source:HGNC Symbol;Acc:HGNC:16705]	8426	0.018630078062415123	-0.1938094	No	
row_17	PAPOLG	poly(A) polymerase gamma [Source:HGNC Symbol;Acc:HGNC:14982]	8445	0.018133996054530144	-0.19240221	No	
row_18	PARN	poly(A)-specific ribonuclease [Source:HGNC Symbol;Acc:HGNC:8609]	8873	0.008276416920125484	-0.21477519	No	
row_19	PNPT1	polyribonucleotide nucleotidyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:23166]	8977	0.005344231612980366	-0.21972953	No	
