NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOS2	nitric oxide synthase 2 [Source:HGNC Symbol;Acc:HGNC:7873]	1085	0.2587769627571106	-0.03420624	No	
row_1	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	1395	0.23789146542549133	-0.027767567	No	
row_2	TRAF4	TNF receptor associated factor 4 [Source:HGNC Symbol;Acc:HGNC:12034]	1461	0.2339325100183487	-0.008291776	No	
row_3	E2F1	E2F transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3113]	2342	0.1884545385837555	-0.0381468	No	
row_4	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2356	0.18800373375415802	-0.020335484	No	
row_5	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	2533	0.1805998682975769	-0.012223623	No	
row_6	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	2704	0.17470166087150574	-0.0043628174	No	
row_7	CDK4	cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]	2884	0.16744790971279144	0.0022879045	No	
row_8	LAMA5	laminin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6485]	3086	0.1598132997751236	0.0069756266	No	
row_9	CYCS	cytochrome c, somatic [Source:HGNC Symbol;Acc:HGNC:19986]	3268	0.1534596085548401	0.012137822	No	
row_10	LAMA1	laminin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6481]	3724	0.13825085759162903	7.2313944E-4	No	
row_11	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	4018	0.1293906569480896	-0.002649852	No	
row_12	RXRA	retinoid X receptor alpha [Source:HGNC Symbol;Acc:HGNC:10477]	4079	0.1272457391023636	0.0065877107	No	
row_13	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	4559	0.11351175606250763	-0.008585583	No	
row_14	TRAF1	TNF receptor associated factor 1 [Source:HGNC Symbol;Acc:HGNC:12031]	4969	0.10294797271490097	-0.0209478	No	
row_15	FN1	fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]	5492	0.08928491175174713	-0.040874787	No	
row_16	E2F2	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]	5531	0.08839627355337143	-0.034254964	No	
row_17	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	5536	0.08823215961456299	-0.025780305	No	
row_18	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	5871	0.08002380281686783	-0.03627434	No	
row_19	BCL2L1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	6366	0.06717897951602936	-0.05683891	No	
row_20	AKT2	AKT serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:392]	6501	0.06365515291690826	-0.05794004	No	
row_21	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7115	0.049050576984882355	-0.086839594	No	
row_22	CCND1	cyclin D1 [Source:HGNC Symbol;Acc:HGNC:1582]	7149	0.04839498922228813	-0.08388653	No	
row_23	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	8312	0.021428566426038742	-0.1457194	No	
row_24	RXRG	retinoid X receptor gamma [Source:HGNC Symbol;Acc:HGNC:10479]	8345	0.020496491342782974	-0.14546053	No	
row_25	COL4A4	collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]	8350	0.020371299237012863	-0.14367317	No	
row_26	PIK3R2	phosphoinositide-3-kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:8980]	8458	0.017901664599776268	-0.14779724	No	
row_27	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	8505	0.01708115078508854	-0.14864536	No	
row_28	TRAF3	TNF receptor associated factor 3 [Source:HGNC Symbol;Acc:HGNC:12033]	8871	0.008331887423992157	-0.16791014	No	
row_29	LAMB4	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]	8993	0.004850393161177635	-0.17409076	No	
row_30	CDKN2B	cyclin dependent kinase inhibitor 2B [Source:HGNC Symbol;Acc:HGNC:1788]	9836	0.0	-0.22042578	No	
row_31	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	10366	0.0	-0.2495365	No	
row_32	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	10371	0.0	-0.24975662	No	
row_33	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	10772	-0.008821802213788033	-0.27089918	No	
row_34	FHIT	fragile histidine triad diadenosine triphosphatase [Source:HGNC Symbol;Acc:HGNC:3701]	10865	-0.010937100276350975	-0.2748841	No	
row_35	PIAS2	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	11123	-0.017432017251849174	-0.28730893	No	
