NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	C1QC	complement C1q C chain [Source:HGNC Symbol;Acc:HGNC:1245]	47	0.4787881672382355	0.023792725	Yes	
row_1	H2AC21	H2A clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:20508]	103	0.4278898537158966	0.044339124	Yes	
row_2	H4C6	H4 clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4783]	113	0.4259255528450012	0.067315064	Yes	
row_3	H4C11	H4 clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4785]	182	0.3903217017650604	0.08507391	Yes	
row_4	H3-5	H3.5 histone [Source:HGNC Symbol;Acc:HGNC:33164]	257	0.37105634808540344	0.101440035	Yes	
row_5	H2BC1	H2B clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:18730]	270	0.368338406085968	0.12107688	Yes	
row_6	FCGR2B	Fc fragment of IgG receptor IIb [Source:HGNC Symbol;Acc:HGNC:3618]	292	0.35926342010498047	0.13971709	Yes	
row_7	H2AC4	H2A clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4734]	324	0.35147586464881897	0.15737642	Yes	
row_8	HLA-DPB1	major histocompatibility complex, class II, DP beta 1 [Source:HGNC Symbol;Acc:HGNC:4940]	437	0.3302639424800873	0.16939807	Yes	
row_9	H2AW	H2A.W histone [Source:HGNC Symbol;Acc:HGNC:20507]	555	0.3094000518321991	0.17999408	Yes	
row_10	H4C9	H4 clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4793]	563	0.30866995453834534	0.19661848	Yes	
row_11	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	570	0.3079046308994293	0.21325588	Yes	
row_12	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	609	0.30249905586242676	0.22782996	Yes	
row_13	C1QA	complement C1q A chain [Source:HGNC Symbol;Acc:HGNC:1241]	673	0.2946876883506775	0.24059433	Yes	
row_14	H4C15	H4 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:29607]	707	0.29156461358070374	0.25484166	Yes	
row_15	H4C1	H4 clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:4781]	787	0.284580796957016	0.26616633	Yes	
row_16	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	865	0.2754034101963043	0.2770956	Yes	
row_17	H3C10	H3 clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4775]	963	0.2682313323020935	0.2865262	Yes	
row_18	H2BC9	H2B clustered histone 9 [Source:HGNC Symbol;Acc:HGNC:4755]	1353	0.24010510742664337	0.27829733	Yes	
row_19	H4C5	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	1405	0.23731273412704468	0.28856185	Yes	
row_20	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	1484	0.23153813183307648	0.29701853	Yes	
row_21	H3C15	H3 clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:20505]	1540	0.22768287360668182	0.30653167	Yes	
row_22	SNRPB	small nuclear ribonucleoprotein polypeptides B and B1 [Source:HGNC Symbol;Acc:HGNC:11153]	1613	0.22419443726539612	0.31491467	Yes	
row_23	H2BC14	H2B clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4750]	1833	0.2130090743303299	0.31457138	Yes	
row_24	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B [Source:HGNC Symbol;Acc:HGNC:4586]	1937	0.20756079256534576	0.32032746	Yes	
row_25	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	2019	0.2031630575656891	0.32705492	Yes	
row_26	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A [Source:HGNC Symbol;Acc:HGNC:4585]	2091	0.1996738612651825	0.33414176	Yes	
row_27	H2AC14	H2A clustered histone 14 [Source:HGNC Symbol;Acc:HGNC:4727]	2109	0.19895033538341522	0.34416792	Yes	
row_28	H2BC21	H2B clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:4760]	2148	0.19727975130081177	0.35294342	Yes	
row_29	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	2220	0.19407881796360016	0.35972196	Yes	
row_30	H2AC11	H2A clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4737]	2464	0.18293797969818115	0.3563974	Yes	
row_31	H3C7	H3 clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4773]	2853	0.1684340536594391	0.34427395	Yes	
row_32	H2AC12	H2A clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13671]	2946	0.16552917659282684	0.34832057	Yes	
row_33	C8A	complement C8 alpha chain [Source:HGNC Symbol;Acc:HGNC:1352]	3107	0.15916763246059418	0.34826508	Yes	
row_34	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	3189	0.15604856610298157	0.3523961	Yes	
row_35	H3C2	H3 clustered histone 2 [Source:HGNC Symbol;Acc:HGNC:4776]	3316	0.15191017091274261	0.35381642	Yes	
row_36	H3-4	H3.4 histone [Source:HGNC Symbol;Acc:HGNC:4778]	3458	0.14731018245220184	0.3541557	Yes	
row_37	FCGR3B	Fc fragment of IgG receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]	3625	0.14151108264923096	0.35279617	Yes	
row_38	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	3878	0.13377024233341217	0.34626547	Yes	
row_39	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	3977	0.13071995973587036	0.34806275	Yes	
row_40	H2BU1	H2B.U histone 1 [Source:HGNC Symbol;Acc:HGNC:20514]	3983	0.13033872842788696	0.3549698	Yes	
row_41	H3C8	H3 clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4772]	3985	0.13029848039150238	0.36209527	Yes	
row_42	C6	complement C6 [Source:HGNC Symbol;Acc:HGNC:1339]	4005	0.12960661947727203	0.3681896	Yes	
row_43	C1S	complement C1s [Source:HGNC Symbol;Acc:HGNC:1247]	4089	0.12684184312820435	0.3706007	Yes	
row_44	ELANE	elastase, neutrophil expressed [Source:HGNC Symbol;Acc:HGNC:3309]	4128	0.12536147236824036	0.37541285	Yes	
row_45	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	4131	0.12525536119937897	0.38220525	Yes	
row_46	H2BC13	H2B clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4748]	4274	0.12151382863521576	0.38106775	Yes	
row_47	H4C4	H4 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4782]	4355	0.1191539317369461	0.38322067	Yes	
row_48	H2BC17	H2B clustered histone 17 [Source:HGNC Symbol;Acc:HGNC:4758]	4438	0.1171727105975151	0.3851541	Yes	
row_49	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	4487	0.11571750044822693	0.38888308	Yes	
row_50	H2BC7	H2B clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4752]	4662	0.11131126433610916	0.3854179	No	
row_51	H2BC10	H2B clustered histone 10 [Source:HGNC Symbol;Acc:HGNC:4756]	5021	0.10167041420936584	0.37127024	No	
row_52	HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 [Source:HGNC Symbol;Acc:HGNC:4943]	5031	0.1013781726360321	0.37636063	No	
row_53	C4B	complement C4B (Chido blood group) [Source:HGNC Symbol;Acc:HGNC:1324]	5200	0.09657766669988632	0.3724145	No	
row_54	H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	5325	0.09357653558254242	0.37073043	No	
row_55	H4C12	H4 clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:4784]	5502	0.08906382322311401	0.36592886	No	
row_56	C9	complement C9 [Source:HGNC Symbol;Acc:HGNC:1358]	5673	0.08519165217876434	0.36124492	No	
row_57	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	5691	0.08470757305622101	0.3649752	No	
row_58	H4C13	H4 clustered histone 13 [Source:HGNC Symbol;Acc:HGNC:4791]	6317	0.06849668174982071	0.33426917	No	
row_59	CD28	CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]	6377	0.06693752110004425	0.33470306	No	
row_60	C4A	complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]	6674	0.05964347720146179	0.32165983	No	
row_61	FCGR3A	Fc fragment of IgG receptor IIIa [Source:HGNC Symbol;Acc:HGNC:3619]	6690	0.05934803932905197	0.3241029	No	
row_62	H3-3B	H3.3 histone B [Source:HGNC Symbol;Acc:HGNC:4765]	6812	0.05670559033751488	0.32055244	No	
row_63	MACROH2A2	macroH2A.2 histone [Source:HGNC Symbol;Acc:HGNC:14453]	6984	0.05244451016187668	0.31400865	No	
row_64	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	7058	0.050315242260694504	0.31275412	No	
row_65	H2BC11	H2B clustered histone 11 [Source:HGNC Symbol;Acc:HGNC:4761]	7121	0.048913247883319855	0.3120292	No	
row_66	HLA-DRB1	major histocompatibility complex, class II, DR beta 1 [Source:HGNC Symbol;Acc:HGNC:4948]	7178	0.04786863923072815	0.3115777	No	
row_67	CD80	CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]	7458	0.04138810187578201	0.29846632	No	
row_68	ACTN4	actinin alpha 4 [Source:HGNC Symbol;Acc:HGNC:166]	7593	0.03844844177365303	0.2931925	No	
row_69	CD40	CD40 molecule [Source:HGNC Symbol;Acc:HGNC:11919]	7896	0.030791955068707466	0.27822828	No	
row_70	H2BC12	H2B clustered histone 12 [Source:HGNC Symbol;Acc:HGNC:13954]	7917	0.03024703823029995	0.2787918	No	
row_71	MACROH2A1	macroH2A.1 histone [Source:HGNC Symbol;Acc:HGNC:4740]	7963	0.029200412333011627	0.27791837	No	
row_72	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]	8012	0.02797411009669304	0.2768119	No	
row_73	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	8175	0.02432873472571373	0.2692152	No	
row_74	C5	complement C5 [Source:HGNC Symbol;Acc:HGNC:1331]	8280	0.02215649001300335	0.2646986	No	
row_75	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	9140	0.0012024356983602047	0.21737438	No	
row_76	C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	9147	0.0010490762069821358	0.21710117	No	
row_77	H3C3	H3 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4768]	9230	0.0	0.21257728	No	
row_78	H3C4	H3 clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4767]	9231	0.0	0.21257728	No	
row_79	C8G	complement C8 gamma chain [Source:HGNC Symbol;Acc:HGNC:1354]	9233	0.0	0.21252212	No	
row_80	H4C3	H4 clustered histone 3 [Source:HGNC Symbol;Acc:HGNC:4787]	9261	0.0	0.21103254	No	
row_81	FCGR1A	Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	9432	0.0	0.20165375	No	
row_82	H2BC4	H2B clustered histone 4 [Source:HGNC Symbol;Acc:HGNC:4757]	9950	0.0	0.17313118	No	
row_83	H2AC7	H2A clustered histone 7 [Source:HGNC Symbol;Acc:HGNC:4729]	9989	0.0	0.17103475	No	
row_84	H2AC19	H2A clustered histone 19 [Source:HGNC Symbol;Acc:HGNC:29668]	10193	0.0	0.15983537	No	
row_85	H2AC15	H2A clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4726]	10195	0.0	0.1597802	No	
row_86	H2AC16	H2A clustered histone 16 [Source:HGNC Symbol;Acc:HGNC:4730]	10196	0.0	0.1597802	No	
row_87	H2AC18	H2A clustered histone 18 [Source:HGNC Symbol;Acc:HGNC:4736]	10197	0.0	0.1597802	No	
row_88	H2AC1	H2A clustered histone 1 [Source:HGNC Symbol;Acc:HGNC:18729]	10455	-0.0015119683230295777	0.145685	No	
row_89	SNRPD3	small nuclear ribonucleoprotein D3 polypeptide [Source:HGNC Symbol;Acc:HGNC:11160]	11020	-0.014856549911201	0.11538821	No	
row_90	H2BC6	H2B clustered histone 6 [Source:HGNC Symbol;Acc:HGNC:4753]	11310	-0.022700371220707893	0.10069526	No	
