NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TAS2R41	taste 2 receptor member 41 [Source:HGNC Symbol;Acc:HGNC:18883]	11	0.5453521609306335	0.102684975	Yes	
row_1	TAS1R3	taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661]	380	0.3396714925765991	0.14680204	Yes	
row_2	TAS1R2	taste 1 receptor member 2 [Source:HGNC Symbol;Acc:HGNC:14905]	422	0.3332754373550415	0.20767178	Yes	
row_3	SCNN1G	sodium channel epithelial 1 subunit gamma [Source:HGNC Symbol;Acc:HGNC:10602]	1064	0.25995320081710815	0.22169273	Yes	
row_4	GRM4	glutamate metabotropic receptor 4 [Source:HGNC Symbol;Acc:HGNC:4596]	1259	0.24678058922290802	0.2577752	Yes	
row_5	CACNA1B	calcium voltage-gated channel subunit alpha1 B [Source:HGNC Symbol;Acc:HGNC:1389]	1570	0.2259754240512848	0.2835446	Yes	
row_6	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	2343	0.1884533017873764	0.27682692	Yes	
row_7	KCNB1	potassium voltage-gated channel subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:6231]	2371	0.18736252188682556	0.31082997	Yes	
row_8	TRPM5	transient receptor potential cation channel subfamily M member 5 [Source:HGNC Symbol;Acc:HGNC:14323]	2730	0.17376719415187836	0.32407424	Yes	
row_9	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	2831	0.16941547393798828	0.3506678	Yes	
row_10	SCNN1B	sodium channel epithelial 1 subunit beta [Source:HGNC Symbol;Acc:HGNC:10600]	2890	0.1672549545764923	0.37915948	Yes	
row_11	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	3448	0.14748796820640564	0.37649423	Yes	
row_12	ASIC2	acid sensing ion channel subunit 2 [Source:HGNC Symbol;Acc:HGNC:99]	3881	0.13369998335838318	0.37808454	Yes	
row_13	TAS1R1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	4170	0.12414055317640305	0.3857751	Yes	
row_14	TAS2R1	taste 2 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14909]	4189	0.12379404902458191	0.40823275	Yes	
row_15	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	4290	0.12113606929779053	0.42568222	Yes	
row_16	PLCB2	phospholipase C beta 2 [Source:HGNC Symbol;Acc:HGNC:9055]	4473	0.11610561609268188	0.4376742	Yes	
row_17	TAS2R5	taste 2 receptor member 5 [Source:HGNC Symbol;Acc:HGNC:14912]	5586	0.08698653429746628	0.39306054	No	
row_18	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	5606	0.08671041578054428	0.40843964	No	
row_19	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	6469	0.06449674814939499	0.37330043	No	
row_20	TAS2R16	taste 2 receptor member 16 [Source:HGNC Symbol;Acc:HGNC:14921]	6683	0.059473562985658646	0.37286332	No	
row_21	TAS2R9	taste 2 receptor member 9 [Source:HGNC Symbol;Acc:HGNC:14917]	6788	0.0570555105805397	0.37795624	No	
row_22	TAS2R40	taste 2 receptor member 40 [Source:HGNC Symbol;Acc:HGNC:18885]	6833	0.05627797171473503	0.38619807	No	
row_23	TAS2R39	taste 2 receptor member 39 [Source:HGNC Symbol;Acc:HGNC:18886]	7191	0.04766593128442764	0.3756138	No	
row_24	GNG13	G protein subunit gamma 13 [Source:HGNC Symbol;Acc:HGNC:14131]	9325	0.0	0.2584353	No	
row_25	TAS2R3	taste 2 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:14910]	9488	0.0	0.24953568	No	
row_26	TAS2R4	taste 2 receptor member 4 [Source:HGNC Symbol;Acc:HGNC:14911]	9489	0.0	0.24953568	No	
row_27	TAS2R20	taste 2 receptor member 20 [Source:HGNC Symbol;Acc:HGNC:19109]	9865	0.0	0.22893468	No	
row_28	TAS2R10	taste 2 receptor member 10 [Source:HGNC Symbol;Acc:HGNC:14918]	9868	0.0	0.2288248	No	
row_29	TAS2R13	taste 2 receptor member 13 [Source:HGNC Symbol;Acc:HGNC:14919]	9869	0.0	0.2288248	No	
row_30	TAS2R14	taste 2 receptor member 14 [Source:HGNC Symbol;Acc:HGNC:14920]	9870	0.0	0.2288248	No	
row_31	TAS2R19	taste 2 receptor member 19 [Source:HGNC Symbol;Acc:HGNC:19108]	9871	0.0	0.2288248	No	
row_32	TAS2R43	taste 2 receptor member 43 [Source:HGNC Symbol;Acc:HGNC:18875]	9872	0.0	0.2288248	No	
row_33	TAS2R46	taste 2 receptor member 46 [Source:HGNC Symbol;Acc:HGNC:18877]	9873	0.0	0.2288248	No	
row_34	TAS2R31	taste 2 receptor member 31 [Source:HGNC Symbol;Acc:HGNC:19113]	9878	0.0	0.22860506	No	
row_35	TAS2R38	taste 2 receptor member 38 [Source:HGNC Symbol;Acc:HGNC:9584]	9879	0.0	0.22860506	No	
row_36	TAS2R50	taste 2 receptor member 50 [Source:HGNC Symbol;Acc:HGNC:18882]	9880	0.0	0.22860506	No	
row_37	GNG3	G protein subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:4405]	10262	0.0	0.20767444	No	
row_38	GNAT3	G protein subunit alpha transducin 3 [Source:HGNC Symbol;Acc:HGNC:22800]	10344	0.0	0.20322463	No	
row_39	GNB3	G protein subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:4400]	10408	-2.9572052881121635E-4	0.19981967	No	
row_40	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	10783	-0.009171157144010067	0.18101062	No	
row_41	ADCY4	adenylate cyclase 4 [Source:HGNC Symbol;Acc:HGNC:235]	10914	-0.012250389903783798	0.17618914	No	
row_42	GNB1	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	11582	-0.03047850914299488	0.14531943	No	
