NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	256	0.37109994888305664	0.008722929	No	
row_1	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	713	0.29115861654281616	0.0014912764	No	
row_2	UBE2M	ubiquitin conjugating enzyme E2 M [Source:HGNC Symbol;Acc:HGNC:12491]	1007	0.26388877630233765	0.0015729604	No	
row_3	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	1338	0.24113722145557404	-0.0017871321	No	
row_4	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	1425	0.235720694065094	0.007979908	No	
row_5	PPIL2	peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]	2250	0.19229575991630554	-0.025639107	No	
row_6	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	2298	0.19045326113700867	-0.016507316	No	
row_7	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	2356	0.18800373375415802	-0.008077986	No	
row_8	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	2365	0.18771591782569885	0.0030367777	No	
row_9	UBE2Q1	ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]	2459	0.1831897646188736	0.009183765	No	
row_10	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2878	0.1677038073539734	-0.0035516426	No	
row_11	ELOB	elongin B [Source:HGNC Symbol;Acc:HGNC:11619]	3168	0.15679684281349182	-0.009842045	No	
row_12	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]	3241	0.1545289307832718	-0.004300971	No	
row_13	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	3764	0.13715042173862457	-0.024654593	No	
row_14	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	4199	0.12352733314037323	-0.040992238	No	
row_15	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]	4426	0.11734472215175629	-0.046235897	No	
row_16	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	4502	0.11529835313558578	-0.04327542	No	
row_17	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	4559	0.11351175606250763	-0.03937677	No	
row_18	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	4758	0.10866843909025192	-0.043609895	No	
row_19	UBE2Z	ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]	4864	0.10576213896274567	-0.042891473	No	
row_20	UBE3B	ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]	4893	0.10491937398910522	-0.037977125	No	
row_21	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	5366	0.09249883890151978	-0.058321252	No	
row_22	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	5378	0.0923282578587532	-0.053244207	No	
row_23	UBE4A	ubiquitination factor E4A [Source:HGNC Symbol;Acc:HGNC:12499]	5627	0.08621057868003845	-0.061618194	No	
row_24	SYVN1	synoviolin 1 [Source:HGNC Symbol;Acc:HGNC:20738]	6171	0.07249204069375992	-0.08711078	No	
row_25	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	6310	0.06863949447870255	-0.09049818	No	
row_26	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	6394	0.06644171476364136	-0.09098672	No	
row_27	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	6610	0.061037931591272354	-0.09908989	No	
