NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	121	-0.48761088	-1.790066	0.002008032	0.08846858	0.083	4136	tags=45%, list=23%, signal=58%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	Details ...	126	-0.40134522	-1.6231568	0.0390625	0.33068964	0.395	4132	tags=40%, list=23%, signal=52%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	67	-0.5162587	-1.6165577	0.044	0.23735113	0.416	5837	tags=60%, list=32%, signal=87%	
KEGG_COLORECTAL_CANCER	KEGG_COLORECTAL_CANCER	Details ...	61	-0.46805662	-1.6092813	0.0118811885	0.19478914	0.444	2551	tags=31%, list=14%, signal=36%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	Details ...	50	-0.4178332	-1.5495546	0.023904383	0.28793463	0.633	4628	tags=46%, list=25%, signal=61%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	Details ...	80	-0.3935399	-1.5128938	0.006134969	0.3442439	0.744	2625	tags=29%, list=14%, signal=33%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	71	-0.45704877	-1.5069859	0.06720977	0.3116027	0.762	4300	tags=44%, list=24%, signal=57%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	36	-0.41227034	-1.4998642	0.03137255	0.29429114	0.776	4894	tags=47%, list=27%, signal=64%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	67	-0.42775458	-1.4883211	0.01984127	0.29084918	0.801	2943	tags=31%, list=16%, signal=37%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	67	-0.36613262	-1.4492271	0.020120725	0.37269646	0.884	3674	tags=33%, list=20%, signal=41%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	84	-0.34284875	-1.4215779	0.049115915	0.42411	0.922	4832	tags=45%, list=26%, signal=61%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER	Details ...	66	-0.4333531	-1.4091829	0.102970295	0.43094927	0.936	3460	tags=36%, list=19%, signal=45%	
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	Details ...	120	-0.38549787	-1.4049922	0.092885375	0.4099716	0.939	4176	tags=44%, list=23%, signal=57%	
KEGG_ACUTE_MYELOID_LEUKEMIA	KEGG_ACUTE_MYELOID_LEUKEMIA	Details ...	54	-0.4176185	-1.4019393	0.111753374	0.38974127	0.942	5234	tags=48%, list=29%, signal=67%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	107	-0.3350914	-1.3944362	0.043392505	0.38471785	0.951	4136	tags=36%, list=23%, signal=46%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	53	-0.39465842	-1.3875443	0.106299214	0.38003126	0.955	2705	tags=30%, list=15%, signal=35%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	178	-0.32993016	-1.3653063	0.051485147	0.42257825	0.973	4247	tags=39%, list=23%, signal=51%	
KEGG_RNA_DEGRADATION	KEGG_RNA_DEGRADATION	Details ...	57	-0.42973408	-1.3639897	0.14046122	0.40261534	0.974	4174	tags=40%, list=23%, signal=52%	
