NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM	Details ...	58	0.49001583	1.4515556	0.032397408	1.0	0.878	4265	tags=43%, list=23%, signal=56%	
KEGG_ONE_CARBON_POOL_BY_FOLATE	KEGG_ONE_CARBON_POOL_BY_FOLATE	Details ...	17	0.48515585	1.4003664	0.12323232	1.0	0.956	1852	tags=29%, list=10%, signal=33%	
KEGG_LINOLEIC_ACID_METABOLISM	KEGG_LINOLEIC_ACID_METABOLISM	Details ...	29	0.6082022	1.3604352	0.09224319	1.0	0.975	2281	tags=48%, list=12%, signal=55%	
KEGG_STEROID_HORMONE_BIOSYNTHESIS	KEGG_STEROID_HORMONE_BIOSYNTHESIS	Details ...	54	0.6117454	1.3548317	0.13894325	1.0	0.977	3613	tags=41%, list=20%, signal=51%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	Details ...	26	0.44340652	1.340712	0.09690721	1.0	0.984	4193	tags=35%, list=23%, signal=45%	
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	Details ...	25	0.58118594	1.3284123	0.12175649	1.0	0.988	3156	tags=52%, list=17%, signal=63%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM	Details ...	39	0.46969584	1.3065773	0.12915851	1.0	0.994	3173	tags=36%, list=17%, signal=43%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	Details ...	127	0.38888308	1.2901258	0.07157464	1.0	0.998	4487	tags=39%, list=25%, signal=52%	
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	Details ...	69	0.5488979	1.2830516	0.198	1.0	0.998	5210	tags=46%, list=29%, signal=65%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	33	0.3807665	1.2434863	0.18145162	1.0	0.999	1843	tags=27%, list=10%, signal=30%	
