	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
1	LUZP1	1233.60203681406	-0.12372172643103	0.0387478510818992	0.000110923897538555	0.0371742955284212
2	HNRNPR	597.636966282155	-0.146972651421905	0.0447399440044405	6.61199803048144e-05	0.025548957504632
3	EYA3	1114.36405907556	-0.100071291580274	0.0347466873824213	0.000397800682093217	0.0487742446068927
4	RASAL2	3449.08837300319	-0.158046186485198	0.0557171909424855	0.000264542582156131	0.0461845828437236
5	ENAH	1491.87408658038	-0.173229356994404	0.0456824959538842	8.62613542809094e-06	0.0222973080303592
6	DESI2	716.400736516097	-0.129812482069895	0.0466264321667776	0.000362187971170004	0.0487742446068927
7	ITSN2	1868.53201564028	-0.119848432173278	0.0314346827491455	1.20587592543567e-05	0.0222973080303592
8	RBMS1	2766.8298200548	-0.132360085568527	0.0462620821575691	0.000272171475971289	0.0461845828437236
9	UBE2E3	1175.31783721991	-0.211961469089647	0.062991566429784	3.44025152771711e-05	0.025548957504632
10	PDCD10	618.906755257335	-0.187522919729278	0.0657863254501759	0.00021577180391622	0.0461845828437236
11	FRYL	2975.95198435163	-0.14304216632944	0.0434306871452224	6.43068896441043e-05	0.025548957504632
12	PDLIM5	2683.0873340692	-0.168716582476238	0.0497058543149811	3.99380915686094e-05	0.025548957504632
13	SMAD1	957.771347829414	-0.151738038149185	0.0525007539087694	0.000228433935080482	0.0461845828437236
14	RAPGEF2	3256.62167375966	-0.146898251321693	0.0452240587792542	6.90502547954274e-05	0.025548957504632
15	SEMA6A	1362.93393666773	-0.151072256540426	0.0538907013386366	0.000291173703502394	0.0461845828437236
16	FBXO38	559.897976510938	-0.152989676730336	0.0543368727760843	0.000278854906076445	0.0461845828437236
17	RANBP9	1313.33288776845	-0.176843232281024	0.060446566614362	0.000173395152544975	0.0461845828437236
18	ATG5	1293.25969968259	-0.129524665202467	0.0457577968999643	0.000320714069677244	0.047418518478456
19	ARID1B	8123.41745963132	-0.0880052754115027	0.0297204379692692	0.000390662237780939	0.0487742446068927
20	CDK6	3007.71293693176	-0.123852016059615	0.0435809538761675	0.000316314042804837	0.047418518478456
21	CAPZA2	1495.58359870437	-0.109595910401789	0.0371101296319505	0.000285335997285998	0.0461845828437236
22	TNKS	2259.71190274473	-0.130413612830599	0.0485164691762905	0.000391331362383342	0.0487742446068927
23	PPP2R2A	1273.58885107246	-0.168558092506767	0.0514951745897737	6.13715844336711e-05	0.025548957504632
24	HMBOX1	1953.37064831672	-0.141412126074519	0.0428286950483058	5.34699856040126e-05	0.025548957504632
25	PCMTD1	894.694356822615	-0.188856527156722	0.0588515995274106	6.84978992822283e-05	0.025548957504632
26	EIF3H	1282.44350167838	-0.13782353659781	0.049586263713851	0.000347415872431786	0.0487742446068927
27	SMARCA2	2755.61137390609	-0.103312048289153	0.0281677579876908	2.52002103733788e-05	0.025336291509395
28	NFIB	3157.38128065889	-0.20374467904169	0.0560143895267348	1.46980742490158e-05	0.0222973080303592
29	CACNA1B	1295.5081096357	0.22469606728192	0.0802671915690905	0.000209621392941891	0.0461845828437236
30	ARHGEF12	1711.24282701956	-0.166163403634044	0.0592531507443378	0.000274218951171628	0.0461845828437236
31	TMEM132C	963.926107206323	0.305787566360606	0.109451046448232	0.000185305929653442	0.0461845828437236
32	RBM26	840.700479130199	-0.168916633584145	0.0602378262020145	0.000263439354642805	0.0461845828437236
33	STXBP6	1729.07402561561	-0.144895628849463	0.0396180296797453	1.77420394114654e-05	0.0222973080303592
34	ADCK1	1193.33518806015	0.111001364393106	0.0364391090185768	0.000199620444190171	0.0461845828437236
35	MTMR10	834.243806038675	-0.124133049505651	0.0412880945782196	0.000197348945971286	0.0461845828437236
36	TMOD3	1348.86078733462	-0.114710664690819	0.0390467284179948	0.000273111180964476	0.0461845828437236
37	UACA	1062.27536407417	-0.147446252268485	0.0493088867945956	0.000173165762571939	0.0461845828437236
38	IREB2	773.940980855567	-0.112565106907632	0.0396393056904282	0.000374944816098729	0.0487742446068927
39	MKL2	2123.69445298325	-0.116770789932528	0.0423347289996407	0.000386856794813679	0.0487742446068927
40	CACNA1A	1860.22184533623	0.133288676654505	0.0405707695976544	7.11528555927687e-05	0.025548957504632
41	SYNDIG1	812.471176504725	0.152950425338504	0.0549331241582112	0.000293993763874907	0.0461845828437236
