symbol,ID,adj.P.Val,P.Value,t,B,logFC,ORF,desc
MSN,4478_at,0.11,0.0000204,6.135708,2.5474,4.3971611,4478,moesin
TSPAN4,7106_at,0.11,0.0000231,6.066448,2.4527,2.5532889,7106,tetraspanin 4
SIRPA,140885_at,0.11,0.0000236,6.054941,2.4369,1.1515556,140885,signal-regulatory protein alpha
CALD1,800_at,0.11,0.0000266,5.986782,2.3427,3.9036444,800,caldesmon 1
KRCC1,51315_at,0.11,0.000037,-5.803099,2.0846,-1.9515222,51315,lysine-rich coiled-coil 1
NPNT,255743_at,0.11,0.0000396,-5.766687,2.0327,-3.9025111,255743,nephronectin
DDC,1644_at,0.11,0.0000407,-5.751169,2.0106,-3.9328556,1644,dopa decarboxylase (aromatic L-amino acid decarboxylase)
MEGF6,1953_at,0.135,0.00007,-5.456547,1.5813,-1.3188,1953,multiple EGF-like-domains 6
DYRK2,8445_at,0.135,0.0000827,-5.366892,1.4476,-1.1405833,8445,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2
RRAGD,58528_at,0.135,0.0000886,5.330462,1.3929,2.3228222,58528,Ras-related GTP binding D
CDH17,1015_at,0.135,0.0000897,-5.323762,1.3828,-5.9556833,1015,"cadherin 17, LI cadherin (liver-intestine)"
FHOD1,29109_at,0.135,0.0000934,5.302422,1.3506,0.9562667,29109,formin homology 2 domain containing 1
ABCC3,8714_at,0.135,0.000098,-5.276821,1.3119,-2.4662389,8714,"ATP-binding cassette, sub-family C (CFTR/MRP), member 3"
PHF23,79142_at,0.135,0.0001063,5.233804,1.2466,0.98495,79142,PHD finger protein 23
RASEF,158158_at,0.135,0.0001068,-5.231218,1.2426,-3.3478556,158158,RAS and EF-hand domain containing
PEX1,5189_at,0.175,0.0001477,-5.060344,0.98,-0.9770944,5189,peroxisomal biogenesis factor 1
XK,7504_at,0.179,0.0001714,-4.982933,0.8595,-2.8474278,7504,X-linked Kx blood group (McLeod syndrome)
PEX14,5195_at,0.179,0.0001794,4.959164,0.8222,0.6669833,5195,peroxisomal biogenesis factor 14
IRF6,3664_at,0.179,0.0001796,-4.958506,0.8212,-1.67555,3664,interferon regulatory factor 6
HR,55806_at,0.183,0.0001934,-4.919969,0.7607,-1.0242611,55806,hairless homolog (mouse)
ARID4A,5926_at,0.183,0.0002132,-4.869739,0.6814,-0.9915222,5926,AT rich interactive domain 4A (RBP1-like)
TSPAN8,7103_at,0.183,0.0002244,-4.843188,0.6393,-6.4252333,7103,tetraspanin 8
ALDH3A1,218_at,0.183,0.0002343,-4.820821,0.6038,-2.0947667,218,"aldehyde dehydrogenase 3 family, member A1"
CRYL1,51084_at,0.183,0.0002459,-4.796125,0.5645,-2.6154444,51084,"crystallin, lambda 1"
RAPGEF5,9771_at,0.183,0.0002507,-4.786138,0.5486,-2.5115111,9771,Rap guanine nucleotide exchange factor (GEF) 5
