Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM886835,"1321N1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886835/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886836,"143B","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886836/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886837,"22Rv1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886837/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886838,"23132/87","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886838/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886839,"42-MG-BA","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886839/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886840,"5637","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886840/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886841,"639-V","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886841/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886842,"647-V","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886842/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886843,"697","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886843/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886844,"769-P","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886844/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886845,"786-O","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886845/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886846,"8305C","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886846/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886847,"8505C","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886847/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886848,"8-MG-BA","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886848/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886849,"A101D","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886849/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886850,"A172","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886850/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886851,"A-204","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886851/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886852,"A-253","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886852/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886853,"A2780","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886853/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886854,"A-375","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886854/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886855,"A3/KAW","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886855/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886856,"A-498","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886856/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886857,"A4/Fuk","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886857/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886858,"A549","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886858/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886859,"A-673","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886859/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886860,"A-704","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886860/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886861,"ABC-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886861/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886862,"ACC-MESO-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886862/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886863,"ACHN","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886863/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886864,"AGS","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886864/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886865,"Alexander cells","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886865/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886866,"AM-38","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886866/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886867,"AML-193","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886867/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886868,"AMO-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886868/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886869,"AN3 CA","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886869/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886870,"AsPC-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886870/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886871,"AU565","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886871/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886872,"AZ-521","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886872/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886873,"BC-3C","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886873/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886874,"BCP-1","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886874/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886875,"B-CPAP","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886875/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886876,"BDCM","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886876/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886877,"Becker","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886877/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886878,"BEN","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886878/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886879,"BFTC-905","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886879/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886880,"BFTC-909","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886880/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886881,"BHT-101","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886881/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886882,"BHY","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886882/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886883,"BICR 16","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886883/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886884,"BICR 18","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886884/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886885,"BICR 22","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886885/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886886,"BICR 31","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886886/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886887,"BICR 56","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886887/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886888,"BICR 6","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886888/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886889,"BL-41","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886889/suppl",,"Nicolas Stransky","Mar 20, 2012"
GSM886890,"BL-70","RNA","Homo sapiens",1,GPL15308,GSE36133;GSE36139,"CEL","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM886nnn/GSM886890/suppl",,"Nicolas Stransky","Mar 20, 2012"
