NAME	TITLE	SCORE	
REG3G	regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]	0.6842228	
KRTAP4-1	keratin associated protein 4-1 [Source:HGNC Symbol;Acc:HGNC:18907]	0.679586	
KLK3	kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]	0.655944	
C22orf39	chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]	0.64610445	
OR5A1	olfactory receptor family 5 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8319]	0.6060701	
TMEM121	transmembrane protein 121 [Source:HGNC Symbol;Acc:HGNC:20511]	0.60113513	
TAS2R41	taste 2 receptor member 41 [Source:HGNC Symbol;Acc:HGNC:18883]	0.5982213	
GFER	growth factor, augmenter of liver regeneration [Source:HGNC Symbol;Acc:HGNC:4236]	0.589638	
CCR8	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	0.58891004	
SLC51A	solute carrier family 51 subunit alpha [Source:HGNC Symbol;Acc:HGNC:29955]	0.5864303	
OR10A2	olfactory receptor family 10 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:8161]	0.57681537	
MRPS2	mitochondrial ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:14495]	0.5700342	
CST5	cystatin D [Source:HGNC Symbol;Acc:HGNC:2477]	0.5662153	
OR6N1	olfactory receptor family 6 subfamily N member 1 [Source:HGNC Symbol;Acc:HGNC:15034]	0.56266886	
PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	0.55787605	
TIMM13	translocase of inner mitochondrial membrane 13 [Source:HGNC Symbol;Acc:HGNC:11816]	0.556825	
MCHR1	melanin concentrating hormone receptor 1 [Source:HGNC Symbol;Acc:HGNC:4479]	0.55415386	
OR4K2	olfactory receptor family 4 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14728]	0.55236065	
TTC9B	tetratricopeptide repeat domain 9B [Source:HGNC Symbol;Acc:HGNC:26395]	0.54955906	
NPPC	natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941]	0.5354338	
KHDC3L	KH domain containing 3 like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]	0.5324931	
HTR1B	5-hydroxytryptamine receptor 1B [Source:HGNC Symbol;Acc:HGNC:5287]	0.5322987	
PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	0.5274364	
SPZ1	spermatogenic leucine zipper 1 [Source:HGNC Symbol;Acc:HGNC:30721]	0.5269203	
ZNF788P	zinc finger family member 788, pseudogene [Source:HGNC Symbol;Acc:HGNC:33112]	0.52473056	
S1PR5	sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]	0.5235583	
FOXF1	forkhead box F1 [Source:HGNC Symbol;Acc:HGNC:3809]	0.5201313	
FOXA3	forkhead box A3 [Source:HGNC Symbol;Acc:HGNC:5023]	0.5139371	
OR51E1	olfactory receptor family 51 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:15194]	0.50484383	
POU4F3	POU class 4 homeobox 3 [Source:HGNC Symbol;Acc:HGNC:9220]	0.5003376	
TXNIP	thioredoxin interacting protein [Source:HGNC Symbol;Acc:HGNC:16952]	0.4986864	
NPAS4	neuronal PAS domain protein 4 [Source:HGNC Symbol;Acc:HGNC:18983]	0.49697816	
IPO4	importin 4 [Source:HGNC Symbol;Acc:HGNC:19426]	0.4958735	
