NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	401	0.2957022190093994	8.39678E-4	No	
row_1	PRPF19	pre-mRNA processing factor 19 [Source:HGNC Symbol;Acc:HGNC:17896]	548	0.2735345661640167	0.014025444	No	
row_2	UBE2QL1	ubiquitin conjugating enzyme E2 Q family like 1 [Source:HGNC Symbol;Acc:HGNC:37269]	617	0.26578575372695923	0.030912487	No	
row_3	UBE2M	ubiquitin conjugating enzyme E2 M [Source:HGNC Symbol;Acc:HGNC:12491]	774	0.2463659644126892	0.041436937	No	
row_4	CUL7	cullin 7 [Source:HGNC Symbol;Acc:HGNC:21024]	1891	0.1698911339044571	-0.006936579	No	
row_5	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	1930	0.16841386258602142	0.0040444927	No	
row_6	AIRE	autoimmune regulator [Source:HGNC Symbol;Acc:HGNC:360]	2461	0.1459008902311325	-0.013864407	No	
row_7	CDC16	cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]	2489	0.14458772540092468	-0.0041266135	No	
row_8	FBXO2	F-box protein 2 [Source:HGNC Symbol;Acc:HGNC:13581]	2618	0.13982127606868744	-3.3073456E-4	No	
row_9	UBE2Q1	ubiquitin conjugating enzyme E2 Q1 [Source:HGNC Symbol;Acc:HGNC:15698]	2650	0.13864441215991974	0.008724893	No	
row_10	CDC26	cell division cycle 26 [Source:HGNC Symbol;Acc:HGNC:17839]	2983	0.12694203853607178	2.6676495E-4	No	
row_11	UBA7	ubiquitin like modifier activating enzyme 7 [Source:HGNC Symbol;Acc:HGNC:12471]	3020	0.1256420761346817	0.008036926	No	
row_12	UBE2D4	ubiquitin conjugating enzyme E2 D4 (putative) [Source:HGNC Symbol;Acc:HGNC:21647]	3056	0.12468825280666351	0.015788188	No	
row_13	NHLRC1	NHL repeat containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21576]	3106	0.12349046021699905	0.022674114	No	
row_14	FZR1	fizzy and cell division cycle 20 related 1 [Source:HGNC Symbol;Acc:HGNC:24824]	3152	0.1221216470003128	0.029674415	No	
row_15	UBE2J2	ubiquitin conjugating enzyme E2 J2 [Source:HGNC Symbol;Acc:HGNC:19268]	3255	0.11946769803762436	0.033324156	No	
row_16	UBE2F	ubiquitin conjugating enzyme E2 F (putative) [Source:HGNC Symbol;Acc:HGNC:12480]	3459	0.11401642858982086	0.030978804	No	
row_17	ANAPC13	anaphase promoting complex subunit 13 [Source:HGNC Symbol;Acc:HGNC:24540]	3817	0.104390449821949	0.01939038	No	
row_18	DDB2	damage specific DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2718]	4363	0.09036051481962204	-0.0036587438	No	
row_19	CBLC	Cbl proto-oncogene C [Source:HGNC Symbol;Acc:HGNC:15961]	4824	0.07995934784412384	-0.022826383	No	
row_20	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	4873	0.07890759408473969	-0.019347167	No	
row_21	PPIL2	peptidylprolyl isomerase like 2 [Source:HGNC Symbol;Acc:HGNC:9261]	4978	0.07617875188589096	-0.01916916	No	
row_22	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	5546	0.06358140707015991	-0.04551135	No	
row_23	UBE4A	ubiquitination factor E4A [Source:HGNC Symbol;Acc:HGNC:12499]	5815	0.05728362128138542	-0.05584783	No	
row_24	SAE1	SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]	5869	0.05611288920044899	-0.054414462	No	
row_25	FBXW8	F-box and WD repeat domain containing 8 [Source:HGNC Symbol;Acc:HGNC:13597]	5896	0.0555424839258194	-0.051535893	No	
row_26	ANAPC7	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	6038	0.05274086445569992	-0.055219002	No	
row_27	UBE2O	ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]	6078	0.051706522703170776	-0.05335546	No	
row_28	CDC20	cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]	6204	0.04872778430581093	-0.056467522	No	
row_29	NEDD4L	NEDD4 like E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:7728]	6290	0.04710312560200691	-0.057499085	No	
row_30	MGRN1	mahogunin ring finger 1 [Source:HGNC Symbol;Acc:HGNC:20254]	6373	0.04540961608290672	-0.058496654	No	
row_31	UBE2G2	ubiquitin conjugating enzyme E2 G2 [Source:HGNC Symbol;Acc:HGNC:12483]	6613	0.04011557996273041	-0.06856642	No	
row_32	KEAP1	kelch like ECH associated protein 1 [Source:HGNC Symbol;Acc:HGNC:23177]	6668	0.039049677550792694	-0.06851318	No	
row_33	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	6781	0.036902643740177155	-0.0718263	No	
row_34	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	6881	0.034877028316259384	-0.07457956	No	
row_35	ERCC8	ERCC excision repair 8, CSA ubiquitin ligase complex subunit [Source:HGNC Symbol;Acc:HGNC:3439]	6917	0.03431935980916023	-0.07384547	No	
row_36	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	7498	0.022707000374794006	-0.10407873	No	
row_37	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:HGNC Symbol;Acc:HGNC:12490]	7897	0.014856502413749695	-0.12488132	No	
row_38	ANAPC11	anaphase promoting complex subunit 11 [Source:HGNC Symbol;Acc:HGNC:14452]	8111	0.01060241088271141	-0.13580847	No	
row_39	CUL4A	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	8118	0.010248115286231041	-0.13534369	No	
row_40	UBE3B	ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:HGNC:13478]	8174	0.009277216158807278	-0.13765746	No	
row_41	HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	8253	0.007772873155772686	-0.14135687	No	
row_42	UBE2Z	ubiquitin conjugating enzyme E2 Z [Source:HGNC Symbol;Acc:HGNC:25847]	8287	0.0070926290936768055	-0.14262661	No	
row_43	UBE2Q2	ubiquitin conjugating enzyme E2 Q2 [Source:HGNC Symbol;Acc:HGNC:19248]	8471	0.003860403085127473	-0.1524223	No	
row_44	CUL2	cullin 2 [Source:HGNC Symbol;Acc:HGNC:2552]	8554	0.0019462304189801216	-0.1567948	No	
row_45	UBE2U	ubiquitin conjugating enzyme E2 U [Source:HGNC Symbol;Acc:HGNC:28559]	8591	0.00111398717854172	-0.15869428	No	
row_46	DET1	DET1 partner of COP1 E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:25477]	8630	4.916305188089609E-4	-0.16075243	No	
row_47	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	8843	0.0	-0.1724477	No	
row_48	TRIM32	tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380]	8980	0.0	-0.17995031	No	
row_49	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	9074	0.0	-0.18508078	No	
row_50	STUB1	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]	9145	0.0	-0.18894242	No	
row_51	ANAPC2	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	10007	-0.002570221433416009	-0.23624106	No	
row_52	UBOX5	U-box domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17777]	10074	-0.00385749782435596	-0.2395825	No	
row_53	HERC2	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	10137	-0.004910760093480349	-0.24262148	No	
row_54	SIAH1	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:10857]	10405	-0.010674737393856049	-0.256522	No	
row_55	ANAPC5	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	10530	-0.013205442577600479	-0.2623372	No	
row_56	RHOBTB2	Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]	10690	-0.01628408208489418	-0.2698442	No	
row_57	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]	10693	-0.016325104981660843	-0.2686869	No	
row_58	ANAPC1	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	10998	-0.022806355729699135	-0.28368652	No	
row_59	SKP1	S-phase kinase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:10899]	11027	-0.023400595411658287	-0.28341413	No	
row_60	UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	11199	-0.02662593498826027	-0.29078004	No	
row_61	RBX1	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	11324	-0.028963055461645126	-0.29537168	No	
row_62	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	11528	-0.03314979746937752	-0.30399635	No	
