NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAB6C	RAB6C, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16525]	377	0.29938244819641113	-0.0029501421	No	
row_1	RILP	Rab interacting lysosomal protein [Source:HGNC Symbol;Acc:HGNC:30266]	1186	0.21079973876476288	-0.03500741	No	
row_2	MAGEL2	MAGE family member L2 [Source:HGNC Symbol;Acc:HGNC:6814]	1498	0.191163569688797	-0.040774424	No	
row_3	BECN1	beclin 1 [Source:HGNC Symbol;Acc:HGNC:1034]	1622	0.18373747169971466	-0.036596537	No	
row_4	PLEKHJ1	pleckstrin homology domain containing J1 [Source:HGNC Symbol;Acc:HGNC:18211]	1652	0.1817699819803238	-0.027341938	No	
row_5	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	1880	0.17021891474723816	-0.029718319	No	
row_6	AP4M1	adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]	2150	0.15913328528404236	-0.03507767	No	
row_7	SYT4	synaptotagmin 4 [Source:HGNC Symbol;Acc:HGNC:11512]	2271	0.1536802500486374	-0.03252932	No	
row_8	KIF1A	kinesin family member 1A [Source:HGNC Symbol;Acc:HGNC:888]	2500	0.14421679079532623	-0.03651406	No	
row_9	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	2615	0.1400066316127777	-0.034450885	No	
row_10	KIF1C	kinesin family member 1C [Source:HGNC Symbol;Acc:HGNC:6317]	2720	0.13576845824718475	-0.032088276	No	
row_11	VPS52	VPS52 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:10518]	2824	0.1325872540473938	-0.029860424	No	
row_12	CORO1A	coronin 1A [Source:HGNC Symbol;Acc:HGNC:2252]	2856	0.13160885870456696	-0.02371245	No	
row_13	TBC1D17	TBC1 domain family member 17 [Source:HGNC Symbol;Acc:HGNC:25699]	3019	0.12568488717079163	-0.025157083	No	
row_14	PHETA2	PH domain containing endocytic trafficking adaptor 2 [Source:HGNC Symbol;Acc:HGNC:27161]	3102	0.12360024452209473	-0.022305608	No	
row_15	RAB6B	RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]	3201	0.1208573654294014	-0.02050209	No	
row_16	DCTN1	dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]	3349	0.11673136800527573	-0.021652646	No	
row_17	KIF5A	kinesin family member 5A [Source:HGNC Symbol;Acc:HGNC:6323]	3506	0.11276606470346451	-0.023537371	No	
row_18	CLN3	CLN3 lysosomal/endosomal transmembrane protein, battenin [Source:HGNC Symbol;Acc:HGNC:2074]	3765	0.10559070855379105	-0.03148697	No	
row_19	RGP1	RGP1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:21965]	3968	0.10022993385791779	-0.036662333	No	
row_20	VPS51	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	3986	0.09972651302814484	-0.031645074	No	
row_21	SYT7	synaptotagmin 7 [Source:HGNC Symbol;Acc:HGNC:11514]	4499	0.08694813400506973	-0.054743666	No	
row_22	BAIAP3	BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]	4531	0.086175337433815	-0.051309425	No	
row_23	SYS1	SYS1 golgi trafficking protein [Source:HGNC Symbol;Acc:HGNC:16162]	4629	0.0843343660235405	-0.05163216	No	
row_24	HOOK2	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	4691	0.08296404033899307	-0.05004746	No	
row_25	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	4710	0.08254996687173843	-0.046111412	No	
row_26	RNF126	ring finger protein 126 [Source:HGNC Symbol;Acc:HGNC:21151]	5082	0.07385003566741943	-0.062201004	No	
row_27	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	5144	0.07262516766786575	-0.061233845	No	
row_28	DENND2A	DENN domain containing 2A [Source:HGNC Symbol;Acc:HGNC:22212]	5187	0.0714794248342514	-0.059285223	No	
row_29	TBC1D14	TBC1 domain family member 14 [Source:HGNC Symbol;Acc:HGNC:29246]	5873	0.055996451526880264	-0.09379215	No	
row_30	WDR81	WD repeat domain 81 [Source:HGNC Symbol;Acc:HGNC:26600]	6017	0.05323530733585358	-0.098514274	No	
row_31	UBE2O	ubiquitin conjugating enzyme E2 O [Source:HGNC Symbol;Acc:HGNC:29554]	6078	0.051706522703170776	-0.09874132	No	
row_32	BET1L	Bet1 golgi vesicular membrane trafficking protein like [Source:HGNC Symbol;Acc:HGNC:19348]	6104	0.051139142364263535	-0.09706824	No	
row_33	GAK	cyclin G associated kinase [Source:HGNC Symbol;Acc:HGNC:4113]	6270	0.04746696725487709	-0.10335058	No	
row_34	CLN5	CLN5 intracellular trafficking protein [Source:HGNC Symbol;Acc:HGNC:2076]	6286	0.047184452414512634	-0.10136113	No	
row_35	SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	6330	0.04623110219836235	-0.10097585	No	
row_36	SGSM2	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]	6415	0.0446651317179203	-0.102949664	No	
row_37	LAPTM5	lysosomal protein transmembrane 5 [Source:HGNC Symbol;Acc:HGNC:29612]	6472	0.04341201111674309	-0.10345111	No	
row_38	PHETA1	PH domain containing endocytic trafficking adaptor 1 [Source:HGNC Symbol;Acc:HGNC:26509]	6669	0.039040371775627136	-0.111949764	No	
row_39	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	6740	0.03752635419368744	-0.11357637	No	
row_40	TBC1D10B	TBC1 domain family member 10B [Source:HGNC Symbol;Acc:HGNC:24510]	6911	0.034374311566352844	-0.12091702	No	
row_41	AP2A1	adaptor related protein complex 2 subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:561]	7089	0.030934683978557587	-0.12884992	No	
row_42	ANKRD27	ankyrin repeat domain 27 [Source:HGNC Symbol;Acc:HGNC:25310]	7295	0.026870770379900932	-0.13857278	No	
row_43	TRAPPC10	trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:HGNC:11868]	7406	0.024560539051890373	-0.14318414	No	
row_44	EIPR1	EARP complex and GARP complex interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:12383]	7752	0.01774527132511139	-0.16118816	No	
row_45	PTPN23	protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406]	7764	0.017407437786459923	-0.16075625	No	
row_46	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17842]	7782	0.01698163151741028	-0.16068132	No	
row_47	RHOBTB3	Rho related BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:18757]	8063	0.011454506777226925	-0.17546932	No	
row_48	WASHC2C	WASH complex subunit 2C [Source:HGNC Symbol;Acc:HGNC:23414]	8225	0.008342863991856575	-0.18386751	No	
row_49	ARFRP1	ADP ribosylation factor related protein 1 [Source:HGNC Symbol;Acc:HGNC:662]	8332	0.006222628057003021	-0.18935315	No	
row_50	SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	8968	0.0	-0.22444184	No	
row_51	TRIM46	tripartite motif containing 46 [Source:HGNC Symbol;Acc:HGNC:19019]	8974	0.0	-0.22471814	No	
row_52	GOSR2	golgi SNAP receptor complex member 2 [Source:HGNC Symbol;Acc:HGNC:4431]	9384	0.0	-0.24731857	No	
row_53	TBC1D10C	TBC1 domain family member 10C [Source:HGNC Symbol;Acc:HGNC:24702]	9742	0.0	-0.2670456	No	
row_54	TBC1D5	TBC1 domain family member 5 [Source:HGNC Symbol;Acc:HGNC:19166]	9992	-0.0023758853785693645	-0.28066286	No	
row_55	SNX1	sorting nexin 1 [Source:HGNC Symbol;Acc:HGNC:11172]	10167	-0.005482531618326902	-0.28995025	No	
row_56	SNF8	SNF8 subunit of ESCRT-II [Source:HGNC Symbol;Acc:HGNC:17028]	10221	-0.006563231814652681	-0.2924869	No	
row_57	WDR91	WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]	10497	-0.01270525436848402	-0.3069239	No	
row_58	RIC1	RIC1 homolog, RAB6A GEF complex partner 1 [Source:HGNC Symbol;Acc:HGNC:17686]	10624	-0.015014993958175182	-0.31298953	No	
row_59	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	10932	-0.02164163812994957	-0.32866102	No	
row_60	SORT1	sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]	11068	-0.024041978642344475	-0.33468482	No	
row_61	STX8	syntaxin 8 [Source:HGNC Symbol;Acc:HGNC:11443]	11121	-0.024915438145399094	-0.33607003	No	
row_62	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	11202	-0.026678133755922318	-0.33889717	No	
row_63	USP7	ubiquitin specific peptidase 7 [Source:HGNC Symbol;Acc:HGNC:12630]	11206	-0.02676641196012497	-0.33746418	No	
row_64	VTI1B	vesicle transport through interaction with t-SNAREs 1B [Source:HGNC Symbol;Acc:HGNC:17793]	11211	-0.026800649240612984	-0.33608443	No	
row_65	VTI1A	vesicle transport through interaction with t-SNAREs 1A [Source:HGNC Symbol;Acc:HGNC:17792]	11229	-0.027154793962836266	-0.33540186	No	
row_66	WASHC1	WASH complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:24361]	11244	-0.027412796393036842	-0.3345381	No	
row_67	KIF16B	kinesin family member 16B [Source:HGNC Symbol;Acc:HGNC:15869]	11328	-0.029047781601548195	-0.33738947	No	
