NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	70	0.43188416957855225	0.065182306	Yes	
row_1	PLA2G2D	phospholipase A2 group IID [Source:HGNC Symbol;Acc:HGNC:9033]	74	0.429013192653656	0.13358806	Yes	
row_2	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	887	0.23335589468479156	0.12625848	Yes	
row_3	ALOX15B	arachidonate 15-lipoxygenase type B [Source:HGNC Symbol;Acc:HGNC:434]	977	0.22520335018634796	0.15736204	Yes	
row_4	GGT1	gamma-glutamyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4250]	1009	0.22272160649299622	0.19125663	Yes	
row_5	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	1123	0.2149863839149475	0.21940814	Yes	
row_6	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1247	0.20633995532989502	0.24562806	Yes	
row_7	JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough [Source:HGNC Symbol;Acc:HGNC:34449]	1293	0.20322228968143463	0.27563655	Yes	
row_8	CYP4A22	cytochrome P450 family 4 subfamily A member 22 [Source:HGNC Symbol;Acc:HGNC:20575]	1468	0.19290393590927124	0.296906	Yes	
row_9	PLA2G2F	phospholipase A2 group IIF [Source:HGNC Symbol;Acc:HGNC:30040]	1678	0.18052299320697784	0.3142729	Yes	
row_10	PLA2G5	phospholipase A2 group V [Source:HGNC Symbol;Acc:HGNC:9038]	1704	0.17901138961315155	0.34151092	Yes	
row_11	PTGS1	prostaglandin-endoperoxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:9604]	1868	0.17065182328224182	0.35982826	Yes	
row_12	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	1882	0.17015738785266876	0.38631064	Yes	
row_13	PTGES2	prostaglandin E synthase 2 [Source:HGNC Symbol;Acc:HGNC:17822]	1955	0.16728587448596954	0.40909135	Yes	
row_14	GGT7	gamma-glutamyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4259]	2116	0.1602662056684494	0.42591363	Yes	
row_15	PLA2G4E	phospholipase A2 group IVE [Source:HGNC Symbol;Acc:HGNC:24791]	2405	0.1480681300163269	0.43375134	Yes	
row_16	GGT6	gamma-glutamyltransferase 6 [Source:HGNC Symbol;Acc:HGNC:26891]	2804	0.13332459330558777	0.43318692	Yes	
