NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NPPC	natriuretic peptide C [Source:HGNC Symbol;Acc:HGNC:7941]	19	0.535433828830719	0.07644203	Yes	
row_1	NPR2	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	169	0.36254432797431946	0.12072087	Yes	
row_2	NPPA	natriuretic peptide A [Source:HGNC Symbol;Acc:HGNC:7939]	188	0.35202673077583313	0.17067584	Yes	
row_3	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	385	0.29757729172706604	0.20297033	Yes	
row_4	AGT	angiotensinogen [Source:HGNC Symbol;Acc:HGNC:333]	462	0.2865358889102936	0.2402607	Yes	
row_5	FXYD4	FXYD domain containing ion transport regulator 4 [Source:HGNC Symbol;Acc:HGNC:4028]	505	0.27943161129951477	0.2783912	Yes	
row_6	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	804	0.24185049533843994	0.2970164	Yes	
row_7	FXYD3	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]	952	0.22739017009735107	0.32184613	Yes	
row_8	FXYD1	FXYD domain containing ion transport regulator 1 [Source:HGNC Symbol;Acc:HGNC:4025]	1246	0.2064128965139389	0.33561766	Yes	
row_9	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1336	0.2002108097076416	0.35970107	Yes	
row_10	SLC8A3	solute carrier family 8 member A3 [Source:HGNC Symbol;Acc:HGNC:11070]	1657	0.18160663545131683	0.36839914	Yes	
row_11	ATP1A3	ATPase Na+/K+ transporting subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:801]	1848	0.17130926251411438	0.38275027	Yes	
row_12	ITPR3	inositol 1,4,5-trisphosphate receptor type 3 [Source:HGNC Symbol;Acc:HGNC:6182]	1896	0.16969048976898193	0.4047247	Yes	
row_13	FXYD6	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	2177	0.15769626200199127	0.41216046	Yes	
row_14	ATP2A1	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:811]	2225	0.15554803609848022	0.43208826	Yes	
row_15	GJA5	gap junction protein alpha 5 [Source:HGNC Symbol;Acc:HGNC:4279]	2441	0.146573007106781	0.44148594	Yes	
row_16	ATP2B2	ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]	2687	0.13692457973957062	0.44783887	Yes	
row_17	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	3415	0.114992655813694	0.42453295	No	
row_18	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	3882	0.1026478260755539	0.41378197	No	
row_19	SLC8A2	solute carrier family 8 member A2 [Source:HGNC Symbol;Acc:HGNC:11069]	3905	0.1021074503660202	0.42734975	No	
row_20	ATP1A4	ATPase Na+/K+ transporting subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:14073]	4564	0.08547000586986542	0.4035628	No	
row_21	EHD3	EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]	4710	0.08254996687173843	0.40754166	No	
row_22	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	4874	0.07888378202915192	0.41000092	No	
row_23	NOS1	nitric oxide synthase 1 [Source:HGNC Symbol;Acc:HGNC:7872]	5151	0.07244803756475449	0.40531966	No	
row_24	ATP1B2	ATPase Na+/K+ transporting subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:805]	5164	0.07212306559085846	0.41509768	No	
row_25	ATP2B4	ATPase plasma membrane Ca2+ transporting 4 [Source:HGNC Symbol;Acc:HGNC:817]	5617	0.06205363571643829	0.39924133	No	
row_26	RYR3	ryanodine receptor 3 [Source:HGNC Symbol;Acc:HGNC:10485]	5996	0.05364064872264862	0.38623363	No	
row_27	FXYD7	FXYD domain containing ion transport regulator 7 [Source:HGNC Symbol;Acc:HGNC:4034]	6454	0.043834079056978226	0.36746585	No	
row_28	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	6554	0.04147828742861748	0.36802858	No	
row_29	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3 [Source:HGNC Symbol;Acc:HGNC:813]	6574	0.04100632667541504	0.37291887	No	
row_30	TNNI3K	TNNI3 interacting kinase [Source:HGNC Symbol;Acc:HGNC:19661]	6661	0.03921720013022423	0.3738687	No	
row_31	CASQ1	calsequestrin 1 [Source:HGNC Symbol;Acc:HGNC:1512]	6748	0.037438325583934784	0.3745611	No	
row_32	CASQ2	calsequestrin 2 [Source:HGNC Symbol;Acc:HGNC:1513]	6825	0.03589416295289993	0.37557954	No	
row_33	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	7262	0.027502374723553658	0.3556022	No	
row_34	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	7693	0.018815968185663223	0.3346975	No	
row_35	KCNJ11	potassium inwardly rectifying channel subfamily J member 11 [Source:HGNC Symbol;Acc:HGNC:6257]	7930	0.014141770079731941	0.3237763	No	
row_36	FXYD2	FXYD domain containing ion transport regulator 2 [Source:HGNC Symbol;Acc:HGNC:4026]	7949	0.013754567131400108	0.32477775	No	
row_37	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	10465	-0.01192705798894167	0.18830939	No	
row_38	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	12114	-0.045624662190675735	0.1043576	No	
row_39	ABCC9	ATP binding cassette subfamily C member 9 [Source:HGNC Symbol;Acc:HGNC:60]	12693	-0.057319119572639465	0.08089262	No	
row_40	CORIN	corin, serine peptidase [Source:HGNC Symbol;Acc:HGNC:19012]	12749	-0.058411162346601486	0.08632353	No	
row_41	PRKACA	protein kinase cAMP-activated catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9380]	12861	-0.061499979346990585	0.08912435	No	
row_42	STIM1	stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]	12931	-0.06311099231243134	0.09446613	No	
row_43	ATP1B3	ATPase Na+/K+ transporting subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:806]	13340	-0.07290906459093094	0.08259845	No	
row_44	ANK2	ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493]	13462	-0.0758148655295372	0.08692139	No	
row_45	TRPC1	transient receptor potential cation channel subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:12333]	13586	-0.07872976362705231	0.09155626	No	
row_46	ITPR2	inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]	13732	-0.08237631618976593	0.09550998	No	
row_47	TRDN	triadin [Source:HGNC Symbol;Acc:HGNC:12261]	14257	-0.09560643881559372	0.08055301	No	
row_48	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	15179	-0.1213676705956459	0.047509722	No	
row_49	TMEM65	transmembrane protein 65 [Source:HGNC Symbol;Acc:HGNC:25203]	15230	-0.12297005951404572	0.0625581	No	
row_50	ATP1B1	ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]	15531	-0.13186703622341156	0.065156996	No	
row_51	ATP2B1	ATPase plasma membrane Ca2+ transporting 1 [Source:HGNC Symbol;Acc:HGNC:814]	16165	-0.15487898886203766	0.05278839	No	
row_52	AHCYL1	adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]	16469	-0.1679440140724182	0.06044337	No	
row_53	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	17727	-0.25894707441329956	0.028847525	No	
