NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EGR1	early growth response 1 [Source:HGNC Symbol;Acc:HGNC:3238]	263	0.3254311978816986	0.029049933	No	
row_1	AAAS	aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]	1448	0.19388924539089203	-0.010159203	No	
row_2	NUP210	nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]	1733	0.17729923129081726	-0.0020737418	No	
row_3	PIAS3	protein inhibitor of activated STAT 3 [Source:HGNC Symbol;Acc:HGNC:16861]	1930	0.16841386258602142	0.009664793	No	
row_4	RNF212	ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]	2316	0.15183056890964508	0.008787945	No	
row_5	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	3259	0.11943057924509048	-0.027064757	No	
row_6	HMG20B	high mobility group 20B [Source:HGNC Symbol;Acc:HGNC:5002]	3343	0.11690651625394821	-0.015997473	No	
row_7	TRPM4	transient receptor potential cation channel subfamily M member 4 [Source:HGNC Symbol;Acc:HGNC:17993]	3415	0.114992655813694	-0.0045259455	No	
row_8	ZMIZ1	zinc finger MIZ-type containing 1 [Source:HGNC Symbol;Acc:HGNC:16493]	3525	0.11211762577295303	0.0044705593	No	
row_9	POM121C	POM121 transmembrane nucleoporin C [Source:HGNC Symbol;Acc:HGNC:34005]	4340	0.09081671386957169	-0.02816671	No	
row_10	PIAS4	protein inhibitor of activated STAT 4 [Source:HGNC Symbol;Acc:HGNC:17002]	4873	0.07890759408473969	-0.046882432	No	
row_11	CBX4	chromobox 4 [Source:HGNC Symbol;Acc:HGNC:1554]	4923	0.0775410607457161	-0.03920885	No	
row_12	TOLLIP	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	5413	0.06673433631658554	-0.057186835	No	
row_13	CAPN3	calpain 3 [Source:HGNC Symbol;Acc:HGNC:1480]	5449	0.06591108441352844	-0.05029829	No	
row_14	UBE2I	ubiquitin conjugating enzyme E2 I [Source:HGNC Symbol;Acc:HGNC:12485]	5546	0.06358140707015991	-0.04707717	No	
row_15	NUP43	nucleoporin 43 [Source:HGNC Symbol;Acc:HGNC:21182]	5577	0.06298936158418655	-0.040304262	No	
row_16	SAE1	SUMO1 activating enzyme subunit 1 [Source:HGNC Symbol;Acc:HGNC:30660]	5869	0.05611288920044899	-0.048809726	No	
row_17	RASD2	RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]	6234	0.04817558452486992	-0.06239268	No	
row_18	RANGAP1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	6575	0.040961042046546936	-0.07562006	No	
row_19	RNF212B	ring finger protein 212B [Source:HGNC Symbol;Acc:HGNC:20438]	6839	0.0357007160782814	-0.085314766	No	
row_20	NUP88	nucleoporin 88 [Source:HGNC Symbol;Acc:HGNC:8067]	6865	0.03508642688393593	-0.08199815	No	
row_21	FSCB	fibrous sheath CABYR binding protein [Source:HGNC Symbol;Acc:HGNC:20494]	7631	0.02014528587460518	-0.12139034	No	
row_22	NUP93	nucleoporin 93 [Source:HGNC Symbol;Acc:HGNC:28958]	7818	0.01625957526266575	-0.12944871	No	
row_23	NUP188	nucleoporin 188 [Source:HGNC Symbol;Acc:HGNC:17859]	8050	0.011611235328018665	-0.14060435	No	
row_24	SUMO2	small ubiquitin like modifier 2 [Source:HGNC Symbol;Acc:HGNC:11125]	8127	0.010131782852113247	-0.14343058	No	
row_25	RWDD3	RWD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21393]	9284	0.0	-0.20702742	No	
row_26	SUMO4	small ubiquitin like modifier 4 [Source:HGNC Symbol;Acc:HGNC:21181]	9631	0.0	-0.22606248	No	
row_27	NUP62	nucleoporin 62 [Source:HGNC Symbol;Acc:HGNC:8066]	9799	0.0	-0.2352499	No	
row_28	NDC1	NDC1 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:25525]	9944	-0.0015423864824697375	-0.24296574	No	
row_29	SUMO3	small ubiquitin like modifier 3 [Source:HGNC Symbol;Acc:HGNC:11124]	10082	-0.0038988736923784018	-0.24998136	No	
row_30	EGR2	early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]	10165	-0.005472716875374317	-0.2537607	No	
