NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5 [Source:HGNC Symbol;Acc:HGNC:1409]	293	0.3209478557109833	0.017244121	Yes	
row_1	PRKACG	protein kinase cAMP-activated catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:9382]	564	0.2718237638473511	0.030646333	Yes	
row_2	MYL2	myosin light chain 2 [Source:HGNC Symbol;Acc:HGNC:7583]	706	0.2535440921783447	0.049248606	Yes	
row_3	CACNG3	calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]	796	0.24284148216247559	0.06960035	Yes	
row_4	MYH7	myosin heavy chain 7 [Source:HGNC Symbol;Acc:HGNC:7577]	844	0.23791775107383728	0.09175201	Yes	
row_5	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	864	0.23557068407535553	0.11520087	Yes	
row_6	ACTC1	actin alpha cardiac muscle 1 [Source:HGNC Symbol;Acc:HGNC:143]	878	0.2340671569108963	0.13882367	Yes	
row_7	CACNG4	calcium voltage-gated channel auxiliary subunit gamma 4 [Source:HGNC Symbol;Acc:HGNC:1408]	983	0.22446653246879578	0.15643911	Yes	
row_8	CACNG1	calcium voltage-gated channel auxiliary subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:1405]	1313	0.2016354501247406	0.15929547	Yes	
row_9	CACNA1S	calcium voltage-gated channel subunit alpha1 S [Source:HGNC Symbol;Acc:HGNC:1397]	1342	0.19983652234077454	0.17853329	Yes	
row_10	TPM2	tropomyosin 2 [Source:HGNC Symbol;Acc:HGNC:12011]	1595	0.18512587249279022	0.18391143	Yes	
row_11	CACNA2D2	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	1706	0.1788666695356369	0.1964551	Yes	
row_12	SGCA	sarcoglycan alpha [Source:HGNC Symbol;Acc:HGNC:10805]	1735	0.17716436088085175	0.21333545	Yes	
row_13	TNNT2	troponin T2, cardiac type [Source:HGNC Symbol;Acc:HGNC:11949]	1787	0.17440423369407654	0.22866277	Yes	
row_14	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	1814	0.17272666096687317	0.24519178	Yes	
row_15	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	1828	0.17198531329631805	0.2623593	Yes	
row_16	TNNC1	troponin C1, slow skeletal and cardiac type [Source:HGNC Symbol;Acc:HGNC:11943]	1857	0.17098785936832428	0.2785974	Yes	
row_17	CACNG2	calcium voltage-gated channel auxiliary subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:1406]	1899	0.16954277455806732	0.2939697	Yes	
row_18	CACNA2D3	calcium voltage-gated channel auxiliary subunit alpha2delta 3 [Source:HGNC Symbol;Acc:HGNC:15460]	2063	0.1619216799736023	0.30183405	Yes	
row_19	CACNB1	calcium voltage-gated channel auxiliary subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:1401]	2065	0.16183626651763916	0.3186068	Yes	
row_20	ITGA2B	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	2081	0.16150206327438354	0.33457413	Yes	
row_21	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	2264	0.15385892987251282	0.3405543	Yes	
row_22	MYH6	myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]	2308	0.15215027332305908	0.354008	Yes	
row_23	ITGA11	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	2345	0.15043103694915771	0.36766824	Yes	
row_24	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	2346	0.15035302937030792	0.383302	Yes	
row_25	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	2459	0.14594264328479767	0.39231214	Yes	
row_26	ADCY8	adenylate cyclase 8 [Source:HGNC Symbol;Acc:HGNC:239]	2822	0.1326533854007721	0.38617924	Yes	
row_27	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:1402]	2990	0.1267322450876236	0.3901644	Yes	
row_28	DAG1	dystroglycan 1 [Source:HGNC Symbol;Acc:HGNC:2666]	3042	0.12494150549173355	0.40034857	Yes	
row_29	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7 [Source:HGNC Symbol;Acc:HGNC:13626]	3359	0.11639633774757385	0.39505735	Yes	
row_30	CACNG6	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:HGNC Symbol;Acc:HGNC:13625]	3558	0.11122442036867142	0.3957236	Yes	
row_31	LMNA	lamin A/C [Source:HGNC Symbol;Acc:HGNC:6636]	3686	0.10789206624031067	0.39995158	Yes	
row_32	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	3776	0.1052936464548111	0.40600103	Yes	
row_33	CACNA1D	calcium voltage-gated channel subunit alpha1 D [Source:HGNC Symbol;Acc:HGNC:1391]	3788	0.10505907982587814	0.4163196	Yes	
row_34	RYR2	ryanodine receptor 2 [Source:HGNC Symbol;Acc:HGNC:10484]	3882	0.1026478260755539	0.4218738	Yes	
row_35	ADCY5	adenylate cyclase 5 [Source:HGNC Symbol;Acc:HGNC:236]	4002	0.09930766373872757	0.42564952	Yes	
row_36	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4 [Source:HGNC Symbol;Acc:HGNC:20202]	4093	0.09673038125038147	0.43075353	Yes	
row_37	ITGA10	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	4196	0.09407074004411697	0.43492046	Yes	
row_38	ADCY7	adenylate cyclase 7 [Source:HGNC Symbol;Acc:HGNC:238]	4759	0.08155599236488342	0.41246545	No	
row_39	CACNG8	calcium voltage-gated channel auxiliary subunit gamma 8 [Source:HGNC Symbol;Acc:HGNC:13628]	4866	0.07908132672309875	0.4148536	No	
row_40	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	5045	0.07465022802352905	0.41281778	No	
row_41	TPM1	tropomyosin 1 [Source:HGNC Symbol;Acc:HGNC:12010]	5059	0.0742928683757782	0.4198272	No	
row_42	ITGA6	integrin subunit alpha 6 [Source:HGNC Symbol;Acc:HGNC:6142]	5179	0.07166310399770737	0.42072842	No	
row_43	TPM4	tropomyosin 4 [Source:HGNC Symbol;Acc:HGNC:12013]	5475	0.0653003379702568	0.41128013	No	
