NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLPS	colipase [Source:HGNC Symbol;Acc:HGNC:2085]	205	0.44225573539733887	0.012633788	Yes	
row_1	GUCA2B	guanylate cyclase activator 2B [Source:HGNC Symbol;Acc:HGNC:4683]	229	0.4333342909812927	0.034828648	Yes	
row_2	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	292	0.4129776656627655	0.053768918	Yes	
row_3	SOX9	SRY-box transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:11204]	378	0.3900109529495239	0.07019627	Yes	
row_4	ALPI	alkaline phosphatase, intestinal [Source:HGNC Symbol;Acc:HGNC:437]	457	0.3706642985343933	0.08596236	Yes	
row_5	TAC1	tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]	592	0.3497793674468994	0.09750706	Yes	
row_6	AMY2A	amylase alpha 2A [Source:HGNC Symbol;Acc:HGNC:477]	759	0.3250713646411896	0.105947874	Yes	
row_7	SLC26A6	solute carrier family 26 member 6 [Source:HGNC Symbol;Acc:HGNC:14472]	790	0.3211001753807068	0.121679164	Yes	
row_8	FABP1	fatty acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:3555]	815	0.3176838755607605	0.1375566	Yes	
row_9	CRH	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]	924	0.30306702852249146	0.14800681	Yes	
row_10	CLPSL2	colipase like 2 [Source:HGNC Symbol;Acc:HGNC:21250]	933	0.30222514271736145	0.16393018	Yes	
row_11	NEUROG1	neurogenin 1 [Source:HGNC Symbol;Acc:HGNC:7764]	1003	0.29461705684661865	0.17607516	Yes	
row_12	MUC2	mucin 2, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7512]	1023	0.29278552532196045	0.19088033	Yes	
row_13	CTRB2	chymotrypsinogen B2 [Source:HGNC Symbol;Acc:HGNC:2522]	1103	0.2858301103115082	0.20199764	Yes	
row_14	HRH2	histamine receptor H2 [Source:HGNC Symbol;Acc:HGNC:5183]	1234	0.2732277810573578	0.20961797	Yes	
row_15	PGC	progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]	1244	0.2724316418170929	0.2238729	Yes	
row_16	PRSS1	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]	1328	0.2657853662967682	0.23368406	Yes	
row_17	IL17A	interleukin 17A [Source:HGNC Symbol;Acc:HGNC:5981]	1363	0.26302841305732727	0.24605015	Yes	
row_18	CAPN8	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	1395	0.26021137833595276	0.25842926	Yes	
row_19	GUCA2A	guanylate cyclase activator 2A [Source:HGNC Symbol;Acc:HGNC:4682]	1422	0.25844380259513855	0.27098858	Yes	
row_20	INAVA	innate immunity activator [Source:HGNC Symbol;Acc:HGNC:25599]	1482	0.2545369863510132	0.28151518	Yes	
row_21	SERPINA3	serpin family A member 3 [Source:HGNC Symbol;Acc:HGNC:16]	1492	0.253966361284256	0.29477024	Yes	
row_22	CCK	cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]	1542	0.2506362795829773	0.3056375	Yes	
row_23	CHIA	chitinase acidic [Source:HGNC Symbol;Acc:HGNC:17432]	1637	0.24454091489315033	0.31369126	Yes	
row_24	DRD3	dopamine receptor D3 [Source:HGNC Symbol;Acc:HGNC:3024]	1662	0.24291133880615234	0.32551992	Yes	
row_25	WNK4	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]	1867	0.2276182472705841	0.3265867	Yes	
row_26	GHRL	ghrelin and obestatin prepropeptide [Source:HGNC Symbol;Acc:HGNC:18129]	2152	0.21087969839572906	0.3223321	Yes	
row_27	AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	2494	0.1930330991744995	0.3139655	Yes	
row_28	CCKBR	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]	2506	0.19255706667900085	0.323785	Yes	
row_29	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	2649	0.18472795188426971	0.325951	Yes	
row_30	SCT	secretin [Source:HGNC Symbol;Acc:HGNC:10607]	2675	0.18359375	0.33451253	Yes	
row_31	EZR	ezrin [Source:HGNC Symbol;Acc:HGNC:12691]	2678	0.1834585815668106	0.34433606	Yes	
row_32	ABCG5	ATP binding cassette subfamily G member 5 [Source:HGNC Symbol;Acc:HGNC:13886]	2743	0.18138769268989563	0.35062584	Yes	
row_33	APOA1	apolipoprotein A1 [Source:HGNC Symbol;Acc:HGNC:600]	2834	0.17732647061347961	0.35526082	Yes	
row_34	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	2952	0.17254625260829926	0.3581469	Yes	
row_35	CHIT1	chitinase 1 [Source:HGNC Symbol;Acc:HGNC:1936]	2964	0.1721864640712738	0.3668634	Yes	
row_36	NPC1L1	NPC1 like intracellular cholesterol transporter 1 [Source:HGNC Symbol;Acc:HGNC:7898]	2971	0.17199543118476868	0.37584546	Yes	
row_37	CLPSL1	colipase like 1 [Source:HGNC Symbol;Acc:HGNC:21251]	3020	0.169672429561615	0.38238388	Yes	
row_38	APOA5	apolipoprotein A5 [Source:HGNC Symbol;Acc:HGNC:17288]	3024	0.16952072083950043	0.3913975	Yes	
row_39	CAPN9	calpain 9 [Source:HGNC Symbol;Acc:HGNC:1486]	3255	0.15878930687904358	0.3873025	Yes	
row_40	ABCG8	ATP binding cassette subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:13887]	3310	0.15691585838794708	0.39281902	Yes	
row_41	SLC9A4	solute carrier family 9 member A4 [Source:HGNC Symbol;Acc:HGNC:11077]	3339	0.1561414748430252	0.3997285	Yes	
row_42	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	3365	0.1550186276435852	0.40674278	Yes	
row_43	FGF10	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]	3587	0.14747852087020874	0.40253198	Yes	
row_44	PNLIP	pancreatic lipase [Source:HGNC Symbol;Acc:HGNC:9155]	3611	0.14681898057460785	0.4092126	Yes	
row_45	AQP1	aquaporin 1 (Colton blood group) [Source:HGNC Symbol;Acc:HGNC:633]	3653	0.14522378146648407	0.4148135	Yes	
row_46	SLC5A1	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]	3852	0.13790707290172577	0.4113537	Yes	
row_47	SOAT2	sterol O-acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:11178]	3904	0.13607534766197205	0.41590735	Yes	
row_48	UCN3	urocortin 3 [Source:HGNC Symbol;Acc:HGNC:17781]	3922	0.135593444108963	0.42231128	Yes	
row_49	MUC6	mucin 6, oligomeric mucus/gel-forming [Source:HGNC Symbol;Acc:HGNC:7517]	3973	0.13364779949188232	0.42678866	Yes	
row_50	VIL1	villin 1 [Source:HGNC Symbol;Acc:HGNC:12690]	4392	0.12055934220552444	0.41024828	No	
row_51	LEP	leptin [Source:HGNC Symbol;Acc:HGNC:6553]	4504	0.11684270203113556	0.41044924	No	
row_52	LCT	lactase [Source:HGNC Symbol;Acc:HGNC:6530]	4567	0.11467951536178589	0.41323727	No	
row_53	NR1H2	nuclear receptor subfamily 1 group H member 2 [Source:HGNC Symbol;Acc:HGNC:7965]	4613	0.11395063251256943	0.41692403	No	
row_54	ADM2	adrenomedullin 2 [Source:HGNC Symbol;Acc:HGNC:28898]	4625	0.11355777829885483	0.4224659	No	
row_55	PBLD	phenazine biosynthesis like protein domain containing [Source:HGNC Symbol;Acc:HGNC:23301]	4698	0.11124901473522186	0.4245163	No	
row_56	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	5036	0.10176818072795868	0.41142857	No	
row_57	SLC26A7	solute carrier family 26 member 7 [Source:HGNC Symbol;Acc:HGNC:14467]	5174	0.09750519692897797	0.4091476	No	
row_58	CHRM5	cholinergic receptor muscarinic 5 [Source:HGNC Symbol;Acc:HGNC:1954]	5233	0.09564832597970963	0.41112587	No	
