NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CTNNA2	catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]	875	0.3104188144207001	-0.015095053	No	
row_1	NECTIN4	nectin cell adhesion molecule 4 [Source:HGNC Symbol;Acc:HGNC:19688]	1406	0.25956952571868896	-0.0166252	No	
row_2	ERBB2	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	1428	0.2582477033138275	0.0097002555	No	
row_3	CDH1	cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]	1464	0.25557464361190796	0.034971233	No	
row_4	RAC3	Rac family small GTPase 3 [Source:HGNC Symbol;Acc:HGNC:9803]	1514	0.25288552045822144	0.05918602	No	
row_5	PTPN6	protein tyrosine phosphatase non-receptor type 6 [Source:HGNC Symbol;Acc:HGNC:9658]	2292	0.20411351323127747	0.03816911	No	
row_6	ACTN3	actinin alpha 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:165]	3474	0.15093788504600525	-0.010727297	No	
row_7	PTPRF	protein tyrosine phosphatase receptor type F [Source:HGNC Symbol;Acc:HGNC:9670]	4511	0.11654926091432571	-0.055307686	No	
row_8	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	4631	0.11329339444637299	-0.04979727	No	
row_9	FGFR1	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	5072	0.1006968691945076	-0.06328306	No	
row_10	SNAI1	snail family transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:11128]	5121	0.09926563501358032	-0.05536018	No	
row_11	SNAI2	snail family transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:11094]	5522	0.08645563572645187	-0.0681613	No	
row_12	RAC2	Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]	5825	0.07801388204097748	-0.07647048	No	
row_13	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	6102	0.0709398090839386	-0.084102355	No	
row_14	ACP1	acid phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:122]	6155	0.06954090297222137	-0.07956254	No	
row_15	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	6737	0.05488751456141472	-0.10567832	No	
row_16	NECTIN3	nectin cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17664]	6921	0.05014926940202713	-0.110407315	No	
row_17	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	7551	0.034291718155145645	-0.14135484	No	
row_18	ACTB	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	8140	0.020895589143037796	-0.17147276	No	
row_19	SRC	SRC proto-oncogene, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:11283]	8216	0.01849014312028885	-0.17363039	No	
row_20	CSNK2B	casein kinase 2 beta [Source:HGNC Symbol;Acc:HGNC:2460]	9247	0.0	-0.23028293	No	
