initial_alias,converted_alias,name,description,namespace
4478,MSN,MSN,moesin [Source:HGNC Symbol;Acc:HGNC:7373],ENTREZGENE_ACC
7106,TSPAN4,TSPAN4,tetraspanin 4 [Source:HGNC Symbol;Acc:HGNC:11859],ENTREZGENE_ACC
140885,SIRPA,SIRPA,signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662],ENTREZGENE_ACC
800,CALD1,CALD1,caldesmon 1 [Source:HGNC Symbol;Acc:HGNC:1441],ENTREZGENE_ACC
51315,KRCC1,KRCC1,lysine rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28039],ENTREZGENE_ACC
255743,NPNT,NPNT,nephronectin [Source:HGNC Symbol;Acc:HGNC:27405],ENTREZGENE_ACC
1644,DDC,DDC,dopa decarboxylase [Source:HGNC Symbol;Acc:HGNC:2719],ENTREZGENE_ACC
1953,MEGF6,MEGF6,multiple EGF like domains 6 [Source:HGNC Symbol;Acc:HGNC:3232],ENTREZGENE_ACC
8445,DYRK2,DYRK2,dual specificity tyrosine phosphorylation regulated kinase 2 [Source:HGNC Symbol;Acc:HGNC:3093],ENTREZGENE_ACC
58528,RRAGD,RRAGD,Ras related GTP binding D [Source:HGNC Symbol;Acc:HGNC:19903],ENTREZGENE_ACC
1015,CDH17,CDH17,cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756],ENTREZGENE_ACC
29109,FHOD1,FHOD1,formin homology 2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17905],ENTREZGENE_ACC
8714,ABCC3,ABCC3,ATP binding cassette subfamily C member 3 [Source:HGNC Symbol;Acc:HGNC:54],ENTREZGENE_ACC
79142,PHF23,PHF23,PHD finger protein 23 [Source:HGNC Symbol;Acc:HGNC:28428],ENTREZGENE_ACC
158158,RASEF,RASEF,RAS and EF-hand domain containing [Source:HGNC Symbol;Acc:HGNC:26464],ENTREZGENE_ACC
5189,PEX1,PEX1,peroxisomal biogenesis factor 1 [Source:HGNC Symbol;Acc:HGNC:8850],ENTREZGENE_ACC
7504,XK,XK,"X-linked Kx blood group antigen, Kell and VPS13A binding protein [Source:HGNC Symbol;Acc:HGNC:12811]",ENTREZGENE_ACC
5195,PEX14,PEX14,peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856],ENTREZGENE_ACC
3664,IRF6,IRF6,interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121],ENTREZGENE_ACC
55806,HR,HR,HR lysine demethylase and nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:5172],ENTREZGENE_ACC
5926,ARID4A,ARID4A,AT-rich interaction domain 4A [Source:HGNC Symbol;Acc:HGNC:9885],ENTREZGENE_ACC
7103,TSPAN8,TSPAN8,tetraspanin 8 [Source:HGNC Symbol;Acc:HGNC:11855],ENTREZGENE_ACC
