NAME	TITLE	SCORE	
PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	0.82492924	
HCRT	hypocretin neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847]	0.8123461	
KLK5	kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]	0.78005403	
PGLYRP3	peptidoglycan recognition protein 3 [Source:HGNC Symbol;Acc:HGNC:30014]	0.73795635	
DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	0.71907526	
KHDC3L	KH domain containing 3 like, subcortical maternal complex member [Source:HGNC Symbol;Acc:HGNC:33699]	0.71783316	
HMX1	H6 family homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5017]	0.6925619	
SLITRK1	SLIT and NTRK like family member 1 [Source:HGNC Symbol;Acc:HGNC:20297]	0.6793733	
FKBP2	FKBP prolyl isomerase 2 [Source:HGNC Symbol;Acc:HGNC:3718]	0.67439723	
LCE6A	late cornified envelope 6A [Source:HGNC Symbol;Acc:HGNC:31824]	0.67104906	
FOXB2	forkhead box B2 [Source:HGNC Symbol;Acc:HGNC:23315]	0.66980106	
PCDHB5	protocadherin beta 5 [Source:HGNC Symbol;Acc:HGNC:8690]	0.6542274	
GABRA5	gamma-aminobutyric acid type A receptor subunit alpha5 [Source:HGNC Symbol;Acc:HGNC:4079]	0.64699906	
CHP2	calcineurin like EF-hand protein 2 [Source:HGNC Symbol;Acc:HGNC:24927]	0.64554185	
INSM2	INSM transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:17539]	0.64500207	
MUC16	mucin 16, cell surface associated [Source:HGNC Symbol;Acc:HGNC:15582]	0.6430736	
GPR139	G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:HGNC:19995]	0.63752526	
VSTM2B	V-set and transmembrane domain containing 2B [Source:HGNC Symbol;Acc:HGNC:33595]	0.637513	
DDN	dendrin [Source:HGNC Symbol;Acc:HGNC:24458]	0.6355719	
TMEM132C	transmembrane protein 132C [Source:HGNC Symbol;Acc:HGNC:25436]	0.6324608	
SERTM1	serine rich and transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33792]	0.6270535	
EEF1AKMT3	EEF1A lysine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:24936]	0.626118	
KDM4E	lysine demethylase 4E [Source:HGNC Symbol;Acc:HGNC:37098]	0.61904687	
KRT37	keratin 37 [Source:HGNC Symbol;Acc:HGNC:6455]	0.61473745	
H1-10	H1.10 linker histone [Source:HGNC Symbol;Acc:HGNC:4722]	0.61374265	
KLK15	kallikrein related peptidase 15 [Source:HGNC Symbol;Acc:HGNC:20453]	0.6025541	
KRT5	keratin 5 [Source:HGNC Symbol;Acc:HGNC:6442]	0.6006147	
HES3	hes family bHLH transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:26226]	0.6002278	
PPY	pancreatic polypeptide [Source:HGNC Symbol;Acc:HGNC:9327]	0.59651166	
ACD	ACD shelterin complex subunit and telomerase recruitment factor [Source:HGNC Symbol;Acc:HGNC:25070]	0.59140795	
XRCC3	X-ray repair cross complementing 3 [Source:HGNC Symbol;Acc:HGNC:12830]	0.5868362	
NLRP5	NLR family pyrin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21269]	0.5852465	
CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	0.58062917	
PROM2	prominin 2 [Source:HGNC Symbol;Acc:HGNC:20685]	0.5781515	
RAX	retina and anterior neural fold homeobox [Source:HGNC Symbol;Acc:HGNC:18662]	0.57667667	
NLRP13	NLR family pyrin domain containing 13 [Source:HGNC Symbol;Acc:HGNC:22937]	0.5755217	
LHX5	LIM homeobox 5 [Source:HGNC Symbol;Acc:HGNC:14216]	0.5750742	
KRTAP4-9	keratin associated protein 4-9 [Source:HGNC Symbol;Acc:HGNC:18910]	0.5739269	
OR8H1	olfactory receptor family 8 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:14824]	0.5732973	
PAX3	paired box 3 [Source:HGNC Symbol;Acc:HGNC:8617]	0.56831706	
KLK7	kallikrein related peptidase 7 [Source:HGNC Symbol;Acc:HGNC:6368]	0.5648562	
GOLGA6L2	golgin A6 family like 2 [Source:HGNC Symbol;Acc:HGNC:26695]	0.5646241	
LCE2A	late cornified envelope 2A [Source:HGNC Symbol;Acc:HGNC:29469]	0.5642879	
KIR2DL1	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]	0.55544204	
SBSN	suprabasin [Source:HGNC Symbol;Acc:HGNC:24950]	0.5552328	
ZNF98	zinc finger protein 98 [Source:HGNC Symbol;Acc:HGNC:13174]	0.55492604	
OR8H2	olfactory receptor family 8 subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:15308]	0.55301505	
GOLGA8Q	golgin A8 family member Q [Source:HGNC Symbol;Acc:HGNC:44408]	0.5518779	
SPEM1	spermatid maturation 1 [Source:HGNC Symbol;Acc:HGNC:32429]	0.5518548	
CCR8	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	0.551774	
EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]	0.55028653	
H2AC21	H2A clustered histone 21 [Source:HGNC Symbol;Acc:HGNC:20508]	0.5499541	
RBP3	retinol binding protein 3 [Source:HGNC Symbol;Acc:HGNC:9921]	0.5473661	
ZNF302	zinc finger protein 302 [Source:HGNC Symbol;Acc:HGNC:13848]	0.54535127	
CYC1	cytochrome c1 [Source:HGNC Symbol;Acc:HGNC:2579]	0.5430082	
INA	internexin neuronal intermediate filament protein alpha [Source:HGNC Symbol;Acc:HGNC:6057]	0.5420783	
LHX3	LIM homeobox 3 [Source:HGNC Symbol;Acc:HGNC:6595]	0.54114926	
SCGB1D2	secretoglobin family 1D member 2 [Source:HGNC Symbol;Acc:HGNC:18396]	0.54027045	
IER5L	immediate early response 5 like [Source:HGNC Symbol;Acc:HGNC:23679]	0.539424	
KRTAP6-1	keratin associated protein 6-1 [Source:HGNC Symbol;Acc:HGNC:18931]	0.53893363	
ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	0.53719294	
HAND2	heart and neural crest derivatives expressed 2 [Source:HGNC Symbol;Acc:HGNC:4808]	0.5355556	
GJD2	gap junction protein delta 2 [Source:HGNC Symbol;Acc:HGNC:19154]	0.53521866	
ANHX	anomalous homeobox [Source:HGNC Symbol;Acc:HGNC:40024]	0.5348086	
ROM1	retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:10254]	0.53478503	
PPP1R14B	protein phosphatase 1 regulatory inhibitor subunit 14B [Source:HGNC Symbol;Acc:HGNC:9057]	0.53350663	
ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	0.5327702	
HS3ST4	heparan sulfate-glucosamine 3-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:5200]	0.5322542	
NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3 [Source:HGNC Symbol;Acc:HGNC:29918]	0.53211755	
HDDC3	HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]	0.53177154	
BARHL2	BarH like homeobox 2 [Source:HGNC Symbol;Acc:HGNC:954]	0.5292015	
HELT	helt bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:33783]	0.5274039	
