NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMBX1	diencephalon/mesencephalon homeobox 1 [Source:HGNC Symbol;Acc:HGNC:19026]	102	0.40269389748573303	0.05301556	Yes	
row_1	DRD4	dopamine receptor D4 [Source:HGNC Symbol;Acc:HGNC:3025]	131	0.3844151496887207	0.1074379	Yes	
row_2	EN1	engrailed homeobox 1 [Source:HGNC Symbol;Acc:HGNC:3342]	473	0.28496548533439636	0.13017742	Yes	
row_3	OPRD1	opioid receptor delta 1 [Source:HGNC Symbol;Acc:HGNC:8153]	684	0.25647372007369995	0.15597022	Yes	
row_4	NTF4	neurotrophin 4 [Source:HGNC Symbol;Acc:HGNC:8024]	701	0.25422629714012146	0.19209987	Yes	
row_5	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:800]	804	0.24185049533843994	0.22170055	Yes	
row_6	LGI4	leucine rich repeat LGI family member 4 [Source:HGNC Symbol;Acc:HGNC:18712]	1154	0.21234986186027527	0.23342925	Yes	
row_7	DRD2	dopamine receptor D2 [Source:HGNC Symbol;Acc:HGNC:3023]	1390	0.19713100790977478	0.24920896	Yes	
row_8	EFNB3	ephrin B3 [Source:HGNC Symbol;Acc:HGNC:3228]	1474	0.19236718118190765	0.27265048	Yes	
row_9	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	1496	0.19118745625019073	0.2993284	Yes	
row_10	GLRB	glycine receptor beta [Source:HGNC Symbol;Acc:HGNC:4329]	1513	0.19019447267055511	0.32613656	Yes	
row_11	HTRA2	HtrA serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:14348]	1547	0.1881498545408249	0.35171258	Yes	
row_12	KCNJ10	potassium inwardly rectifying channel subfamily J member 10 [Source:HGNC Symbol;Acc:HGNC:6256]	1707	0.17885060608386993	0.36900878	Yes	
row_13	CTNS	cystinosin, lysosomal cystine transporter [Source:HGNC Symbol;Acc:HGNC:2518]	2022	0.1643441915512085	0.37567297	Yes	
row_14	CEND1	cell cycle exit and neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:24153]	2176	0.15783847868442535	0.3902401	Yes	
row_15	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	2276	0.15342280268669128	0.40713277	Yes	
row_16	OTOG	otogelin [Source:HGNC Symbol;Acc:HGNC:8516]	2285	0.15289781987667084	0.42895123	Yes	
row_17	DMRT3	doublesex and mab-3 related transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:13909]	2406	0.1480378359556198	0.44390562	Yes	
row_18	CXCL12	C-X-C motif chemokine ligand 12 [Source:HGNC Symbol;Acc:HGNC:10672]	2604	0.14038024842739105	0.45351264	Yes	
row_19	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	2998	0.12630940973758698	0.4502973	No	
